execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,warmup_runs,timed_runs_planned,timed_runs_observed,status,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms,median_throughput_flows_per_second
40,CPUCOND_044,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,10,50,0,TIMEOUT_RESOURCE_LIMIT,,,,
41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,8.549405,10.77292655,12.022796799999991,116.9673502518223
42,CPUCOND_059,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,2126.8256445,2193.49449855,,481.4702738085688
43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,3394.4751425,3497.188846,,301.66675854959783
44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,349.24230650000004,402.56819104999994,425.29346348999997,183.2539686336733
45,CPUCOND_014,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,51.819394,56.07643205,,19760.946115261853
46,CPUCOND_026,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,0.22873549999999998,0.27346344999999994,0.37020719999999985,4371.861922392712
47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,2.42636,2.7338090499999996,3.769292400000009,105508.00019642623
48,CPUCOND_017,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,30,150,150,PASS,3.07202,3.877296499999999,4.5143875,20833.204080317722
49,CPUCOND_009,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,4.3162044999999996,5.100408999999998,,237245.5746811329
