execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,n,mean_batch_latency_ms,std_batch_latency_ms,coefficient_of_variation,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms_if_n_gte_100,maximum_batch_latency_ms_descriptive_only,p50_ci95_low_ms,p50_ci95_high_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_amortized_latency_ms_per_flow,median_throughput_flows_per_second,median_throughput_ci95_low,median_throughput_ci95_high
29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,200,1.9464290249999998,0.12576287246108322,0.06461210290525915,1.9178600000000001,2.1051984999999998,2.5322494999999994,2.996,1.909275,1.9311355,2.0715240749999992,2.190239,2.1696387525,2.996,1.9178600000000001,521.4145194484133,517.7800856636912,523.8758378886373
30,CPUCOND_024,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,50,2.13835132,0.5788797378357207,0.2707131108071244,1.983915,3.10194,,4.75749,1.9038599999999999,2.03109,2.6826774999999983,4.287559499999997,,,0.0019374169921875,516160.65400229965,503467.0192964169,537979.7547967385
31,CPUCOND_080,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,20,7679.2057818,213.8572237406114,0.02784887263308673,7624.7970225,7958.5981043,,8446.284619,7572.013387,7714.2541555,7762.84524248375,8446.284619,,,0.9307613552856445,1074.3892976429515,1061.9336390397566,1082.2875330286936
33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,0.34015719333333333,0.02936754552718409,0.08633521825424308,0.33243449999999997,0.4033615,0.4290150999999999,0.44687,0.328725,0.336445,0.38222349999999994,0.40933749999999997,0.4058811475,0.44687,0.0051942890624999995,192519.19373056412,190306.27415997622,194505.6111141757
34,CPUCOND_056,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,200,1.8891922550000002,0.1180298487316154,0.062476356452993924,1.86188,2.1142205,2.2687550099999987,2.414511,1.846311,1.8742,2.0435525,2.194678,2.1680720099999977,2.414511,1.86188,537.091543757092,533.5612880093868,541.6218379220377
35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,0.94726458,0.11122388467780836,0.1174158593344727,0.9235949999999999,1.0600849999999995,1.4667548199999951,1.87978,0.92004,0.92855,0.9936130499999994,1.13108,1.0889184999999997,1.87978,0.014431171874999999,69294.4418298883,68922.44078787087,69556.90080533849
36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,100,1714.30382623,58.03003971204052,0.033850498857986515,1725.547919,1799.1141565,1817.941622,1837.464818,1706.652321,1738.427659,1780.0374129999998,1810.027492,1799.1471683,1837.464818,6.74042155859375,148.3588442472987,147.2595069887806,149.99937665298103
37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,50,5063.72578512,1291.6712289905436,0.2550831707329376,4705.968333,8359.608535749992,,10125.898162,4656.659839,4744.130264,4830.3740015,10113.03378115,,,4.595672200195312,217.597014893922,215.84567518527987,219.81622610455355
38,CPUCOND_007,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,150,0.8937180000000001,0.14231543840856767,0.15923975841212512,0.859065,1.0513815,1.663978899999996,1.9249,0.8550804999999999,0.8620950000000001,1.0054104999999998,1.29114,1.07111089,1.9249,0.013422890625,74499.60131325109,74237.32745621158,74853.32436816822
39,CPUCOND_046,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,200,8.492680915,1.6086296401506668,0.18941364408375008,8.7756045,10.996530499999999,11.99431539999999,14.36593,8.69654,8.88193,10.342730499999996,11.41073,11.309389,14.36593,8.7756045,113.95265342023463,112.58852272599331,115.08650942961268
