worker_execution_index,pair_block_execution_index,batch_size,pair_rep,variant,worker_sha256,historical_config_sha256,execution_config_sha256,environment_gate_passed,worker_status,worker_return_code,failure_class,result_sha256,n,p50_latency_ms,p95_latency_ms,p99_latency_ms,median_throughput_flows_per_second,representation_fingerprint_sha256
32,16,64,2,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,faa1a716897c2c7283ad0776e5a8c4904215dbbaffc1a137f04f3a48b4fc4d49,True,PASS,0,,cba04e540ce44fc2f8bcf64fb334d0d8b0eebc18f20faa20e66161d8e8d20412,150,3.373265,3.9553840499999975,5.423891199999999,18972.716401615748,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
33,17,1,2,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,ea53c03396dc30e8c4ca3e331375735d96dde304baf191d922356cfb8a66eb4d,True,PASS,0,,266616ac894f58282f4cc33721f5c65360f014708786bc83359edb984805f1fc,200,0.035030000000000006,0.04890799999999999,0.06022119999999998,28546.962075161224,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
34,17,1,2,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,86b613fe87b1765ad567bd2ad8e36f4be9f81ca132dd5c415474f8fa081586d9,True,PASS,0,,13fae338146ce6cd33a9c9fb1baecd566480c944a687fdbcb97471038bca6fa7,200,0.03357,0.04733649999999999,0.059625489999999975,29788.50163836759,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
35,18,8192,1,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,adb3b9825b74215d9373eb98b13d59942c266e704daa68c4390de27a9178445f,True,PASS,0,,97b80a034088fe6b136232cc10e60b52bd20d8712920d84932232853b513a6bd,20,545.551298,557.77914735,,15016.009318952096,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
36,18,8192,1,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,e6552a572193c9c027d47a7f38b462266f92986e093c78f9b2f156b11151a9d0,True,PASS,0,,fdabc21cc9f15f7d1f7939b33720029bc467871face136e0b08dcd78db0b49be,20,547.599408,561.1472496,,14959.853942143494,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
37,19,1024,1,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,388e92a78e7921a819ce0c19cefcc6c376b39dcc1713f2bc0a66c1327233e127,True,PASS,0,,16b4158f55d5b46871ea9efc61d2b515ac634ff6fb4708d23290b554a34f8041,50,58.555903,62.3435115,,17487.569134003017,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
38,19,1024,1,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,11f31605fd916ae7ecf59236e475a5863541d2e2ea0e1df79c165afca7e3dcc8,True,PASS,0,,e348362b58ea749cd1d39073d96441d3a7168f83bdf511368524372e724d2adc,50,63.2734435,67.9061456,,16183.96267802178,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
39,20,256,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,a76af71d2e9a6297d2c8053c570d42f8e4ff59cd5776888b4a3dd65da29228b9,True,PASS,0,,428dc3e2900115c37edceffd908faa036e6b96e34586bd593d4fb2b1c33a7735,100,13.460657000000001,14.85610355,15.628963390000001,19020.6088791504,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
40,20,256,3,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,302ae6325a2ffc25b4cbbc697ee67c022c7417d62a22e0c9257377576f7c34ba,True,PASS,0,,93ce95ad7f99cf741a33b5f5b48952a5b911c840ceef89710f96346ed2eafc76,100,13.1035665,13.940196499999999,14.377121200000005,19536.670578466943,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
41,21,8192,2,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,d86bbd155efbee6a095dea0e63a306dd76ac2ebdf27c9c0b938abc49894b59e8,True,PASS,0,,c967447a37bc84a97ffc7607a73c92dd6f861764e08f22dd5761645e64de48f7,20,543.0652725,557.22727675,,15084.745412622666,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
42,21,8192,2,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,8565bac56ca3231afa5691cff31467b6fb02a690c17e2d8b3d9b0ec403330a3b,True,PASS,0,,55c524cea9928718040996067a6c4d749bd1136f3701021d7e5c81afd9a3b676,20,559.454624,567.57595605,,14642.83786700427,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
43,22,8192,4,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,79e0ae1bd38a3ae83551384aa9e6fd6108dc1feab9ddf67779afae1c133dd97f,True,PASS,0,,14288dfd5213d40c97dc0664d4c589844574e865c9ddcc57f6abf5b62b781b9c,20,538.844447,568.76344965,,15202.905548692117,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
44,22,8192,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,47caa00fe12f7a497f89b0bec4bab1d52a489cab28c0b94c0c7a95339c433b98,True,PASS,0,,4528e08978ed3b9a234acb445cf8833f54487c9fcbe81a9400de3fdfa8e53ddd,20,541.3032525,545.9170647000001,,15133.846615572915,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
45,23,256,1,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,e72467fdebf047731c77f997de80f563c2b705c30e729f7517e281e3660d7afc,True,PASS,0,,a9066e5edf3c18dd0ce9cb5ee1bffbc4a09ae602e04aa4a85f02916459df6682,100,14.375947,17.872299549999997,20.59400670000001,17807.531200478632,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
46,23,256,1,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,5de18449c421706c8ee698e858e50a63645c688e2c92737a9f594ef859581bc2,True,PASS,0,,e096ba1b55cdae1a46cd389472b7be3d4817a47470a50edc44b1849861ae79ce,100,12.7871915,13.5431565,13.984919300000003,20020.04868508193,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
47,24,64,3,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,49f746b316b810315666655ac7471518e22d8e71f0f8b8bf24aa5fa3dbd186af,True,PASS,0,,b58d1ea51c1fcbab5eafbcbfaa3b329270c4abeaddb9735de1fc373fd8ded33b,150,2.9516805,3.194218,3.8378784899999983,21682.56564718323,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
48,24,64,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,f3ca65660e915e56af4197ff9546c35385fa9e3f5bac7fa83d8d19a4e58c941f,True,PASS,0,,ed57376fe83c02bc74244bfdac769e6f13543d8594950559c39750dfa064a417,150,3.2648205,3.5735449999999997,3.724559009999998,19605.560279249446,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
49,25,8192,5,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,d173724411754bd1df898128484df43e2b840769a46e7653dad7c4579aa6b22d,True,PASS,0,,a46178c16f6af4471a0101efdcb9a45bc64944bd74b6037c1432bb1407ee55fb,20,542.189777,549.84530815,,15109.100919402545,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
50,25,8192,5,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,6646ffc1a94b1c1067567264037150799d3e55b32e6c552332ac82aa99616484,True,PASS,0,,87b7d734e6e843cb23fc572cedb7b97c83a9876f18821d4792d652d6df8a8ee2,20,547.351433,563.6179025499999,,14966.634329909692,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
