family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear,frozen_seed_count,defined_seed_count,random_gt_chrono_seed_count,random_lt_chrono_seed_count,random_eq_chrono_seed_count,undefined_seed_count,note
PORT_SCAN,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.1909629787009721,0.2067258809377683,0.038406157811731,0.1376261960644498,0.2286783282416802,0.0910521321772304,0.0526192505602126,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0090178065815138,-0.0090731768703202,0.0001566967530912,-0.0091172214182344,-0.0087396967218272,0.0003775246964072,2.5168313093815523e-05,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0003020197571257,0.0003208959919461,0.0004889637141001,-0.0004467375574152,0.0008116780972755,0.0012584156546907,0.000471905870509,5,5,4,1,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.000821745422513,-0.0001887623482036,0.0010377886180365,-0.0023154848046309,-1.2584156546907328e-05,0.002302900648084,0.0014283017680739,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.2991000598225702,0.287955244283652,0.0559350617030336,0.2414367373435056,0.3922939712771152,0.1508572339336095,0.0129012195485831,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3175843098342022,0.3093242242418166,0.0354875956592937,0.2710597704367763,0.3654837967416166,0.0944240263048402,0.0311978394563962,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0040684578116151,-0.0024664946831938,0.0032750270435458,-0.0084376769647014,-0.0013339205939721,0.0071037563707292,0.0052475932800604,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
PORT_SCAN,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0003422890580758,0.0003712326181337,9.854688264740048e-05,0.0002390989743912,0.0004530296356886,0.0002139306612974,0.0001698861133832,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.1240366972477064,0.0944954128440367,0.0862181558984616,0.0247706422018347,0.2334862385321101,0.2087155963302753,0.1169724770642202,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0653169103425207,-0.0659475329602422,0.0072024355463661,-0.0737589270971053,-0.0551476369904657,0.0186112901066395,0.0079774125975761,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0090593070041103,0.0088498394305732,0.0006676850427808,0.0081549984229856,0.0097278660108818,0.0015728675878962,0.0008665821267839,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3660550458715596,0.3688073394495412,0.0209281921459089,0.3380733944954128,0.3899082568807339,0.051834862385321,0.0279816513761467,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.7788073394495413,0.7922018348623854,0.0310801397402295,0.7444954128440368,0.8091743119266055,0.0646788990825687,0.0555045871559632,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.1705504587155963,0.0848623853211009,0.120508437371919,0.0788990825688072,0.305045871559633,0.2261467889908257,0.2160550458715596,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0140130655677273,0.0211521837757913,0.012766554011982,-0.0059980526261566,0.0235348499562999,0.0295329025824565,0.0144396256868821,5,5,4,1,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0293989652820694,0.0287536753029934,0.0016366131218814,0.0277285763855802,0.0319977848357683,0.004269208450188,0.0011945412724162,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.1863302752293577,0.0981651376146788,0.1228764576849894,0.0940366972477063,0.3256880733944953,0.231651376146789,0.218348623853211,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
WEB_ATTACK,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.3645871559633026,0.3573394495412844,0.0168336749324982,0.3541284403669724,0.3944954128440366,0.0403669724770642,0.0022935779816514,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
