model,model_display,feature_index,feature_name,explanation_selection_count,unique_cases_selected,mean_weight,mean_absolute_weight,positive_count,negative_count,mean_rank,explanation_selection_frequency
lightgbm,LightGBM,54,Fwd Seg Size Avg,11,4,0.0016541250263673085,0.0031439267899403944,8,3,13.363636363636363,0.18333333333333332
lightgbm,LightGBM,16,Flow Pkts/s,9,3,0.007750051781606929,0.007750051781606929,9,0,7.555555555555555,0.15
lightgbm,LightGBM,12,Bwd Pkt Len Min,8,2,-0.0011288643275036649,0.003255825389082534,4,4,14.625,0.13333333333333333
lightgbm,LightGBM,9,Fwd Pkt Len Mean,7,4,0.0012953995785573182,0.0025050592860541903,5,2,13.428571428571429,0.11666666666666667
lightgbm,LightGBM,64,Subflow Bwd Pkts,6,2,-0.021855458047537735,0.021855458047537735,0,6,5.0,0.1
lightgbm,LightGBM,25,Fwd IAT Min,6,2,-0.018955667660750866,0.018955667660750866,0,6,6.0,0.1
lightgbm,LightGBM,73,Active Min,6,2,-0.008311904954857589,0.008311904954857589,0,6,9.666666666666666,0.1
lightgbm,LightGBM,38,Bwd Pkts/s,6,2,-0.008220306399992822,0.008220306399992822,0,6,5.0,0.1
lightgbm,LightGBM,8,Fwd Pkt Len Min,6,3,-0.002019824525829588,0.0023077758460883484,2,4,14.0,0.1
lightgbm,LightGBM,75,Idle Std,6,2,-0.0010379244404362354,0.002231708468472845,2,4,13.666666666666666,0.1
lightgbm,LightGBM,20,Flow IAT Min,5,1,0.022825185258378112,0.022825185258378112,5,0,3.0,0.08333333333333333
lightgbm,LightGBM,77,Idle Min,5,1,0.019808187809164494,0.019808187809164494,5,0,3.8,0.08333333333333333
lightgbm,LightGBM,31,Fwd PSH Flags,5,1,0.0007482819663432361,0.0011716516402933564,4,1,13.6,0.08333333333333333
lightgbm,LightGBM,52,Down/Up Ratio,4,3,-0.0027819163463040568,0.005189297192712542,1,3,11.5,0.06666666666666667
lightgbm,LightGBM,36,Bwd Header Len,4,1,-0.0019400724541332576,0.0019400724541332576,0,4,12.0,0.06666666666666667
lightgbm,LightGBM,45,SYN Flag Cnt,4,1,0.0004004447995259856,0.0007615939364782557,2,2,14.5,0.06666666666666667
lightgbm,LightGBM,22,Fwd IAT Mean,3,2,-0.007097872940933944,0.007097872940933944,0,3,10.0,0.05
lightgbm,LightGBM,1,Protocol,2,1,-0.00030587771263990236,0.007296111265795232,1,1,12.5,0.03333333333333333
lightgbm,LightGBM,70,Active Mean,2,2,0.007255229188128587,0.007255229188128587,2,0,10.5,0.03333333333333333
lightgbm,LightGBM,27,Bwd IAT Mean,2,1,0.006955870039064499,0.006955870039064499,2,0,7.5,0.03333333333333333
lightgbm,LightGBM,28,Bwd IAT Std,2,1,3.759350206947762e-05,0.0035583984769376777,1,1,12.0,0.03333333333333333
lightgbm,LightGBM,4,Tot Bwd Pkts,2,1,-0.0024114821012022124,0.0024114821012022124,0,2,11.0,0.03333333333333333
lightgbm,LightGBM,17,Flow IAT Mean,1,1,-0.005005156706065636,0.005005156706065636,0,1,12.0,0.016666666666666666
lightgbm,LightGBM,29,Bwd IAT Max,1,1,-0.001249256994814923,0.001249256994814923,0,1,15.0,0.016666666666666666
xgboost,XGBoost,66,Init Fwd Win Byts,60,12,-0.0568966021635046,0.0568966021635046,0,60,2.45,1.0
xgboost,XGBoost,7,Fwd Pkt Len Max,52,11,-0.026283957494112824,0.026283957494112824,0,52,7.076923076923077,0.8666666666666667
xgboost,XGBoost,53,Pkt Size Avg,51,11,0.015990193960175248,0.01757239205604395,41,10,8.333333333333334,0.85
xgboost,XGBoost,11,Bwd Pkt Len Max,50,10,-0.024293175733398016,0.024293175733398016,0,50,5.8,0.8333333333333334
xgboost,XGBoost,0,Dst Port,45,10,0.005777557484374602,0.029563551961168447,26,19,4.266666666666667,0.75
xgboost,XGBoost,69,Fwd Seg Size Min,36,8,0.03416862772123257,0.03416862772123257,36,0,6.111111111111111,0.6
xgboost,XGBoost,18,Flow IAT Std,32,7,-0.02626026045778786,0.02626026045778786,0,32,4.78125,0.5333333333333333
xgboost,XGBoost,42,Pkt Len Std,32,8,-0.00019640026824102897,0.005673390462673251,16,16,12.625,0.5333333333333333
xgboost,XGBoost,23,Fwd IAT Std,30,9,0.015198373507458876,0.01599633145180079,26,4,7.766666666666667,0.5
xgboost,XGBoost,21,Fwd IAT Tot,30,6,0.015936026673410934,0.015936026673410934,30,0,7.133333333333334,0.5
xgboost,XGBoost,14,Bwd Pkt Len Std,28,9,9.086965417324137e-05,0.005428215893317748,15,13,12.964285714285714,0.4666666666666667
xgboost,XGBoost,2,Flow Duration,27,8,-0.012989149135497624,0.012989149135497624,0,27,8.37037037037037,0.45
xgboost,XGBoost,9,Fwd Pkt Len Mean,27,9,0.0063865722622967235,0.0063865722622967235,27,0,12.074074074074074,0.45
xgboost,XGBoost,19,Flow IAT Max,21,6,-0.011338602105306184,0.011338602105306184,0,21,9.714285714285714,0.35
xgboost,XGBoost,38,Bwd Pkts/s,19,6,0.0159456463418001,0.017059538784040436,18,1,7.7894736842105265,0.31666666666666665
xgboost,XGBoost,13,Bwd Pkt Len Mean,19,6,-0.001385572003223351,0.006501273191769415,10,9,12.263157894736842,0.31666666666666665
