disagreement_case_id,model,model_display,feature_index,feature_name,selection_count,mean_weight,mean_absolute_weight,weight_standard_deviation,positive_count,negative_count,mean_rank,selection_frequency,stable_in_at_least_four_seeds
DISAGREE_02,lightgbm,LightGBM,17,Flow IAT Mean,1,-0.005005156706065636,0.005005156706065636,,0,1,12.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,19,Flow IAT Max,1,-0.0046543493393728964,0.0046543493393728964,,0,1,11.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,41,Pkt Len Mean,1,0.0033322251867036134,0.0033322251867036134,,1,0,13.0,0.2,False
DISAGREE_02,lightgbm,LightGBM,9,Fwd Pkt Len Mean,1,-0.0023887101679021393,0.0023887101679021393,,0,1,13.0,0.2,False
DISAGREE_02,xgboost,XGBoost,66,Init Fwd Win Byts,5,-0.04822185542764229,0.04822185542764229,0.002489696178429442,0,5,1.0,1.0,True
DISAGREE_02,xgboost,XGBoost,0,Dst Port,5,0.03557118711612323,0.03557118711612323,0.0008878608640126989,5,0,2.0,1.0,True
DISAGREE_02,xgboost,XGBoost,7,Fwd Pkt Len Max,5,-0.0317167326780627,0.0317167326780627,0.002008790857085767,0,5,3.2,1.0,True
DISAGREE_02,xgboost,XGBoost,74,Idle Mean,5,-0.027927829645280556,0.027927829645280556,0.002358891133898249,0,5,3.8,1.0,True
DISAGREE_02,xgboost,XGBoost,22,Fwd IAT Mean,5,-0.018584892137300444,0.018584892137300444,0.0018842967618245177,0,5,5.2,1.0,True
DISAGREE_02,xgboost,XGBoost,24,Fwd IAT Max,5,-0.015931887896275955,0.015931887896275955,0.0018261293045515796,0,5,6.2,1.0,True
DISAGREE_02,xgboost,XGBoost,72,Active Max,5,-0.014735656868909975,0.014735656868909975,0.0010370741019404082,0,5,6.6,1.0,True
DISAGREE_02,xgboost,XGBoost,21,Fwd IAT Tot,5,0.01131732694810551,0.01131732694810551,0.002992944076282265,5,0,9.2,1.0,True
DISAGREE_02,xgboost,XGBoost,2,Flow Duration,5,-0.010510809959444705,0.010510809959444705,0.0011680245455904065,0,5,9.6,1.0,True
DISAGREE_02,xgboost,XGBoost,75,Idle Std,5,-0.009973111373591635,0.009973111373591635,0.0006863868889542002,0,5,10.4,1.0,True
DISAGREE_02,xgboost,XGBoost,76,Idle Max,5,-0.009829828646387335,0.009829828646387335,0.0012852339505606632,0,5,10.2,1.0,True
DISAGREE_02,xgboost,XGBoost,53,Pkt Size Avg,5,-0.0041256502334825135,0.0041256502334825135,0.0012518181890335026,0,5,14.0,1.0,True
DISAGREE_02,xgboost,XGBoost,19,Flow IAT Max,4,-0.00891822613794857,0.00891822613794857,0.0007564390762224666,0,4,12.25,0.8,True
DISAGREE_02,xgboost,XGBoost,70,Active Mean,3,0.009976587568370533,0.009976587568370533,0.0030009000036356104,3,0,10.333333333333334,0.6,False
DISAGREE_02,xgboost,XGBoost,23,Fwd IAT Std,2,0.003929522737440376,0.003929522737440376,0.0003141915992063372,2,0,13.0,0.4,False
DISAGREE_02,xgboost,XGBoost,39,Pkt Len Min,2,0.0022108952327224035,0.0022108952327224035,0.0008152299303581905,2,0,15.0,0.4,False
DISAGREE_02,xgboost,XGBoost,8,Fwd Pkt Len Min,2,0.0009248330586336543,0.0009248330586336543,0.0011541369084734426,2,0,14.5,0.4,False
DISAGREE_02,xgboost,XGBoost,9,Fwd Pkt Len Mean,1,0.0038523837091283576,0.0038523837091283576,,1,0,14.0,0.2,False
DISAGREE_02,xgboost,XGBoost,54,Fwd Seg Size Avg,1,-0.0020858688119177893,0.0020858688119177893,,0,1,14.0,0.2,False
DISAGREE_03,lightgbm,LightGBM,66,Init Fwd Win Byts,5,-0.10018327978949296,0.10018327978949296,0.0021712660605232234,0,5,1.0,1.0,True
DISAGREE_03,lightgbm,LightGBM,51,ECE Flag Cnt,5,0.04307048570767248,0.04307048570767248,0.0016061065516882475,5,0,2.2,1.0,True
DISAGREE_03,lightgbm,LightGBM,46,RST Flag Cnt,5,0.038763361591407385,0.038763361591407385,0.002135840582727912,5,0,2.8,1.0,True
DISAGREE_03,lightgbm,LightGBM,7,Fwd Pkt Len Max,5,-0.0281819700601715,0.0281819700601715,0.0008927743497737221,0,5,4.6,1.0,True
DISAGREE_03,lightgbm,LightGBM,19,Flow IAT Max,5,-0.027484856594323082,0.027484856594323082,0.0018903665975954194,0,5,5.0,1.0,True
DISAGREE_03,lightgbm,LightGBM,0,Dst Port,5,0.026414262009718803,0.026414262009718803,0.002189358190509624,5,0,5.8,1.0,True
DISAGREE_03,lightgbm,LightGBM,37,Fwd Pkts/s,5,0.024296023963522546,0.024296023963522546,0.0011904719298990274,5,0,6.6,1.0,True
DISAGREE_03,lightgbm,LightGBM,53,Pkt Size Avg,5,0.016025635983371273,0.016025635983371273,0.0016284694027698986,5,0,9.2,1.0,True
DISAGREE_03,lightgbm,LightGBM,42,Pkt Len Std,5,0.01254683599600916,0.01254683599600916,0.002321454025310097,5,0,10.2,1.0,True
DISAGREE_03,lightgbm,LightGBM,39,Pkt Len Min,5,0.008816859055451536,0.008816859055451536,0.002981038593706082,5,0,12.2,1.0,True
DISAGREE_03,lightgbm,LightGBM,69,Fwd Seg Size Min,5,0.0047895214190437066,0.0047895214190437066,0.0012759983385722728,5,0,13.8,1.0,True
DISAGREE_03,lightgbm,LightGBM,13,Bwd Pkt Len Mean,4,0.01996559590822396,0.01996559590822396,0.0009299721790968161,4,0,8.0,0.8,True
DISAGREE_03,lightgbm,LightGBM,48,ACK Flag Cnt,4,-0.008588561305190935,0.008588561305190935,0.0018567474591584777,0,4,12.25,0.8,True
DISAGREE_03,lightgbm,LightGBM,12,Bwd Pkt Len Min,4,0.002126961061578869,0.002126961061578869,0.0005179905162828144,4,0,15.0,0.8,True
DISAGREE_03,lightgbm,LightGBM,2,Flow Duration,3,-0.013326850005794871,0.013326850005794871,0.0018481721157527018,0,3,10.0,0.6,False
