disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,65,24,Fwd IAT Max,5859675.0,-0.000726007332559675,0.000726007332559675,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,66,63,Subflow Fwd Byts,351.0,0.0005575403338298202,0.0005575403338298202,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,67,62,Subflow Fwd Pkts,9.0,0.00045368605060502887,0.00045368605060502887,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,68,67,Init Bwd Win Byts,946.0,-0.00038180648698471487,0.00038180648698471487,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,69,33,Fwd URG Flags,0.0,-0.00019710391643457115,0.00019710391643457115,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,70,32,Bwd PSH Flags,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,71,34,Bwd URG Flags,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,72,50,CWE Flag Count,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,73,56,Fwd Byts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,74,57,Fwd Pkts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,75,58,Fwd Blk Rate Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,76,59,Bwd Byts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,77,60,Bwd Pkts/b Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,78,61,Bwd Blk Rate Avg,0.0,0.0,0.0,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,1,51,ECE Flag Cnt,1.0,0.9687517889708501,0.9687517889708501,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,2,0,Dst Port,443.0,-0.952412702116928,0.952412702116928,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,3,46,RST Flag Cnt,1.0,0.7267321918538168,0.7267321918538168,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,4,69,Fwd Seg Size Min,20.0,-0.43972866549146006,0.43972866549146006,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,5,7,Fwd Pkt Len Max,194.0,0.3352036291997295,0.3352036291997295,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,6,10,Fwd Pkt Len Std,71.4002801115,0.29260751190586093,0.29260751190586093,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,7,64,Subflow Bwd Pkts,7.0,-0.2612467385425511,0.2612467385425511,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,8,40,Pkt Len Max,1460.0,-0.25223536371932176,0.25223536371932176,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,9,11,Bwd Pkt Len Max,1460.0,-0.2459001614718136,0.2459001614718136,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,10,66,Init Fwd Win Byts,8192.0,-0.21632140924775847,0.21632140924775847,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,11,20,Flow IAT Min,1.0,-0.2090939076644696,0.2090939076644696,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,12,19,Flow IAT Max,5859675.0,0.20055169814706786,0.20055169814706786,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,13,13,Bwd Pkt Len Mean,790.1428571429,-0.17224029487339967,0.17224029487339967,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,14,6,TotLen Bwd Pkts,5531.0,-0.16423331862038554,0.16423331862038554,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,15,4,Tot Bwd Pkts,7.0,-0.10893494555468712,0.10893494555468712,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,16,37,Fwd Pkts/s,1.5048657325,-0.10336976691539869,0.10336976691539869,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,17,17,Flow IAT Mean,398706.666666667,-0.0984324565270306,0.0984324565270306,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,18,30,Bwd IAT Min,1.0,0.08186524149094747,0.08186524149094747,supports_attack
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,19,22,Fwd IAT Mean,747575.0,-0.08027546122485384,0.08027546122485384,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,20,55,Bwd Seg Size Avg,790.1428571429,-0.06728600667354732,0.06728600667354732,supports_benign
DISAGREE_01,lightgbm,LightGBM,110862,0,Benign,21,29,Bwd IAT Max,22337.0,-0.06448995158057615,0.06448995158057615,supports_benign
