disagreement_case_id,replicate_index,explanation_seed,model,model_display,y_true,attack_category,rank,feature_index,feature_name,weight,absolute_weight,raw_feature_value
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,1,46,RST Flag Cnt,0.10306143106637884,0.10306143106637884,1.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,2,66,Init Fwd Win Byts,-0.0913816723676071,0.0913816723676071,8192.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,3,51,ECE Flag Cnt,0.030215566277762798,0.030215566277762798,1.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,4,11,Bwd Pkt Len Max,-0.026834887161579106,0.026834887161579106,1460.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,5,7,Fwd Pkt Len Max,-0.02144765777115474,0.02144765777115474,194.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,6,20,Flow IAT Min,0.019692457040847423,0.019692457040847423,1.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,7,0,Dst Port,0.019668523157084675,0.019668523157084675,443.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,8,38,Bwd Pkts/s,0.012192560462850367,0.012192560462850367,1.1704511253
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,9,42,Pkt Len Std,0.009795230566892075,0.009795230566892075,565.5401179404
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,10,14,Bwd Pkt Len Std,0.008956423452661809,0.008956423452661809,674.2636548046
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,11,47,PSH Flag Cnt,0.004458699998112266,0.004458699998112266,1.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,12,43,Pkt Len Var,0.0038960227347334415,0.0038960227347334415,319835.625
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,13,40,Pkt Len Max,-0.0035954041945820657,0.0035954041945820657,1460.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,14,41,Pkt Len Mean,-0.0035677875112331736,0.0035677875112331736,346.0
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,15,13,Bwd Pkt Len Mean,0.002728781289618796,0.002728781289618796,790.1428571429
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,1,46,RST Flag Cnt,0.10193619929200781,0.10193619929200781,1.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,2,66,Init Fwd Win Byts,-0.09348976332935788,0.09348976332935788,8192.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,3,51,ECE Flag Cnt,0.03207430783224961,0.03207430783224961,1.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,4,11,Bwd Pkt Len Max,-0.028972278312380483,0.028972278312380483,1460.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,5,23,Fwd IAT Std,0.020421417214296387,0.020421417214296387,2065771.45350296
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,6,0,Dst Port,0.01646090480506366,0.01646090480506366,443.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,7,42,Pkt Len Std,0.009710394778036943,0.009710394778036943,565.5401179404
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,8,14,Bwd Pkt Len Std,0.006207361147826662,0.006207361147826662,674.2636548046
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,9,40,Pkt Len Max,-0.005071683403106323,0.005071683403106323,1460.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,10,41,Pkt Len Mean,-0.002717222045143962,0.002717222045143962,346.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,11,47,PSH Flag Cnt,0.0026062859863055037,0.0026062859863055037,1.0
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,12,53,Pkt Size Avg,-0.0024933694989152195,0.0024933694989152195,367.625
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,13,13,Bwd Pkt Len Mean,0.0015725479645544293,0.0015725479645544293,790.1428571429
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,14,43,Pkt Len Var,-0.001173238745588299,0.001173238745588299,319835.625
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,15,55,Bwd Seg Size Avg,2.677579072428895e-05,2.677579072428895e-05,790.1428571429
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,1,46,RST Flag Cnt,0.0982394750639763,0.0982394750639763,1.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,2,66,Init Fwd Win Byts,-0.09195726714671837,0.09195726714671837,8192.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,3,51,ECE Flag Cnt,0.032510339349551894,0.032510339349551894,1.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,4,11,Bwd Pkt Len Max,-0.025217774014525216,0.025217774014525216,1460.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,5,7,Fwd Pkt Len Max,-0.023426908212519196,0.023426908212519196,194.0
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,6,0,Dst Port,0.020296000226769282,0.020296000226769282,443.0
