disagreement_case_id,model,model_display,first_replicate,second_replicate,top5_jaccard,top10_jaccard,top15_jaccard,weight_cosine_similarity,shared_feature_count,shared_sign_agreement,absolute_weight_spearman,spearman_p_value,operational_stability_class
DISAGREE_01,xgboost,XGBoost,4,5,0.6666666666666666,0.5384615384615384,0.7647058823529411,0.9664870016602024,13,0.6923076923076923,0.8261659762127489,1.2709702963194207e-20,Moderate
DISAGREE_02,lightgbm,LightGBM,1,2,0.6666666666666666,0.8181818181818182,0.5,0.9903742337762125,10,1.0,0.6752104770813844,1.2016116442686449e-11,High
DISAGREE_02,lightgbm,LightGBM,1,3,0.6666666666666666,0.8181818181818182,0.5789473684210527,0.9927490219413213,11,0.8181818181818182,0.7391420553254042,1.1039612950649078e-14,High
DISAGREE_02,lightgbm,LightGBM,1,4,1.0,0.8181818181818182,0.7647058823529411,0.9934406767425298,13,0.8461538461538461,0.8626219430709607,3.3727862293682335e-24,High
DISAGREE_02,lightgbm,LightGBM,1,5,1.0,0.8181818181818182,0.6666666666666666,0.9951372101210881,12,1.0,0.8121608980355473,1.832225138359814e-19,High
DISAGREE_02,lightgbm,LightGBM,2,3,1.0,0.8181818181818182,0.5789473684210527,0.9901173821405326,11,0.9090909090909091,0.7299478818655619,3.406595954434604e-14,High
DISAGREE_02,lightgbm,LightGBM,2,4,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.9953879520774478,12,1.0,0.8193238006147266,4.817026941568508e-20,High
DISAGREE_02,lightgbm,LightGBM,2,5,0.6666666666666666,0.8181818181818182,0.5789473684210527,0.9929251960893851,11,0.9090909090909091,0.7411198717092075,8.609917409226802e-15,High
DISAGREE_02,lightgbm,LightGBM,3,4,0.6666666666666666,0.8181818181818182,0.5789473684210527,0.9909765700031904,11,1.0,0.7370038754510222,1.4407016483262987e-14,High
DISAGREE_02,lightgbm,LightGBM,3,5,0.6666666666666666,0.6666666666666666,0.5789473684210527,0.9908306834224004,11,0.9090909090909091,0.7261526125885339,5.3524629671187983e-14,Moderate
DISAGREE_02,lightgbm,LightGBM,4,5,1.0,0.6666666666666666,0.6666666666666666,0.9958680886477327,12,0.9166666666666666,0.8154750768408391,9.94612980223023e-20,Moderate
DISAGREE_02,xgboost,XGBoost,1,2,1.0,0.8181818181818182,0.7647058823529411,0.9878851539944754,13,1.0,0.8774822931979152,5.78971396781413e-26,High
DISAGREE_02,xgboost,XGBoost,1,3,1.0,0.6666666666666666,0.7647058823529411,0.9764748107856469,13,1.0,0.8680208472537752,8.156032433427553e-25,Moderate
DISAGREE_02,xgboost,XGBoost,1,4,1.0,0.8181818181818182,0.7647058823529411,0.9812320090519634,13,1.0,0.8732593879460109,1.9353776582243321e-25,High
DISAGREE_02,xgboost,XGBoost,1,5,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.9841164320850652,12,1.0,0.8158492583188559,9.276071698485706e-20,High
DISAGREE_02,xgboost,XGBoost,2,3,1.0,0.8181818181818182,0.7647058823529411,0.9870955715601949,13,1.0,0.8773219297073365,6.06612190071107e-26,High
DISAGREE_02,xgboost,XGBoost,2,4,1.0,0.6666666666666666,0.7647058823529411,0.9832456802143192,13,1.0,0.8753975678203928,1.0562636119097714e-25,Moderate
DISAGREE_02,xgboost,XGBoost,2,5,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9871741741215737,13,1.0,0.8825070159027129,1.297966383125177e-26,High
DISAGREE_02,xgboost,XGBoost,3,4,1.0,0.8181818181818182,0.875,0.9940034169025606,14,1.0,0.9433382333288788,3.755036708492917e-38,High
DISAGREE_02,xgboost,XGBoost,3,5,0.6666666666666666,0.6666666666666666,0.875,0.9874848564129273,14,1.0,0.9420018709073901,8.883147198735746e-38,Moderate
DISAGREE_02,xgboost,XGBoost,4,5,0.6666666666666666,0.6666666666666666,0.875,0.9903394189618024,14,1.0,0.9402378725110249,2.6842234411126034e-37,Moderate
DISAGREE_03,lightgbm,LightGBM,1,2,1.0,0.8181818181818182,0.875,0.9845568233046653,14,1.0,0.9266069758118402,5.120560312946084e-34,High
DISAGREE_03,lightgbm,LightGBM,1,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9685278222707717,12,1.0,0.7960176399839636,3.0502873523008815e-18,Moderate
DISAGREE_03,lightgbm,LightGBM,1,4,1.0,0.8181818181818182,0.7647058823529411,0.9792787312962699,13,1.0,0.8628892155552585,3.1483868020091864e-24,High
DISAGREE_03,lightgbm,LightGBM,1,5,0.6666666666666666,0.8181818181818182,0.875,0.9855033580939017,14,1.0,0.9281571562207671,2.3419529354796356e-34,High
DISAGREE_03,lightgbm,LightGBM,2,3,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9825173724571247,13,1.0,0.8730990244554322,2.0244083152715472e-25,High
DISAGREE_03,lightgbm,LightGBM,2,4,1.0,0.8181818181818182,0.875,0.9950744975827981,14,1.0,0.9380462381397835,1.0128215299079336e-36,High
DISAGREE_03,lightgbm,LightGBM,2,5,0.6666666666666666,1.0,0.875,0.9920917639033024,14,1.0,0.9320058799946545,3.1051342853312353e-35,High
DISAGREE_03,lightgbm,LightGBM,3,4,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.982990364341864,13,1.0,0.867913938260056,8.393614834217606e-25,High
DISAGREE_03,lightgbm,LightGBM,3,5,1.0,0.8181818181818182,0.7647058823529411,0.9757242438423862,13,0.9230769230769231,0.8655084859013764,1.5910646770346163e-24,High
DISAGREE_03,lightgbm,LightGBM,4,5,0.6666666666666666,0.8181818181818182,0.7647058823529411,0.9849177160523882,13,1.0,0.8647066684484832,1.963719145249485e-24,High
DISAGREE_03,xgboost,XGBoost,1,2,1.0,0.8181818181818182,0.7647058823529411,0.9659318801162387,13,1.0,0.8681812107443538,7.8118411896750045e-25,High
DISAGREE_03,xgboost,XGBoost,1,3,1.0,0.8181818181818182,0.875,0.9724599534630468,14,1.0,0.9276226112521716,3.073138833447395e-34,High
DISAGREE_03,xgboost,XGBoost,1,4,1.0,0.8181818181818182,0.875,0.9715638061153281,14,1.0,0.9294400641453961,1.2095113319475156e-34,High
DISAGREE_03,xgboost,XGBoost,1,5,1.0,0.8181818181818182,0.7647058823529411,0.9559382378216125,13,0.9230769230769231,0.8601630362154216,6.311916374249633e-24,High
DISAGREE_03,xgboost,XGBoost,2,3,1.0,1.0,0.875,0.9826309149480776,14,1.0,0.9374047841774689,1.4802999907497805e-36,High
