publication_scope,condition_id,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,status,n,p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_latency_ms_if_n_gte_100,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_throughput_flows_per_second,throughput_ci95_low_flows_per_second,throughput_ci95_high_flows_per_second,gpu_memory_baseline_mib,gpu_memory_loaded_mib,gpu_memory_prepared_input_mib,gpu_memory_peak_process_mib,delta_model_gpu_memory_mib,delta_peak_gpu_memory_mib,torch_peak_allocated_mib,timing_boundary,output_boundary_detail,error_or_backend_detail,complete_e2e_available,ratio_uncertainty_available,publication_claim_boundary
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_021,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,PASS,200,0.791709,0.7834464999999999,0.803033,0.8778458999999998,0.86841,0.91598796875,0.96267194,0.88674617,0.971735,1263.0907269750303,1246.3008005035222,1276.3779457207515,102.0,104.0,104.0,154.0,2.0,52.0,12.57763671875,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_UINT8_IMAGE_CNN_INTERNAL_FLOAT32_DIV255_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_022,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,64,PASS,150,12.465088,12.462337,12.4676915625,12.48816075,12.481347,12.4957568,12.50661037,12.49082577,12.510996,5134.340008985704,5133.259606083592,5135.474865069137,102.0,104.0,106.0,630.0,2.0,528.0,323.76318359375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_UINT8_IMAGE_CNN_INTERNAL_FLOAT32_DIV255_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_023,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,256,PASS,100,49.5738875,49.566623,49.579746,49.6262302,49.61501065,49.64029245,49.64056829,49.62602124,49.644458,5164.008975512605,5163.359000793531,5164.742161888351,102.0,104.0,124.0,2092.0,2.0,1990.0,1268.76318359375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_UINT8_IMAGE_CNN_INTERNAL_FLOAT32_DIV255_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_024,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1024,PASS,50,197.117276,197.069606,197.1339915,197.24827785,197.1958867,197.28591065,,,,5194.876982801669,5194.402979471257,5196.1523537817775,102.0,104.0,136.0,7912.0,2.0,7810.0,5048.76318359375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_UINT8_IMAGE_CNN_INTERNAL_FLOAT32_DIV255_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_025,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,8192,RESOURCE_LIMIT_OOM,0,,,,,,,,,,,,,,,,,,,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_UINT8_IMAGE_CNN_INTERNAL_FLOAT32_DIV255_TO_HOST_NUMPY_PROBABILITY,"OutOfMemoryError: CUDA out of memory. Tried to allocate 16.00 GiB. GPU 0 has a total capacity of 14.56 GiB of which 13.19 GiB is free. Including non-PyTorch memory, this process has 1.37 GiB memory in use. Of the allocated memory 1.25 GiB is allocated by PyTorch, and 1.64 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_026,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,PASS,200,1.8336565,1.823833,1.849274,2.0079754,1.9746454875,2.053029,2.12054122,2.04202713,2.187827,545.358416401908,541.159827932849,548.4052674458992,102.0,104.0,104.0,152.0,2.0,50.0,10.4638671875,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_FLOAT32_DIV255_IMAGE_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_027,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,64,PASS,150,3.8814775,3.8782335,3.8866218,4.9415059,4.932638,4.94926645,4.9661663,4.94600113,4.990119,16488.56654363947,16468.597472482004,16502.590925537435,102.0,104.0,124.0,228.0,2.0,126.0,72.10986328125,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_FLOAT32_DIV255_IMAGE_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_028,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,256,PASS,100,15.8971775,15.8903665,15.90678685,16.03908765,16.024857,16.0748128,16.095380090000003,16.03845755,16.109843,16103.48756006017,16094.362099109989,16110.61262869984,102.0,104.0,140.0,478.0,2.0,376.0,261.98291015625,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_FLOAT32_DIV255_IMAGE_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_029,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1024,PASS,50,58.715826500000006,58.6366435375,58.8168755,59.5537633,59.2374622,59.7461259,,,,17439.931636034395,17413.59786095257,17460.76379569211,102.0,104.0,184.0,1488.0,2.0,1386.0,1011.51513671875,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_FLOAT32_DIV255_IMAGE_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_030,STAGE21_MASKED_VIT_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,8192,PASS,20,515.7682910000001,511.9488055,519.4737915000001,522.8001391,520.1646757,522.833752,,,,15883.148607722003,15769.821944256177,16001.62198838072,102.0,104.0,744.0,10872.0,2.0,10770.0,8026.73974609375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_FLOAT32_DIV255_IMAGE_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
