split,family,subset,reporting,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,new_top20_entrants,features_leaving_top10,features_leaving_top20,number_positive_share_gainers
RANDOM_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.8181818181818182,0.7391304347826086,0.8873812754409771,Subflow Fwd Byts,Subflow Fwd Byts|Fwd IAT Max|Idle Max,TotLen Fwd Pkts,TotLen Fwd Pkts|Init Bwd Win Byts|RST Flag Cnt,34
RANDOM_NATURAL,PLACEBO,PLACEBO_IAT,LightGBM,1.0,0.9047619047619048,0.9895442573230107,,Pkt Len Max,,Pkt Len Mean,34
RANDOM_NATURAL,PLACEBO,PLACEBO_IAT,XGBoost,0.8181818181818182,0.7391304347826086,0.9814430521190839,Fwd IAT Std,Flow Pkts/s|Init Bwd Win Byts|Bwd Pkt Len Max,Flow IAT Max,Flow IAT Max|Flow IAT Std|Flow IAT Mean,31
RANDOM_NATURAL,PLACEBO,PLACEBO_IAT,DESCRIPTIVE_CONSENSUS_0.5_0.5,1.0,0.8181818181818182,0.9935749062175754,,Fwd IAT Max|Idle Max,,Flow IAT Max|RST Flag Cnt,37
RANDOM_NATURAL,PLACEBO,PLACEBO_PACKET_SIZE,LightGBM,0.6666666666666666,0.6666666666666666,0.96815388299146,Bwd Pkt Len Std|Bwd Pkt Len Mean,PSH Flag Cnt|Idle Max|Fwd Pkts/s|Tot Fwd Pkts,Pkt Len Std|Pkt Len Var,Pkt Len Std|Pkt Len Var|Fwd Pkt Len Max|Pkt Len Mean,42
RANDOM_NATURAL,PLACEBO,PLACEBO_PACKET_SIZE,XGBoost,1.0,0.9047619047619048,0.9964881474978053,,Bwd Pkt Len Max,,Flow IAT Mean,30
RANDOM_NATURAL,PLACEBO,PLACEBO_PACKET_SIZE,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.8181818181818182,0.7391304347826086,0.9907813871817385,ECE Flag Cnt,Idle Max|Fwd IAT Max|Bwd Pkt Len Mean,Pkt Len Std,Pkt Len Std|Pkt Len Var|Pkt Len Max,40
RANDOM_NATURAL,PLACEBO,PLACEBO_ACTIVITY,LightGBM,1.0,0.8181818181818182,0.9915795354776918,,Idle Max|Fwd Pkts/s,,Pkt Len Mean|Fwd IAT Min,34
RANDOM_NATURAL,PLACEBO,PLACEBO_ACTIVITY,XGBoost,0.8181818181818182,1.0,0.9936946284619684,TotLen Fwd Pkts,,Fwd Pkts/s,,30
RANDOM_NATURAL,PLACEBO,PLACEBO_ACTIVITY,DESCRIPTIVE_CONSENSUS_0.5_0.5,1.0,0.8181818181818182,0.9952909250538751,,Idle Max|Fwd IAT Max,,Init Bwd Win Byts|RST Flag Cnt,33
CHRONOLOGICAL_NATURAL,PRIMARY,NO_DST_PORT,LightGBM,0.3333333333333333,0.5384615384615384,0.871611253196931,Fwd IAT Tot|Fwd Pkt Len Std|TotLen Bwd Pkts|Fwd Pkt Len Max|Flow Duration,TotLen Bwd Pkts|Fwd IAT Max|Bwd IAT Min|ECE Flag Cnt|Bwd Pkt Len Std|Bwd Header Len,Dst Port|Fwd IAT Min|Flow IAT Std|Flow Pkts/s|Fwd Seg Size Min,Dst Port|Flow IAT Std|Flow Pkts/s|Bwd Pkt Len Max|Fwd IAT Mean|Tot Bwd Pkts,37
CHRONOLOGICAL_NATURAL,PRIMARY,NO_DST_PORT,XGBoost,0.5384615384615384,0.42857142857142855,0.8063573255389114,Fwd IAT Tot|Flow IAT Mean|Bwd Pkts/s,Flow IAT Mean|Bwd IAT Min|Fwd Pkt Len Std|Tot Bwd Pkts|Pkt Len Max|ECE Flag Cnt|Tot Fwd Pkts|Flow Duration,Dst Port|Fwd Pkt Len Mean|RST Flag Cnt,Dst Port|RST Flag Cnt|Bwd Pkt Len Min|Flow IAT Max|Idle Min|TotLen Fwd Pkts|Fwd IAT Std|Fwd IAT Mean,36
CHRONOLOGICAL_NATURAL,PRIMARY,NO_DST_PORT,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.5384615384615384,0.5384615384615384,0.8582754841066862,Fwd IAT Tot|Pkt Len Std|Fwd Pkt Len Std,TotLen Bwd Pkts|Flow Duration|Bwd IAT Min|ECE Flag Cnt|Fwd IAT Max|Flow IAT Mean,Dst Port|Bwd Pkt Len Min|Fwd IAT Min,Dst Port|Flow IAT Std|Fwd Pkt Len Mean|Flow Pkts/s|Fwd IAT Mean|Bwd Pkt Len Max,36
CHRONOLOGICAL_NATURAL,PRIMARY,NO_PORTS,LightGBM,0.3333333333333333,0.5384615384615384,0.8635339924418824,Fwd IAT Tot|Fwd Pkt Len Std|TotLen Bwd Pkts|Fwd Pkt Len Max|Flow Duration,TotLen Bwd Pkts|Fwd IAT Max|Bwd IAT Min|ECE Flag Cnt|Bwd Pkt Len Std|Bwd Header Len,Dst Port|Fwd IAT Min|Flow IAT Std|Flow Pkts/s|Fwd Seg Size Min,Dst Port|Flow IAT Std|Flow Pkts/s|Bwd Pkt Len Max|Fwd IAT Mean|Tot Bwd Pkts,37
CHRONOLOGICAL_NATURAL,PRIMARY,NO_PORTS,XGBoost,0.5384615384615384,0.42857142857142855,0.8045196014810855,Fwd IAT Tot|Flow IAT Mean|Bwd Pkts/s,Flow IAT Mean|Bwd IAT Min|Fwd Pkt Len Std|Tot Bwd Pkts|Pkt Len Max|ECE Flag Cnt|Tot Fwd Pkts|Flow Duration,Dst Port|Fwd Pkt Len Mean|RST Flag Cnt,Dst Port|RST Flag Cnt|Bwd Pkt Len Min|Flow IAT Max|Idle Min|TotLen Fwd Pkts|Fwd IAT Std|Fwd IAT Mean,36
CHRONOLOGICAL_NATURAL,PRIMARY,NO_PORTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.5384615384615384,0.5384615384615384,0.852769401076459,Fwd IAT Tot|Pkt Len Std|Fwd Pkt Len Std,TotLen Bwd Pkts|Flow Duration|Bwd IAT Min|ECE Flag Cnt|Fwd IAT Max|Flow IAT Mean,Dst Port|Bwd Pkt Len Min|Fwd IAT Min,Dst Port|Flow IAT Std|Fwd Pkt Len Mean|Flow Pkts/s|Fwd IAT Mean|Bwd Pkt Len Max,37
