Attack Category,Support,Operating Point Key,Operating Point,Model,Threshold,Detected,Missed,Detection Rate,Detection Rate CI Lower,Detection Rate CI Upper,Miss Rate,Mean Attack Probability,Median Attack Probability,Probability Q10,Probability Q90
DoS attacks-Slowloris,820,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,820,0,1.0,0.995337138256925,1.0,0.0,0.9952664408467088,0.9991478635782298,0.9937958706438608,0.9995724227543328
DoS attacks-Slowloris,820,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,820,0,1.0,0.995337138256925,1.0,0.0,0.9952664408467088,0.9991478635782298,0.9937958706438608,0.9995724227543328
FTP-BruteForce,3950,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,3950,0,1.0,0.9990284236581809,1.0,0.0,0.9998349085594936,0.9998771,0.99954104,0.9998977
FTP-BruteForce,3950,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,3950,0,1.0,0.9990284236581809,1.0,0.0,0.9998349085594936,0.9998771,0.99954104,0.9998977
FTP-BruteForce,3950,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,3950,0,1.0,0.9990284236581809,1.0,0.0,0.9997213838673112,0.999762365904194,0.9995310705182014,0.9997706651919208
FTP-BruteForce,3950,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,3950,0,1.0,0.9990284236581809,1.0,0.0,0.9997213838673112,0.999762365904194,0.9995310705182014,0.9997706651919208
Infilteration,3967,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,970,2997,0.24451726745651625,0.23139391280427832,0.25813493869461734,0.7554827325434837,0.35777145848686664,0.2296317,0.082961372,0.99075216
Infilteration,3967,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,1709,2258,0.43080413410637763,0.41546891222401666,0.4462732384779536,0.5691958658936224,0.35777145848686664,0.2296317,0.082961372,0.99075216
Infilteration,3967,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,968,2999,0.24401310814217292,0.23089956419248622,0.25762194414212514,0.7559868918578271,0.3548116200384728,0.2206433436123616,0.0878257249011865,0.981110018828741
Infilteration,3967,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,1739,2228,0.4383665238215276,0.42299297545368925,0.4538593227125464,0.5616334761784725,0.3548116200384728,0.2206433436123616,0.0878257249011865,0.981110018828741
SQL Injection,13,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,12,1,0.9230769230769231,0.6668604907890041,0.9862895787574435,0.07692307692307687,0.8973504361538461,0.96693546,0.81689435,0.9811411400000001
SQL Injection,13,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,13,0,1.0,0.7719046276458016,0.9999999999999999,0.0,0.8973504361538461,0.96693546,0.81689435,0.9811411400000001
SQL Injection,13,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,12,1,0.9230769230769231,0.6668604907890041,0.9862895787574435,0.07692307692307687,0.8877128639110015,0.9557236971030804,0.7294611894538402,0.9795331584561391
SQL Injection,13,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,13,0,1.0,0.7719046276458016,0.9999999999999999,0.0,0.8877128639110015,0.9557236971030804,0.7294611894538402,0.9795331584561391
