family,learner,metric,analysis_status,metric_role,frozen_seed_count,defined_seed_count,random_gt_chrono_seed_count,random_lt_chrono_seed_count,random_eq_chrono_seed_count,undefined_seed_count,note
BOT,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,3,2,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,3,2,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,SECURITY_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,1,4,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,3,2,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,2,3,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,SECURITY_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,2,3,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,LIGHTGBM,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
DDOS,XGBOOST,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
