arm,parent_stage,family,learner,seed,support_n,support_status,inferential_family_claim_authorized,source_path,ROC_AUC,PR_AUC,PR_CHANCE_ANCHOR,PR_EXCESS,PR_LIFT,KNOWN_ROC_AUC,KNOWN_PR_AUC,KNOWN_PR_CHANCE_ANCHOR,KNOWN_PR_EXCESS,KNOWN_PR_LIFT,GAP_ROC_AUC,GAP_PR_EXCESS,GAP_RECALL_STANDARD,GAP_RECALL_BALANCED,GAP_RECALL_SECURITY,STANDARD_FEASIBLE,STANDARD_RECALL,STANDARD_FPR,STANDARD_PRECISION,STANDARD_F1,STANDARD_TP,STANDARD_FP,STANDARD_TN,STANDARD_FN,STANDARD_THRESHOLD,BALANCED_FEASIBLE,BALANCED_RECALL,BALANCED_FPR,BALANCED_PRECISION,BALANCED_F1,BALANCED_TP,BALANCED_FP,BALANCED_TN,BALANCED_FN,BALANCED_THRESHOLD,SECURITY_FEASIBLE,SECURITY_RECALL,SECURITY_FPR,SECURITY_PRECISION,SECURITY_F1,SECURITY_TP,SECURITY_FP,SECURITY_TN,SECURITY_FN,SECURITY_THRESHOLD
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,43,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a43_web_attack_xgboost_seed43/stage28_2a43_web_attack_xgboost_seed43_result.json,0.9704910005967946,0.6887723178792104,0.004750159064959515,0.6840221588142509,144.99984283896413,0.7599331917669676,0.5551916054853958,0.364752299723398,0.1904393057619978,1.5221058397888465,-0.210557808829827,-0.4935828530522531,-0.47705630443867403,-0.5537564003607982,-0.5537564003607982,True,0.47706422018348627,0.0007071671278943497,0.7630227439471754,0.5870731018910528,1040.0,323.0,456429.0,1140.0,0.5,True,0.5541284403669725,0.0015829158930885908,0.6255825996892802,0.5876915592313305,1208.0,723.0,456029.0,972.0,0.01,True,0.5541284403669725,0.0015829158930885908,0.6255825996892802,0.5876915592313305,1208.0,723.0,456029.0,972.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,43,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a44_web_attack_lightgbm_seed43/stage28_2a44_web_attack_lightgbm_seed43_result.json,0.9902430063225847,0.7570623540527766,0.004750159064959515,0.752312194987817,159.3762111330958,0.7760584972264759,0.5602596672572264,0.364752299723398,0.1955073675338284,1.5360003697909161,-0.21418450909610875,-0.5568048274539885,-0.06329879442117188,-0.526534262883846,-0.526534262883846,True,0.06330275229357799,0.00011603671138823694,0.7225130890052356,0.1164065795023197,138.0,53.0,456699.0,2042.0,0.5,True,0.5266055045871559,0.0002452096542543875,0.9111111111111111,0.6674418604651163,1148.0,112.0,456640.0,1032.0,0.01,True,0.5266055045871559,0.0002452096542543875,0.9111111111111111,0.6674418604651163,1148.0,112.0,456640.0,1032.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,44,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a45_web_attack_xgboost_seed44/stage28_2a45_web_attack_xgboost_seed44_result.json,0.9671871640619703,0.695742565927297,0.004750159064959515,0.6909924068623374,146.46721434226893,0.7761441580397113,0.5573979620998455,0.364752299723398,0.19264566237644748,1.5281547574135548,-0.191043006022259,-0.49834674448588995,-0.5142083098690202,-0.7775660747735054,-0.7775660747735054,True,0.5142201834862385,0.0007246821031982345,0.772038567493113,0.6172907488986784,1121.0,331.0,456421.0,1059.0,0.5,True,0.7779816513761468,0.001895996076645532,0.6619828259172521,0.7153099957823703,1696.0,866.0,455886.0,484.0,0.01,True,0.7779816513761468,0.001895996076645532,0.6619828259172521,0.7153099957823703,1696.0,866.0,455886.0,484.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,44,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a46_web_attack_lightgbm_seed44/stage28_2a46_web_attack_lightgbm_seed44_result.json,0.9891008210385706,0.747764926738712,0.004750159064959515,0.7430147676737524,157.41892355873878,0.7299829043701691,0.507319407989407,0.364752299723398,0.142567108266009,1.3908600668840791,-0.25911791666840145,-0.6004476594077435,-0.05917431192660551,-0.5141568575277408,-0.5141568575277408,True,0.05917431192660551,0.00010290047991032332,0.7329545454545454,0.10950764006791172,129.0,47.0,456705.0,2051.0,0.5,True,0.5142201834862385,0.00025834588573230114,0.9047619047619048,0.6557472945305645,1121.0,118.0,456634.0,1059.0,0.01,True,0.5142201834862385,0.00025834588573230114,0.9047619047619048,0.6557472945305645,1121.0,118.0,456634.0,1059.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,45,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a47_web_attack_xgboost_seed45/stage28_2a47_web_attack_xgboost_seed45_result.json,0.9714765960762277,0.7165151429581311,0.004750159064959515,0.7117649838931716,150.84024201287204,0.7666889770104082,0.5541539366447457,0.364752299723398,0.18940163692134765,1.5192609808491304,-0.20478761906581955,-0.5223633469718238,-0.5142083098690202,-0.7775660747735054,-0.7775660747735054,True,0.5142201834862385,0.0001729603811258626,0.9341666666666667,0.6633136094674557,1121.0,79.0,456673.0,1059.0,0.5,True,0.7779816513761468,0.0015084772480470803,0.7111111111111111,0.7430449069003285,1696.0,689.0,456063.0,484.0,0.01,True,0.7779816513761468,0.0015084772480470803,0.7111111111111111,0.7430449069003285,1696.0,689.0,456063.0,484.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,45,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a48_web_attack_lightgbm_seed45/stage28_2a48_web_attack_lightgbm_seed45_result.json,0.9899467752640664,0.7449100854952038,0.004750159064959515,0.7401599264302442,156.81792447545178,0.748088545145498,0.5370219398842583,0.364752299723398,0.17226964016086027,1.4722921289091178,-0.24185823011856833,-0.567890286269384,-0.07017952836612601,-0.5467019176327537,-0.5467019176327537,True,0.07018348623853211,9.633236417136652e-05,0.7766497461928934,0.12873369793857803,153.0,44.0,456708.0,2027.0,0.5,True,0.5467889908256881,0.00018828598451676182,0.9327073552425665,0.6894158473105841,1192.0,86.0,456666.0,988.0,0.01,True,0.5467889908256881,0.00018828598451676182,0.9327073552425665,0.6894158473105841,1192.0,86.0,456666.0,988.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,46,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a49_web_attack_xgboost_seed46/stage28_2a49_web_attack_xgboost_seed46_result.json,0.970351844419295,0.704569932952451,0.004750159064959515,0.6998197738874914,148.32554516960286,0.7590647653877283,0.5416791949398927,0.364752299723398,0.17692689521649468,1.4850603967422915,-0.21128707903156674,-0.5228928786709968,-0.5142083098690202,-0.5578848407277707,-0.5578848407277707,True,0.5142201834862385,0.00018171786877780504,0.9310631229235881,0.6625295508274232,1121.0,83.0,456669.0,1059.0,0.5,True,0.558256880733945,0.0015916733807405331,0.6260288065843621,0.5902036857419981,1217.0,727.0,456025.0,963.0,0.01,True,0.558256880733945,0.0015916733807405331,0.6260288065843621,0.5902036857419981,1217.0,727.0,456025.0,963.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,46,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a50_web_attack_lightgbm_seed46/stage28_2a50_web_attack_lightgbm_seed46_result.json,0.988657200559001,0.743540220901602,0.004750159064959515,0.7387900618366424,156.52954158661194,0.7611892170492565,0.535215504261019,0.364752299723398,0.17046320453762104,1.4673396292960679,-0.2274679835097445,-0.5683268572990214,-0.06009174311926606,-0.5058999767937958,-0.5058999767937958,True,0.06009174311926606,0.00011384733947525135,0.7158469945355191,0.1108760050782903,131.0,52.0,456700.0,2049.0,0.5,True,0.5059633027522936,0.00020580095982064664,0.9214703425229741,0.6532425229493634,1103.0,94.0,456658.0,1077.0,0.01,True,0.5059633027522936,0.00020580095982064664,0.9214703425229741,0.6532425229493634,1103.0,94.0,456658.0,1077.0,0.01
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,46,1966,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b10_bot_lightgbm_seed46/stage28_2b10_bot_lightgbm_seed46_result.json,0.9047930866703069,0.03399619019927651,0.004305870088000946,0.02969032011127556,7.895312562729839,0.9999749844078641,0.9999149478146923,0.23405008108165026,0.765864866733042,4.272226453388255,0.09518189773755725,0.7361745466217664,0.9998560296578904,0.9998470315115087,0.9998920222434179,True,0.0,0.0006378953851568342,0.0,0.0,0.0,290.0,454330.0,1966.0,0.5,True,0.0,0.0006202982710835423,0.0,0.0,0.0,282.0,454338.0,1966.0,0.64,True,0.0,0.0006642910562667723,0.0,0.0,0.0,302.0,454318.0,1966.0,0.25
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,42,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b11_ddos_xgboost_seed42/stage28_2b11_ddos_xgboost_seed42_result.json,0.9636005815622366,0.9005877883549922,0.21973338917045826,0.6808543991845339,4.098547752596493,0.9999678450324664,0.9998563350669253,0.1911004254732361,0.8087559095936891,5.232098947927024,0.03636726347022978,0.1279015104091552,0.3708291178840253,0.37169478499562625,0.370586825828066,True,0.629007943636889,0.0009942369451409968,0.9944185127559211,0.7705888263184839,80530.0,452.0,454168.0,47497.0,0.5,True,0.6277582072531576,0.0008688575073687915,0.9951092676283043,0.7698570826468447,80370.0,395.0,454225.0,47657.0,0.7,True,0.629273512618432,0.0010030355021776428,0.9943717600592447,0.7707740364607002,80564.0,456.0,454164.0,47463.0,0.47
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,42,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b12_ddos_lightgbm_seed42/stage28_2b12_ddos_lightgbm_seed42_result.json,0.9076101145483204,0.8285684687483381,0.21973338917045826,0.6088350795778799,3.7707900100042413,0.9999673887677323,0.9998545861716183,0.1911004254732361,0.8087541606983821,5.232089796218949,0.09235727421941187,0.19991908112050227,0.3721156372354678,0.3726893165358829,0.37145719115983933,True,0.627477016566818,0.0009348466851436364,0.9947374286457237,0.7695343557518224,80334.0,425.0,454195.0,47693.0,0.5,True,0.6257976833011787,0.0006444943029343188,0.9963562652340446,0.7687524887377122,80119.0,293.0,454327.0,47908.0,0.86,True,0.6284846165262015,0.0010866217940257799,0.9938979952320368,0.7700398116602228,80463.0,494.0,454126.0,47564.0,0.1
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,43,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b13_ddos_xgboost_seed43/stage28_2b13_ddos_xgboost_seed43_result.json,0.9754553046406532,0.9246560239376163,0.21973338917045826,0.704922634767158,4.208081563882465,0.9999674655692025,0.9998544323443872,0.1911004254732361,0.8087540068711511,5.2320889912640105,0.024512160928549243,0.10383137210399307,0.3695675874058906,0.37065756112265136,0.3691456457447698,True,0.6302811125778156,0.0009986362236593198,0.9944052152266873,0.771539483874669,80693.0,454.0,454166.0,47334.0,0.5,True,0.6279691002679122,0.0006906867273767102,0.9961095761420377,0.7703149402600389,80397.0,314.0,454306.0,47630.0,0.81,True,0.63072633116452,0.001016233337732612,0.9943111855390829,0.7718446369940595,80750.0,462.0,454158.0,47277.0,0.44
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,43,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b14_ddos_lightgbm_seed43/stage28_2b14_ddos_lightgbm_seed43_result.json,0.9100202657206079,0.8320575548701812,0.21973338917045826,0.6123241656997229,3.7866687352858888,0.9999667267870602,0.9998514660800651,0.1911004254732361,0.808751040606829,5.232073469245602,0.08994646106645232,0.19642687490710609,0.3714445264556573,0.3715558091484584,0.3699732848357693,True,0.6280550196442938,0.0009304474066253134,0.9947668592495453,0.7699776881900622,80408.0,423.0,454197.0,47619.0,0.5,True,0.6270708522421051,0.0006708899740442567,0.9962152704530507,0.7696703001716088,80282.0,305.0,454315.0,47745.0,0.84,True,0.6299452459246878,0.0010800228762482952,0.9939488051663155,0.7711504627858946,80650.0,491.0,454129.0,47377.0,0.11
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,44,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b15_ddos_xgboost_seed44/stage28_2b15_ddos_xgboost_seed44_result.json,0.954709876895568,0.883603917940386,0.21973338917045826,0.6638705287699277,4.021254672656643,0.9999675836674632,0.9998551024005229,0.1911004254732361,0.8087546769272868,5.232092497567747,0.04525770677189522,0.14488414815735906,0.3707431985076437,0.37156168924163213,0.36949713410269436,True,0.6290938630132706,0.0009942369451409968,0.9944192708011803,0.7706535259783752,80541.0,452.0,454168.0,47486.0,0.5,True,0.6279378568583189,0.000888654260701245,0.9949998143495427,0.7699593916408076,80393.0,404.0,454216.0,47634.0,0.68,True,0.6303748428065955,0.0010250318947692579,0.9942590333986275,0.7715656937446821,80705.0,466.0,454154.0,47322.0,0.39
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,44,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b16_ddos_lightgbm_seed44/stage28_2b16_ddos_lightgbm_seed44_result.json,0.9255474908163785,0.8527673675610018,0.21973338917045826,0.6330339783905435,3.8809184656932914,0.9999664004128125,0.9998500007912303,0.1911004254732361,0.8087495753179942,5.2320658016078605,0.07441890959643394,0.17571559692745065,0.36835096201108786,0.36888950711162716,0.3679972948106053,True,0.6312184148656143,0.0009150499318111829,0.9948786763348065,0.772384065450931,80813.0,416.0,454204.0,47214.0,0.5,True,0.6301561389394424,0.0007544762658923936,0.9957664774129844,0.7718551330562027,80677.0,343.0,454277.0,47350.0,0.78,True,0.6318979590242683,0.001047028287360873,0.9941506095163193,0.7726727888330157,80900.0,476.0,454144.0,47127.0,0.16
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,45,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b17_ddos_xgboost_seed45/stage28_2b17_ddos_xgboost_seed45_result.json,0.9626994082552034,0.9004670855869178,0.21973338917045826,0.6807336964164595,4.097998437954189,0.9999679421383254,0.9998567349949501,0.1911004254732361,0.808756309521714,5.2321010406906785,0.03726853388312201,0.12802261310525442,0.37063001896367365,0.37074824189909406,0.3702002664501547,True,0.6291954040944489,0.0010008358629184813,0.9943833401227025,0.7707189192292236,80554.0,455.0,454165.0,47473.0,0.5,True,0.6277503964007592,0.0006554924992301262,0.9963058003892545,0.7702090141546953,80369.0,298.0,454322.0,47658.0,0.83,True,0.6296484335335515,0.0010052351414368043,0.9943628267278491,0.7710525308949,80612.0,457.0,454163.0,47415.0,0.45
28B_RANDOM_LOAO_CONTROL,STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,45,128027,INFERENTIAL_SUPPORT_ELIGIBLE,True,results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b18_ddos_lightgbm_seed45/stage28_2b18_ddos_lightgbm_seed45_result.json,0.9082068681558081,0.8398894354018954,0.21973338917045826,0.6201560462314372,3.8223113864154294,0.9999682597604055,0.9998587245348372,0.1911004254732361,0.808758299061601,5.2321114516559195,0.0917613916045974,0.18860225283016385,0.3690815101577479,0.3711154444135377,0.3682002213413502,True,0.6304529513305787,0.00091065065329286,0.9948970158636246,0.7718162519841649,80715.0,414.0,454206.0,47312.0,0.5,True,0.6279534785631156,0.0007544762658923936,0.9957516906537195,0.7701961535698034,80395.0,343.0,454277.0,47632.0,0.76,True,0.6317183094191069,0.0010492279266200344,0.994136735747474,0.7725342796146737,80877.0,477.0,454143.0,47150.0,0.14
