family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
BOT,XGBOOST,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40136.4,40127.0,35.12548932043509,40103.0,40181.0,78.0,59.0
BOT,XGBOOST,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.015354188685819337,0.014940929752136838,0.003763163233686764,0.011409557277735807,0.020178462152099525,0.008768904874363718,0.0059215401906444875
BOT,XGBOOST,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0004168218944727263,-0.0004168218944727263,0.0,-0.0004168218944727263,-0.0004168218944727263,0.0,0.0
BOT,XGBOOST,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.01577101058029206,0.015357751646609564,0.0037631632336867643,0.011826379172208534,0.02059528404657225,0.008768904874363718,0.005921540190644489
BOT,XGBOOST,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,3.636433717849036,3.542561258124617,0.8740650854844663,2.724407471470356,4.762758028535045,2.0383505570646894,1.3707644333813729
BOT,XGBOOST,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.5116782423897748,0.49343641040190006,0.05537168777004535,0.4645965308766591,0.600377410671029,0.13578087979436992,0.05610509534820085
BOT,XGBOOST,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,SECURITY_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,SECURITY_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,38.2,50.0,66.44697133805272,-48.0,117.0,165.0,88.0
BOT,XGBOOST,SECURITY_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,2.6903586132021495e-05,5.820789058562793e-05,0.00016140516473264925,-0.00018110436852022212,0.00021927603760993006,0.00040038040613015217,0.00021367884490129446
BOT,XGBOOST,SECURITY_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,SECURITY_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,SECURITY_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40259.8,40248.0,66.44697133805273,40181.0,40346.0,165.0,88.0
BOT,XGBOOST,SECURITY_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,STANDARD_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,STANDARD_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,237.2,238.0,3.7013511046643495,233.0,242.0,9.0,5.0
BOT,XGBOOST,STANDARD_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0005075486537378573,0.0005093939421243145,8.26434374243123e-06,0.000497967860932867,0.0005181924991609604,2.0224638228093423e-05,1.0998196295807427e-05
BOT,XGBOOST,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40060.8,40060.0,3.7013511046643495,40056.0,40065.0,9.0,5.0
BOT,XGBOOST,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS,LIGHTGBM,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.431356331919878,0.4839295653848719,0.07306091431328006,0.34952678781771024,0.48593057496272324,0.136403787145013,0.13109327047478686
DDOS,LIGHTGBM,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-53996.4,-58965.0,6976.813943341187,-59309.0,-46205.0,13104.0,12489.0
DDOS,LIGHTGBM,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,230.2,240.0,41.40893623361991,181.0,272.0,91.0,72.0
DDOS,LIGHTGBM,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.00048714492564473817,0.0005116537961644372,9.529005269371177e-05,0.00037417315175238783,0.0005831119646967052,0.00020893881294431737,0.0001656480698855088
DDOS,LIGHTGBM,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.0005478200772947028,-0.0005088220913349595,0.00023909646118391734,-0.0009218009582082631,-0.00032265778813544976,0.0005991431700728134,0.00024721484428291696
DDOS,LIGHTGBM,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.4217579104407664,0.4605669116670702,0.05449486392199448,0.36090043506447855,0.4632538448920931,0.10235340982761454,0.09754973560264629
DDOS,LIGHTGBM,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40067.8,40058.0,41.40893623361991,40026.0,40117.0,91.0,72.0
DDOS,LIGHTGBM,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,53996.4,58965.0,6976.813943341187,46205.0,59309.0,13104.0,12489.0
DDOS,LIGHTGBM,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.15924152968728925,-0.1619009769940769,0.01263191934873794,-0.1745253457751642,-0.14129982691906084,0.033225518856103364,0.012303589078417887
DDOS,LIGHTGBM,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.016326786104134294,-0.016326786104134294,0.0,-0.016326786104134294,-0.016326786104134294,0.0,0.0
DDOS,LIGHTGBM,PR_EXCESS,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.14291474358315495,-0.1455741908899426,0.01263191934873794,-0.15819855967102991,-0.12497304081492655,0.033225518856103364,0.012303589078417887
DDOS,LIGHTGBM,PR_LIFT,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.41186756537800767,-0.4239463365196565,0.057416178770341705,-0.4812473942432871,-0.330156923553254,0.15109047069003312,0.05568396937595965
DDOS,LIGHTGBM,ROC_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.09091832225635839,-0.09012569190693343,0.013879758777564345,-0.11191637694412315,-0.07292025218058062,0.03899612476354253,0.002314095278710959
DDOS,LIGHTGBM,SECURITY_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.038519777923948985,-0.011241839901610984,0.0731509882490785,-0.12706168051071487,0.04771928796988978,0.17478096848060465,0.10071206066190275
DDOS,LIGHTGBM,SECURITY_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,7230.4,1723.0,13449.24896787921,-8007.0,23896.0,31903.0,18706.0
DDOS,LIGHTGBM,SECURITY_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,310.2,309.0,12.853015210447703,294.0,324.0,30.0,20.0
DDOS,LIGHTGBM,SECURITY_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0006448025928442635,0.0006401091782341975,2.9617791831002552e-05,0.0006077564166902351,0.0006769547311823803,6.919831449214513e-05,4.549038231796995e-05
DDOS,LIGHTGBM,SECURITY_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.003950150192227353,-0.004024005598268765,0.00035049784305161557,-0.004425608883677157,-0.0034674808313472916,0.0009581280523298652,0.0002222111215366418
