seed,layer,head,mean_normalized_entropy,std_normalized_entropy,minimum_entropy,maximum_entropy
313,1,2,0.7006674101576209,0.2711977606158159,0.08664605766534805,0.885710597038269
313,1,3,0.7717867596074939,0.0893770121046427,0.5715171694755554,0.8540114164352417
313,1,4,0.8969707898795605,0.029088312027196674,0.8128320574760437,0.9324852228164673
313,1,5,0.8596300967037678,0.05790408503509214,0.7674570083618164,0.9430680274963379
313,1,6,0.553515937528573,0.1977830793167134,0.09730470925569534,0.7907493710517883
313,1,7,0.3379031449294416,0.21632612825225733,0.005545004270970821,0.6234170198440552
313,1,8,0.20427963591501452,0.18242739864494167,9.645968020777218e-06,0.5857318639755249
313,2,1,0.910288505256176,0.07233041808495196,0.6493228673934937,0.9928027391433716
313,2,2,0.9027511551976204,0.11294660031524344,0.369906485080719,0.9903468489646912
313,2,3,0.6654969432311191,0.2546399026871835,0.0029076244682073593,0.9244563579559326
313,2,4,0.9076874414458871,0.0862921227696501,0.5688301920890808,0.9867369532585144
313,2,5,0.5821852578201288,0.3141969456128809,0.0007185459253378212,0.9644159078598022
313,2,6,0.4996323458935876,0.2986115524046099,0.00036609696689993143,0.9572550058364868
313,2,7,0.8085471428930759,0.17455375805810594,0.2535551190376282,0.9918063282966614
313,2,8,0.8856893749907613,0.08676056620360638,0.650351881980896,0.9869471192359924
313,3,1,0.9152112887240946,0.12354427942146033,0.35796472430229187,0.9968208074569702
313,3,2,0.8642507372424006,0.13562890001845368,0.43376702070236206,0.9948638677597046
313,3,3,0.9004038901184686,0.1430313967337283,0.03279741480946541,0.9880374670028687
313,3,4,0.886204325594008,0.10828869032990723,0.22927379608154297,0.9813456535339355
313,3,5,0.8190123890526593,0.1557283309131279,0.33992958068847656,0.9818625450134277
313,3,6,0.8243236523121595,0.12767251417981038,0.4998633861541748,0.9753689169883728
313,3,7,0.8911799937486649,0.09292983859453817,0.49561983346939087,0.9935741424560547
313,3,8,0.8866750039160252,0.13047709167019186,0.3734338879585266,0.9976932406425476
997,1,1,0.9841172592714429,0.0018714143833996801,0.9811080098152161,0.9875965714454651
997,1,2,0.3885567339602858,0.21257044359729868,0.213473379611969,0.836758017539978
997,1,3,0.9369425717741251,0.009851948810593513,0.8980425596237183,0.9503255486488342
997,1,4,0.8784581869840622,0.06354348215380062,0.6666334867477417,0.9333968758583069
997,1,5,0.2614041585202358,0.2780809564914316,0.0013127385172992945,0.7538458108901978
997,1,6,0.5570571043563177,0.2544636401800156,0.00033310119761154056,0.7872535586357117
997,1,7,0.6852125998120755,0.1515354430986501,0.16589723527431488,0.8298637270927429
997,1,8,0.22341441581465915,0.1764054951520671,0.00018764060223475099,0.4909907281398773
997,2,1,0.8137188493274152,0.13822752658303972,0.040334224700927734,0.9681234359741211
997,2,2,0.7196620090689976,0.28274963126468866,0.017786981537938118,0.9717269539833069
997,2,3,0.861913139000535,0.10853759088777444,0.5028400421142578,0.9811161160469055
997,2,4,0.7778496774844825,0.19769668650888492,0.09493038058280945,0.9695634245872498
997,2,5,0.7589086786101689,0.24534240883441355,0.0021257875487208366,0.9909852743148804
997,2,6,0.8435213090851903,0.09564868726268408,0.5596795678138733,0.9783494472503662
997,2,7,0.7130061874631792,0.19436934232130262,0.13149048388004303,0.9921049475669861
997,2,8,0.5885150325193536,0.3421082353262956,0.024804504588246346,0.9843059182167053
997,3,1,0.9409040063619614,0.050022914992352986,0.7834096550941467,0.9963223338127136
997,3,2,0.8573504164814949,0.1381260571905404,0.29401150345802307,0.9769458174705505
997,3,3,0.8897554343566298,0.0761165688036541,0.6795586943626404,0.971858561038971
997,3,4,0.8342119515873492,0.1758451286577114,0.37457114458084106,0.9778516888618469
997,3,5,0.8527911889832467,0.2165240649316537,0.08029784262180328,0.9927158951759338
997,3,6,0.9405063325539231,0.05715731301710521,0.7394545078277588,0.9973390698432922
997,3,7,0.8725824545254,0.16120922994668335,0.050406862050294876,0.9880854487419128
997,3,8,0.9409785568714142,0.05388053015094014,0.6741747856140137,0.9944732189178467
