seed,layer,head_a,head_b,cosine_similarity,spearman,top10_jaccard
7,2,2,5,0.5683909499156821,0.0001224739742804654,0.1111111111111111
7,2,2,6,0.7781287639510694,0.2676056338028169,0.17647058823529413
7,2,2,7,0.7071717131302743,0.31827486659084947,0.17647058823529413
7,2,2,8,0.8632214605290492,0.46121949085819264,0.25
7,2,3,4,0.6949430999569879,0.3953634852593824,0.17647058823529413
7,2,3,5,0.5082903744088544,0.3330767211967457,0.1111111111111111
7,2,3,6,0.5796099913282536,0.23964657510279067,0.25
7,2,3,7,0.7942091129221037,0.37170851194121246,0.17647058823529413
7,2,3,8,0.7209645162651617,0.1427171726008223,0.05263157894736842
7,2,4,5,0.5881732048599324,0.3320269442743417,0.17647058823529413
7,2,4,6,0.6471578537534461,0.37888198757763975,0.1111111111111111
7,2,4,7,0.6772174153922933,0.32247397428046537,0.05263157894736842
7,2,4,8,0.7780298611804416,0.34511416324031147,0.25
7,2,5,6,0.6128211341450828,0.38724521039279153,0.25
7,2,5,7,0.5316690305797408,0.12966494619893273,0.0
7,2,5,8,0.6347434828118442,0.11423322543959409,0.05263157894736842
7,2,6,7,0.6612086676475398,0.2600472399615082,0.1111111111111111
7,2,6,8,0.7537279742717593,0.467658122648937,0.3333333333333333
7,2,7,8,0.8102669341198285,0.2587875076546234,0.17647058823529413
7,3,1,2,0.845987481644609,-0.039139182923628724,0.17647058823529413
7,3,1,3,0.8334733314393705,0.10100603621730382,0.1111111111111111
7,3,1,4,0.8457127801003159,0.15842883387280204,0.0
7,3,1,5,0.9019035813193257,0.27183973405651296,0.17647058823529413
7,3,1,6,0.8923158599524362,0.003936663459014959,0.05263157894736842
7,3,1,7,0.8616178506054388,0.17330067360685852,0.25
7,3,1,8,0.7814090266978466,-0.12473099466363398,0.1111111111111111
7,3,2,3,0.885533197135761,0.2645612807278453,0.17647058823529413
7,3,2,4,0.9637287615910703,0.20346426384393315,0.17647058823529413
7,3,2,5,0.9691303821144975,0.4134896334528913,0.3333333333333333
7,3,2,6,0.9387689890184852,-0.050966669582713675,0.1111111111111111
7,3,2,7,0.9008767401084125,0.1277403551745254,0.25
7,3,2,8,0.9544124130332058,0.3513428396465751,0.25
7,3,3,4,0.9194475265139656,0.5149330767211967,0.42857142857142855
7,3,3,5,0.9059113863372865,0.30417286326655585,0.05263157894736842
7,3,3,6,0.8912839574381074,-0.13648849619455866,0.05263157894736842
7,3,3,7,0.8820486464047802,0.244475548945849,0.1111111111111111
7,3,3,8,0.8635775710404299,0.352112676056338,0.25
7,3,4,5,0.9604664707976011,0.3062374245472837,0.25
7,3,4,6,0.9241580191595373,-0.2807628378969469,0.05263157894736842
7,3,4,7,0.9096433635341463,0.2037092117924941,0.1111111111111111
7,3,4,8,0.9439778677293283,0.19321144256845418,0.3333333333333333
7,3,5,6,0.9717403166529888,-0.038089406001224735,0.17647058823529413
7,3,5,7,0.9425573910115794,0.393158953722334,0.25
7,3,5,8,0.925323055930463,0.22264018895984602,0.3333333333333333
7,3,6,7,0.9252344593617862,0.1334791356836672,0.1111111111111111
7,3,6,8,0.8973779679117005,0.12333129210042867,0.25
7,3,7,8,0.8692723551066684,0.16637214591899221,0.17647058823529413
29,1,1,2,0.8445443084722314,0.21119762050564253,0.05263157894736842
29,1,1,3,0.46306598778608266,-0.3346863791444318,0.0
29,1,1,4,0.889244714004381,0.014854343452016446,0.1111111111111111
29,1,1,5,0.09818047717994402,0.0800804828973843,0.1111111111111111
29,1,1,6,0.8496425244979375,-0.08406963520251948,0.25
29,1,1,7,0.9091755373364616,0.17445542822150292,0.1111111111111111
29,1,1,8,0.324913261175448,0.0816551482809903,0.17647058823529413
29,1,2,3,0.5350722522277185,0.10331554544659259,0.05263157894736842
29,1,2,4,0.8323789931692368,0.1438719272154667,0.1111111111111111
29,1,2,5,0.18787379873687912,0.06517365059924765,0.0
29,1,2,6,0.7886188776724126,0.14593648849619456,0.05263157894736842
29,1,2,7,0.8090540857329863,0.10020120724346075,0.0
29,1,2,8,0.4441039546425221,0.2774385443093343,0.17647058823529413
29,1,3,4,0.4740954251530187,-0.17749978129647448,0.05263157894736842
29,1,3,5,0.6908220212751714,0.06723821187997552,0.17647058823529413
29,1,3,6,0.48076022168395427,-0.0448429708686904,0.0
29,1,3,7,0.47625260901684513,-0.1885574315457965,0.05263157894736842
29,1,3,8,0.6202308992478515,0.04638264368821625,0.1111111111111111
29,1,4,5,0.08504114635758732,-0.21648149768174266,0.1111111111111111
29,1,4,6,0.809369404796301,-0.16364272592074183,0.0
29,1,4,7,0.9192983349617879,0.36848919604584024,0.05263157894736842
29,1,4,8,0.3140806376252035,0.0037966932026944275,0.0
29,1,5,6,0.14871186521568291,0.08700901058525062,0.05263157894736842
29,1,5,7,0.13168120536590214,0.1730557256582976,0.05263157894736842
29,1,5,8,0.6886075889259824,0.2770536261044528,0.05263157894736842
29,1,6,7,0.8541729897493525,0.07822587700113724,0.1111111111111111
29,1,6,8,0.32383749304532444,0.21091767999300146,0.1111111111111111
29,1,7,8,0.33617461617205957,0.07119237162103052,0.1111111111111111
29,2,1,2,0.6694065361150796,0.1393928790132097,0.17647058823529413
29,2,1,3,0.5082712596497962,0.30014871839734053,0.25
29,2,1,4,0.2749277083628789,0.24265593561368207,0.1111111111111111
29,2,1,5,0.5282899005761678,0.39655323243810686,0.1111111111111111
29,2,1,6,0.5499422059468727,0.21501180999037706,0.1111111111111111
29,2,1,7,0.4979761815975297,0.26484122124048637,0.25
29,2,1,8,0.5836800405046628,0.197900446155192,0.25
29,2,2,3,0.43877214510465984,0.15489458490070862,0.1111111111111111
29,2,2,4,0.3769410917800787,-0.02136296037092118,0.1111111111111111
29,2,2,5,0.6350589224668325,-0.08833872802029569,0.0
29,2,2,6,0.8490743314051339,0.033295424722246524,0.17647058823529413
29,2,2,7,0.7524148994229366,0.16325780771586038,0.25
29,2,2,8,0.6097916337476568,0.2513340915055551,0.1111111111111111
29,2,3,4,0.698282602395332,0.21343714460677107,0.05263157894736842
29,2,3,5,0.6587851353028052,0.39091942962120546,0.25
29,2,3,6,0.4575765787301786,0.4458577552270142,0.17647058823529413
29,2,3,7,0.36474044579867126,0.2095879625579564,0.1111111111111111
29,2,3,8,0.47003138133406114,0.3806666083457265,0.25
29,2,4,5,0.41489776131264217,0.2871314845595311,0.1111111111111111
29,2,4,6,0.390085571469272,0.31883474761613156,0.05263157894736842
29,2,4,7,0.3216529788812719,0.26386142944624263,0.17647058823529413
