seed,feature_index,feature,rollout_attention
997,16,Flow Pkts/s,0.013685604004422203
997,17,Flow IAT Mean,0.012068898038705811
997,18,Flow IAT Std,0.01445612363750115
997,19,Flow IAT Max,0.014308228899608366
997,20,Flow IAT Min,0.011121566996735055
997,21,Fwd IAT Tot,0.01179219430196099
997,22,Fwd IAT Mean,0.01382333313813433
997,23,Fwd IAT Std,0.012919195869471878
997,24,Fwd IAT Max,0.011780546847148798
997,25,Fwd IAT Min,0.01251270086504519
997,26,Bwd IAT Tot,0.011747382806788664
997,27,Bwd IAT Mean,0.011272908915998414
997,28,Bwd IAT Std,0.013570763330790214
997,29,Bwd IAT Max,0.013475288957124576
997,30,Bwd IAT Min,0.01273518156085629
997,31,Fwd PSH Flags,0.014482837432296947
997,32,Fwd URG Flags,0.011871368624269962
997,33,Fwd Header Len,0.012835910834837705
997,34,Bwd Header Len,0.012541692820377648
997,35,Fwd Pkts/s,0.013696230875211768
997,36,Bwd Pkts/s,0.014680283522466198
997,37,Pkt Len Min,0.014098217725404538
997,38,Pkt Len Max,0.018913047373644076
997,39,Pkt Len Mean,0.01275680831167847
997,40,Pkt Len Std,0.011309325142065063
997,41,Pkt Len Var,0.01164378333487548
997,42,FIN Flag Cnt,0.01229237458028365
997,43,SYN Flag Cnt,0.010951970267342404
997,44,RST Flag Cnt,0.012802348341210745
997,45,PSH Flag Cnt,0.011780238128267229
997,46,ACK Flag Cnt,0.01994199978071265
997,47,URG Flag Cnt,0.013233515404863283
997,48,CWE Flag Count,0.013166245975298807
997,49,ECE Flag Cnt,0.015466171797015704
997,50,Down/Up Ratio,0.018813480783137493
997,51,Pkt Size Avg,0.012720714075840078
997,52,Fwd Seg Size Avg,0.016082737420219928
997,53,Bwd Seg Size Avg,0.01280419722024817
997,54,Subflow Fwd Pkts,0.012674509096541442
997,55,Subflow Fwd Byts,0.01134428393561393
997,56,Subflow Bwd Pkts,0.01670162644586526
997,57,Subflow Bwd Byts,0.011103890210506506
997,58,Init Fwd Win Byts,0.021750623694970272
997,59,Init Bwd Win Byts,0.014861527975881472
997,60,Fwd Act Data Pkts,0.021490595245268196
997,61,Fwd Seg Size Min,0.031319894042098895
997,62,Active Mean,0.013492309852153994
997,63,Active Std,0.01154954099911265
997,64,Active Max,0.012676296188146807
997,65,Active Min,0.01578333307406865
997,66,Idle Mean,0.012081432825652882
997,67,Idle Std,0.014121693253400736
997,68,Idle Max,0.013444478463497944
997,69,Idle Min,0.01366343826521188
