group,case_count,rank,feature_index,feature,five_seed_consensus_rollout,seed_standard_deviation
FN,16,34,60,Fwd Act Data Pkts,0.013683518608964518,0.006847559135307246
FN,16,35,23,Fwd IAT Std,0.0135530546930696,0.00223392004066335
FN,16,36,18,Flow IAT Std,0.013534752307166664,0.0019120526396027785
FN,16,37,29,Bwd IAT Max,0.013264881165472675,0.0015370330124044793
FN,16,38,66,Idle Mean,0.01311718817293186,0.0009339934660808033
FN,16,39,68,Idle Max,0.01296676739969882,0.0009808132429048057
FN,16,40,34,Bwd Header Len,0.012945082822058255,0.0028292536337003304
FN,16,41,47,URG Flag Cnt,0.012898390732384435,0.000889299709292269
FN,16,42,22,Fwd IAT Mean,0.012771909420099186,0.0015893931813794567
FN,16,43,17,Flow IAT Mean,0.012751854029008941,0.0017640812689536853
FN,16,44,5,TotLen Fwd Pkts,0.012720006371048243,0.001348086014731471
FN,16,45,27,Bwd IAT Mean,0.012691101680093533,0.001135131292389645
FN,16,46,31,Fwd PSH Flags,0.012538480395778767,0.0010884849335332058
FN,16,47,43,SYN Flag Cnt,0.012525364387681166,0.0020561964594212035
FN,16,48,67,Idle Std,0.012402004402882763,0.0012168483156905722
FN,16,49,4,Tot Bwd Pkts,0.012253484605778787,0.001891231269582177
FN,16,50,15,Flow Byts/s,0.012200733743351875,0.0010253158716557302
FN,16,51,24,Fwd IAT Max,0.012192921425736738,0.0016323403023153881
FN,16,52,25,Fwd IAT Min,0.012169542668259658,0.001424391394803374
FN,16,53,64,Active Max,0.012153511323702033,0.0010302122452510768
FN,16,54,56,Subflow Bwd Pkts,0.012090584476390354,0.0028493804474148086
FN,16,55,63,Active Std,0.011998527627861025,0.0016660573690710724
FN,16,56,33,Fwd Header Len,0.011806419668913996,0.0027064462884699215
FN,16,57,57,Subflow Bwd Byts,0.011793656359309864,0.0011011190977197576
FN,16,58,28,Bwd IAT Std,0.011780511510158166,0.001357203259095224
FN,16,59,55,Subflow Fwd Byts,0.011698941401066797,0.0008644894737902149
FN,16,60,21,Fwd IAT Tot,0.011634687849632912,0.0010032378450363616
FN,16,61,6,TotLen Bwd Pkts,0.01149532225961394,0.002368293824015235
FN,16,62,8,Fwd Pkt Len Min,0.01146956385638927,0.0014810532611085519
FN,16,63,54,Subflow Fwd Pkts,0.011435738785166957,0.0011754525363471666
FN,16,64,48,CWE Flag Count,0.011432261558945753,0.0007790876369832225
FN,16,65,41,Pkt Len Var,0.01120685180982734,0.0011335531775438713
FN,16,66,42,FIN Flag Cnt,0.011201969258216224,0.001077767453226465
FN,16,67,32,Fwd URG Flags,0.01112832798685907,0.0011506168290519112
FN,16,68,65,Active Min,0.011087114634692868,0.0016607282476234205
FN,16,69,62,Active Mean,0.010948536612196939,0.0017122507846078477
FN,16,70,3,Tot Fwd Pkts,0.01055682004389759,0.0008944939342740743
TRUE_ATTACK,32,1,58,Init Fwd Win Byts,0.03523956759619717,0.006791118770200275
TRUE_ATTACK,32,2,61,Fwd Seg Size Min,0.028408357855935977,0.007207982201775318
TRUE_ATTACK,32,3,0,Dst Port,0.023034982031293047,0.003973400083045504
TRUE_ATTACK,32,4,7,Fwd Pkt Len Max,0.02000379783508501,0.0036208331429022425
TRUE_ATTACK,32,5,14,Bwd Pkt Len Std,0.019471942088807582,0.0030941154343269543
TRUE_ATTACK,32,6,35,Fwd Pkts/s,0.018828873250129413,0.009037448073455088
TRUE_ATTACK,32,7,46,ACK Flag Cnt,0.018076049911899043,0.0022587273353535534
TRUE_ATTACK,32,8,9,Fwd Pkt Len Mean,0.017967984212474163,0.004695772162085815
