cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,actual_fpr,projection_prevalence,ppv_target,required_max_fpr,required_fpr_status,actual_fpr_meets_requirement,verification_ppv
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.03,0.75,0.009985986322943907,FINITE,True,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.03,0.9,0.0033286621076479683,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.01,0.1,0.08805824302959628,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.01,0.25,0.02935274767653209,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.01,0.5,0.009784249225510697,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.01,0.75,0.0032614164085035657,FINITE,True,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.01,0.9,0.0010871388028345216,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.003,0.1,0.02623199416227692,FINITE,True,0.10000000000000002
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.003,0.25,0.008743998054092308,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.003,0.5,0.0029146660180307694,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.003,0.75,0.0009715553393435897,FINITE,True,0.7500000000000001
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.003,0.9,0.0003238517797811965,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.001,0.1,0.008726492552482513,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.001,0.25,0.0029088308508275046,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.001,0.5,0.0009696102836091682,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.001,0.75,0.00032320342786972277,FINITE,True,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.001,0.9,0.00010773447595657422,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.0001,0.1,0.0008718637923722404,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.0001,0.25,0.0002906212641240801,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.0001,0.5,9.687375470802671e-05,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.0001,0.75,3.229125156934224e-05,FINITE,False,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.0001,0.9,1.0763750523114077e-05,FINITE,False,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.1,0.1,0.9847006033564872,FINITE,True,0.10000000000000002
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.1,0.25,0.32823353445216247,FINITE,True,0.25
