cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,frozen_f1,frozen_precision,observed_prevalence,prevalence_index,projection_prevalence,ppv,npv,lr_plus,lr_plus_status,lr_minus,lr_minus_status,prior_odds,posterior_odds_positive,posterior_probability_positive,posterior_status
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,0,0.1,0.013039901385800969,0.8999464077396714,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.11111111111111112,0.013212187001389855,0.013039901385800969,FINITE
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,1,0.03,0.0036641437373871252,0.9699826711135094,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.030927835051546393,0.003677619062242537,0.0036641437373871257,FINITE
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,2,0.01,0.0011996669797194918,0.9899941045354126,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.010101010101010102,0.0012011079092172595,0.0011996669797194916,FINITE
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,3,0.003,0.00035767447959935165,0.996998218847668,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.0030090270812437314,0.00035780245640674633,0.00035767447959935165,FINITE
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,4,0.001,0.00011901454557619656,0.9989994050908395,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.001001001001001001,0.00011902871172423292,0.00011901454557619653,FINITE
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.00015969338869370808,0.013736263736263736,0.10484691299808009,5,0.0001,1.1892016095273969e-05,0.9998999404554566,0.11890968301250869,FINITE,1.000595505019718,FINITE,0.00010001000100010001,1.189215751700257e-05,1.189201609527397e-05,FINITE
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.34631246755216444,0.9271179823534005,0.19699633629757277,0,0.1,0.8521026390333877,0.9192752080742229,51.853012800084656,FINITE,0.790321680548719,FINITE,0.11111111111111112,5.761445866676073,0.8521026390333877,FINITE
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.34631246755216444,0.9271179823534005,0.19699633629757277,1,0.03,0.6159313853330602,0.9761402634999822,51.853012800084656,FINITE,0.790321680548719,FINITE,0.030927835051546393,1.603701426806742,0.6159313853330601,FINITE
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.34631246755216444,0.9271179823534005,0.19699633629757277,2,0.01,0.3437320331732583,0.9920801770428328,51.853012800084656,FINITE,0.790321680548719,FINITE,0.010101010101010102,0.5237678060614612,0.3437320331732583,FINITE
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.34631246755216444,0.9271179823534005,0.19699633629757277,3,0.003,0.13496839052702161,0.9976275425997119,51.853012800084656,FINITE,0.790321680548719,FINITE,0.0030090270812437314,0.15602711975953257,0.1349683905270216,FINITE
