cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,fpr,ppv_target,required_prevalence,status,verification_ppv
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.75,0.05469161759507529,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.9,0.14789736096661235,FINITE,0.9000000000000001
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.1,0.0032383203556628675,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.25,0.009652445644563164,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.5,0.028408906089979438,FINITE,0.49999999999999994
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.75,0.08064466484921963,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.9,0.20833222898076895,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.1,0.0032383203556628675,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.25,0.009652445644563164,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.5,0.028408906089979438,FINITE,0.49999999999999994
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.75,0.08064466484921963,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.9,0.20833222898076895,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.1,0.0021382273527981487,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.25,0.006387366773698693,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.5,0.01892039728714194,FINITE,0.5
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.75,0.05469161759507529,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.9,0.14789736096661235,FINITE,0.9000000000000001
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.1,0.0032383203556628675,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.25,0.009652445644563164,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.5,0.028408906089979438,FINITE,0.49999999999999994
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.75,0.08064466484921963,FINITE,0.7500000000000001
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.9,0.20833222898076895,FINITE,0.9
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.1,0.0032383203556628675,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.25,0.009652445644563164,FINITE,0.25
