evaluation_cell,operating_point,threshold,tpr,fpr,observed_precision,projected_ppv_at_0p1pct,fp_per_day,tp_per_day,alerts_per_day,processing_hours_per_day,aci_1,aci_3,aci_10,relative_cost_decision
IDS2018→CICIDS2017 B62 Corrected,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.8935054091338125,0.03310125960083343,12905.300565703972,441.8060406985281,13347.1066064025,444.90355354675,55.61294419334375,18.537648064447918,5.5612944193343745,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Published,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,0.9402279286612891,0.0603131328677882,3553.3019488389627,228.06615698880682,3781.36810582777,126.04560352759232,15.75570044094904,5.251900146983013,1.575570044094904,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Published,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.8972851290559529,0.03441758413967797,12365.068450664447,440.7451676866323,12805.81361835108,426.860453945036,53.3575567431295,17.785852247709833,5.33575567431295,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Published,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,0.8972851290559529,0.03441758413967797,12365.068450664447,440.7451676866323,12805.81361835108,426.860453945036,53.3575567431295,17.785852247709833,5.33575567431295,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Corrected,STANDARD,0.5,0.1450436298296769,0.003555501591001176,0.9091552857865453,0.03923290050682091,3555.5015910011757,145.18881864832522,3700.690409649501,123.3563469883167,15.419543373539588,5.139847791179863,1.5419543373539588,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Corrected,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.8746574020459371,0.027684729195520022,15712.923821552711,447.3940232468044,16160.317844799516,538.6772614933172,67.33465768666466,22.444885895554883,6.733465768666465,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Corrected,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,0.8746574020459371,0.027684729195520022,15712.923821552711,447.3940232468044,16160.317844799516,538.6772614933172,67.33465768666466,22.444885895554883,6.733465768666465,MODEL_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B62,STANDARD,0.5,0.00038550501156515033,0.0014975805419886966,0.02926829268292683,0.00025760984625191203,1497.5805419886967,0.3858909024676179,1497.9664328911642,49.932214429705475,6.241526803713184,2.0805089345710615,0.6241526803713184,IGNORE_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B62,BALANCED,0.17000000178813934,0.0006103829349781547,0.0020055538414069734,0.034420289855072464,0.0003045581889111154,2005.5538414069733,0.6109939289070617,2006.1648353358803,66.87216117786268,8.359020147232835,2.7863400490776113,0.8359020147232834,IGNORE_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B62,SECURITY,0.05000000074505806,0.0013492675404780262,0.0030290259706052783,0.049586776859504134,0.0004456931734638227,3029.0259706052784,1.3506181586366628,3030.376588763915,101.01255295879717,12.626569119849647,4.208856373283216,1.2626569119849647,IGNORE_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B70,STANDARD,0.5,0.00038550501156515033,0.0013395444043918995,0.03260869565217391,0.00028799326638319063,1339.5444043918994,0.3858909024676179,1339.930295294367,44.6643431764789,5.583042897059863,1.861014299019954,0.5583042897059862,IGNORE_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B70,BALANCED,0.18000000715255737,0.0006103829349781547,0.001962282041826898,0.03515263644773358,0.00031127214666172614,1962.282041826898,0.6109939289070617,1962.893035755805,65.42976785852683,8.178720982315854,2.7262403274386178,0.8178720982315854,IGNORE_LOWER_RELATIVE_COST
