cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,observed_prevalence,projection_prevalence,benign_flows_per_day,attack_flows_per_day,tp_per_day,fn_per_day,fp_per_day,C_FP,C_FN,model_relative_cost,ignore_relative_cost,model_minus_ignore,model_to_ignore_cost_ratio,relative_savings_vs_ignore,preferred_under_frozen_cost_model
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.1,1000000.0,111111.11111111111,8.923727119563665,111102.18738399154,675.416349967264,1,100,11110894.154749122,11111111.11111111,-216.95636198855937,0.9999804739274211,1.9526072578970346e-05,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.03,1000000.0,30927.835051546394,2.4839240435898864,30925.351127502803,675.416349967264,1,100,3093210.5291002477,3092783.5051546395,427.0239456081763,1.0001380710757466,-0.00013807107574664366,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.01,1000000.0,10101.0101010101,0.8112479199603332,10100.19885309014,675.416349967264,1,100,1010695.3016589812,1010101.0101010101,594.2915579711553,1.0005883486423914,-0.0005883486423914437,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.003,1000000.0,3009.027081243731,0.24166562911556566,3008.7854156146154,675.416349967264,1,100,301553.95791142876,300902.7081243731,651.2497870556545,1.0021643201256483,-0.0021643201256482916,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.001,1000000.0,1001.001001001001,0.08039393801408708,1000.9206070629868,675.416349967264,1,100,100767.47705626594,100100.1001001001,667.376956165841,1.0066670957920967,-0.0066670957920967515,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.0001,1000000.0,100.0100010001,0.008032157623369635,100.00196884247663,675.416349967264,1,100,10675.613234214927,10001.00010001,674.6131342049266,1.0674545672891507,-0.06745456728915061,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.1,1000000.0,111111.11111111111,8.923727119563665,111102.18738399154,675.416349967264,1,100,11110894.154749122,11111111.11111111,-216.95636198855937,0.9999804739274211,1.9526072578970346e-05,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.03,1000000.0,30927.835051546394,2.4839240435898864,30925.351127502803,675.416349967264,1,100,3093210.5291002477,3092783.5051546395,427.0239456081763,1.0001380710757466,-0.00013807107574664366,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.01,1000000.0,10101.0101010101,0.8112479199603332,10100.19885309014,675.416349967264,1,100,1010695.3016589812,1010101.0101010101,594.2915579711553,1.0005883486423914,-0.0005883486423914437,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.003,1000000.0,3009.027081243731,0.24166562911556566,3008.7854156146154,675.416349967264,1,100,301553.95791142876,300902.7081243731,651.2497870556545,1.0021643201256483,-0.0021643201256482916,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.001,1000000.0,1001.001001001001,0.08039393801408708,1000.9206070629868,675.416349967264,1,100,100767.47705626594,100100.1001001001,667.376956165841,1.0066670957920967,-0.0066670957920967515,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.10484691299808009,0.0001,1000000.0,100.0100010001,0.008032157623369635,100.00196884247663,675.416349967264,1,100,10675.613234214927,10001.00010001,674.6131342049266,1.0674545672891507,-0.06745456728915061,IGNORE_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.1,1000000.0,111111.11111111111,23658.179004043584,87452.93210706752,4106.291988419323,1,100,8749399.502695171,11111111.11111111,-2361711.608415939,0.7874459552425654,0.21255404475743453,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.03,1000000.0,30927.835051546394,6585.266320713163,24342.56873083323,4106.291988419323,1,100,2438363.1650717426,3092783.5051546395,-654420.3400828969,0.7884040900398633,0.21159590996013664,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.01,1000000.0,10101.0101010101,2150.743545822144,7950.266555187957,4106.291988419323,1,100,799132.9475072151,1010101.0101010101,-210968.062593795,0.7911416180321429,0.20885838196785705,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.003,1000000.0,3009.027081243731,640.6929118447109,2368.33416939902,4106.291988419323,1,100,240939.7089283213,300902.7081243731,-59962.999196051795,0.8007229660051212,0.1992770339948788,MODEL_LOWER_RELATIVE_COST
