source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,planned_repetitions,pass_repetitions,resource_limit_oom_repetitions,timeout_resource_limit_repetitions,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,median_loaded_rss_bytes,min_loaded_rss_bytes,max_loaded_rss_bytes,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes,median_delta_model_rss_bytes,min_delta_model_rss_bytes,max_delta_model_rss_bytes,median_delta_peak_rss_bytes,min_delta_peak_rss_bytes,max_delta_peak_rss_bytes,median_ru_maxrss_bytes_descriptive,min_ru_maxrss_bytes_descriptive,max_ru_maxrss_bytes_descriptive
34,CPUCOND_056,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,234033152.0,233938944.0,234258432.0,238288896.0,238256128.0,238575616.0,250019840.0,249585664.0,250105856.0,4317184.0,4251648.0,4317184.0,15884288.0,15613952.0,16080896.0,1210355712.0,1210355712.0,1210355712.0
35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,178872320.0,178397184.0,179015680.0,215138304.0,214568960.0,215273472.0,216256512.0,215687168.0,216395776.0,36257792.0,36163584.0,36401152.0,37380096.0,37277696.0,37519360.0,1210355712.0,1210355712.0,1210355712.0
36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,366878720.0,366297088.0,367370240.0,376537088.0,375934976.0,376958976.0,504647680.0,504016896.0,528224256.0,9650176.0,9588736.0,9658368.0,137797632.0,137719808.0,160854016.0,1210355712.0,1210355712.0,1210355712.0
37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,367419392.0,367304704.0,368508928.0,376578048.0,376459264.0,377667584.0,737058816.0,736444416.0,773677056.0,9158656.0,9154560.0,9216000.0,369545216.0,369074176.0,406372352.0,1210355712.0,1210355712.0,1210355712.0
38,CPUCOND_007,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,178708480.0,178442240.0,178851840.0,214974464.0,214761472.0,215146496.0,216186880.0,215924736.0,216313856.0,36294656.0,36237312.0,36327424.0,37462016.0,37449728.0,37548032.0,1210355712.0,1210355712.0,1210355712.0
39,CPUCOND_046,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,234033152.0,233705472.0,234061824.0,238354432.0,238092288.0,238436352.0,254779392.0,254517248.0,254861312.0,4386816.0,4321280.0,4386816.0,20807680.0,20746240.0,20811776.0,1210355712.0,1210355712.0,1210355712.0
40,CPUCOND_044,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,267620352.0,267390976.0,267726848.0,271859712.0,271695872.0,271966208.0,4704735232.0,4701876224.0,4708823040.0,4239360.0,4239360.0,4304896.0,4437344256.0,4434214912.0,4441325568.0,4708884480.0,4708675584.0,4709011456.0
41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,367120384.0,366694400.0,367321088.0,376832000.0,376459264.0,377098240.0,385806336.0,385437696.0,386076672.0,9711616.0,9703424.0,9777152.0,18685952.0,18681856.0,18755584.0,1210355712.0,1210355712.0,1210355712.0
42,CPUCOND_059,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,318603264.0,318398464.0,318910464.0,322883584.0,322744320.0,323190784.0,1303678976.0,1302368256.0,1303883776.0,4280320.0,4280320.0,4345856.0,985210880.0,983891968.0,985280512.0,1303285760.0,1302003712.0,1303601152.0
43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,318390272.0,318128128.0,318627840.0,322740224.0,322473984.0,322908160.0,1303080960.0,1302663168.0,1303252992.0,4345856.0,4280320.0,4349952.0,984555520.0,984424448.0,984690688.0,1302724608.0,1302364160.0,1303023616.0
