memory_execution_order,source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,memory_repetition,status,baseline_rss_bytes,loaded_rss_bytes,peak_rss_bytes,delta_model_rss_bytes,delta_peak_rss_bytes,ru_maxrss_bytes_descriptive,rss_sample_count,parent_observed_peak_rss_bytes,worker_ram_limit_bytes
262,41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,PASS,367034368,376741888,385720320,9707520,18685952,1210355712,5,386457600,28610476236
263,17,CPUCOND_050,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,3,RESOURCE_LIMIT_OOM,,,,,,,,28617486336,28610476236
264,58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,4,PASS,178520064,294801408,296652800,116281344,118132736,1210355712,3,300707840,28610476236
265,3,CPUCOND_019,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,4,PASS,179830784,264777728,265482240,84946944,85651456,1210355712,8,270090240,28610476236
266,31,CPUCOND_080,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,2,PASS,373264384,377606144,2617028608,4341760,2243764224,2616721408,1423,2617028608,28610476236
267,11,CPUCOND_067,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,2,PASS,178774016,294727680,296579072,115953664,117805056,1210355712,4,300138496,28610476236
268,14,CPUCOND_064,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,2,PASS,179949568,293281792,295088128,113332224,115138560,1210355712,15,298688512,28610476236
269,59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,3,PASS,239710208,243994624,331616256,4284416,91906048,1210355712,23,331681792,28610476236
270,3,CPUCOND_019,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,179757056,264773632,265478144,85016576,85721088,1210355712,8,270184448,28610476236
271,55,CPUCOND_027,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,2,PASS,178659328,271355904,274124800,92696576,95465472,1210355712,3,275836928,28610476236
272,47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,3,PASS,178700288,214917120,216035328,36216832,37335040,1210355712,3,220475392,28610476236
273,63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,4,PASS,185556992,279031808,286859264,93474816,101302272,1210355712,4,286855168,28610476236
274,65,CPUCOND_060,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,2,PASS,905719808,910065664,8679124992,4345856,7773405184,8678715392,2895,8679124992,28610476236
275,62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,1,PASS,179077120,215224320,216412160,36147200,37335040,1210355712,3,220438528,28610476236
276,22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,4,PASS,366919680,373518336,414859264,6598656,47939584,1210355712,12,415559680,28610476236
277,5,CPUCOND_052,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,1,PASS,239902720,244187136,350969856,4284416,111067136,1210355712,34,350969856,28610476236
278,58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,1,PASS,178892800,294965248,296816640,116072448,117923840,1210355712,3,300371968,28610476236
279,25,CPUCOND_070,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,1,PASS,185683968,302731264,304594944,117047296,118910976,1210355712,47,308932608,28610476236
280,26,CPUCOND_076,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,PASS,366403584,373043200,382021632,6639616,15618048,1210355712,3,383774720,28610476236
281,4,CPUCOND_079,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,3,PASS,368017408,374099968,714956800,6082560,346939392,1210355712,185,714956800,28610476236
282,71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,PASS,373542912,380944384,2628112384,7401472,2254569472,2627952640,7310,2628112384,28610476236
283,14,CPUCOND_064,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,PASS,179834880,293142528,294944768,113307648,115109888,1210355712,15,298545152,28610476236
284,9,CPUCOND_020,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,PASS,185487360,273883136,274608128,88395776,89120768,1210355712,42,274669568,28610476236
285,48,CPUCOND_017,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,4,PASS,178565120,264105984,264806400,85540864,86241280,1210355712,3,269410304,28610476236
286,58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,3,PASS,178376704,294592512,296443904,116215808,118067200,1210355712,4,299806720,28610476236
287,27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,2,PASS,178995200,264454144,265158656,85458944,86163456,1210355712,4,269643776,28610476236
288,13,CPUCOND_018,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,PASS,179019776,264650752,265355264,85630976,86335488,1210355712,4,270061568,28610476236
289,67,CPUCOND_063,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,4,PASS,178806784,292761600,294559744,113954816,115752960,1210355712,6,298164224,28610476236
290,15,CPUCOND_001,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,3,PASS,178515968,214982656,216104960,36466688,37588992,1210355712,3,222400512,28610476236
291,76,CPUCOND_030,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,3,PASS,185139200,278687744,286773248,93548544,101634048,1210355712,4,286769152,28610476236
292,18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,3,PASS,185671680,227270656,228458496,41598976,42786816,1210355712,9,229396480,28610476236
293,76,CPUCOND_030,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,PASS,185819136,279302144,287449088,93483008,101629952,1210355712,4,287444992,28610476236
294,69,CPUCOND_004,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,2,PASS,179871744,215576576,216694784,35704832,36823040,1210355712,4,222855168,28610476236
295,53,CPUCOND_048,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,3,PASS,242106368,246456320,1360240640,4349952,1118134272,1362235392,523,1361571840,28610476236
296,7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,180162560,295497728,297365504,115335168,117202944,1210355712,10,300748800,28610476236
297,30,CPUCOND_024,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,179630080,271933440,275296256,92303360,95666176,1210355712,3,275292160,28610476236
298,53,CPUCOND_048,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,1,PASS,242163712,246513664,1361874944,4349952,1119711232,1362591744,529,1355255808,28610476236
299,71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,3,PASS,373661696,381124608,2630631424,7462912,2256969728,2630533120,7359,2630631424,28610476236
300,22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,2,PASS,366694400,373354496,407736320,6660096,41041920,1210355712,13,408547328,28610476236
301,72,CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,1,PASS,367927296,377135104,736559104,9207808,368631808,1210355712,1590,736559104,28610476236
302,74,CPUCOND_005,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,1,PASS,185757696,227393536,228511744,41635840,42754048,1210355712,13,231112704,28610476236
303,62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,2,PASS,178843648,214990848,216223744,36147200,37380096,1210355712,3,222572544,28610476236
304,2,CPUCOND_041,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,4,PASS,234037248,238317568,254443520,4280320,20406272,1210355712,5,254574592,28610476236
305,39,CPUCOND_046,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,5,PASS,234033152,238354432,254779392,4321280,20746240,1210355712,4,254910464,28610476236
306,27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,4,PASS,178786304,264265728,264966144,85479424,86179840,1210355712,3,269672448,28610476236
307,43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,318595072,322875392,1303089152,4280320,984494080,1302794240,653,1303089152,28610476236
308,10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,4,PASS,235978752,240324608,519073792,4345856,283095040,1210355712,132,515907584,28610476236
309,76,CPUCOND_030,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,1,PASS,185171968,278687744,286830592,93515776,101658624,1210355712,5,286826496,28610476236
310,47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,4,PASS,179134464,215220224,216334336,36085760,37199872,1210355712,3,222871552,28610476236
311,16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,1,PASS,367218688,376893440,412733440,9674752,45514752,1210355712,45,412733440,28610476236
312,77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,PASS,367964160,374030336,714440704,6066176,346476544,1210355712,320,714440704,28610476236
313,2,CPUCOND_041,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,5,PASS,233721856,238067712,254193664,4345856,20471808,1210355712,5,254451712,28610476236
314,27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,PASS,178851840,264175616,264769536,85323776,85917696,1210355712,3,269398016,28610476236
315,19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,3,RESOURCE_LIMIT_OOM,,,,,,,,28611338240,28610476236
316,73,CPUCOND_071,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,2,PASS,366264320,372912128,381698048,6647808,15433728,1210355712,3,382672896,28610476236
317,59,CPUCOND_057,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,5,PASS,239886336,244170752,331857920,4284416,91971584,1210355712,23,331857920,28610476236
318,29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,4,PASS,233885696,238202880,249200640,4317184,15314944,1210355712,3,249262080,28610476236
319,44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,PASS,366620672,376295424,414691328,9674752,48070656,1210355712,67,415465472,28610476236
320,40,CPUCOND_044,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,5,PASS,267661312,271900672,4701876224,4239360,4434214912,4708884480,3649,4701302784,28610476236
321,49,CPUCOND_009,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,179511296,215203840,216387584,35692544,36876288,1210355712,4,222855168,28610476236
322,33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,2,PASS,178532352,271175680,273788928,92643328,95256576,1210355712,3,278138880,28610476236
323,73,CPUCOND_071,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,4,PASS,366321664,373026816,381812736,6705152,15491072,1210355712,3,382509056,28610476236
324,52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,2,PASS,178769920,292823040,294625280,114053120,115855360,1210355712,4,298176512,28610476236
325,64,CPUCOND_068,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,4,PASS,178954240,294793216,296660992,115838976,117706752,1210355712,5,300019712,28610476236
326,41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,3,PASS,367255552,376958976,385937408,9703424,18681856,1210355712,5,386686976,28610476236
327,72,CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,3,PASS,367579136,376795136,755445760,9216000,387866624,1210355712,1576,755445760,28610476236
328,61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,4,PASS,366944256,373448704,483717120,6504448,116772864,1210355712,43,483717120,28610476236
329,72,CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,367996928,377151488,736772096,9154560,368775168,1210355712,1564,736772096,28610476236
330,48,CPUCOND_017,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,1,PASS,178790400,264396800,265101312,85606400,86310912,1210355712,3,269803520,28610476236
331,78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,PASS,178569216,263680000,264384512,85110784,85815296,1210355712,3,269086720,28610476236
332,13,CPUCOND_018,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,2,PASS,178135040,263319552,264028160,85184512,85893120,1210355712,4,268554240,28610476236
333,20,CPUCOND_016,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,4,PASS,178450432,264052736,264650752,85602304,86200320,1210355712,3,269463552,28610476236
334,10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,2,PASS,236015616,240357376,524734464,4341760,288718848,1210355712,137,522727424,28610476236
335,47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,1,PASS,178851840,214949888,216064000,36098048,37212160,1210355712,3,220987392,28610476236
336,7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,1,PASS,179687424,295260160,297127936,115572736,117440512,1210355712,10,300593152,28610476236
337,41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,1,PASS,366694400,376459264,385437696,9764864,18743296,1210355712,5,386248704,28610476236
338,61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,2,PASS,366243840,372822016,477503488,6578176,111259648,1210355712,44,477503488,28610476236
339,4,CPUCOND_079,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,1,PASS,367947776,374087680,696811520,6139904,328863744,1210355712,185,696811520,28610476236
340,11,CPUCOND_067,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,3,PASS,179249152,295354368,297201664,116105216,117952512,1210355712,3,300380160,28610476236
341,40,CPUCOND_044,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,3,PASS,267390976,271695872,4704735232,4304896,4437344256,4708675584,3506,4704055296,28610476236
342,8,CPUCOND_021,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,2,PASS,178659328,271179776,273563648,92520448,94904320,1210355712,3,273690624,28610476236
343,78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,4,PASS,178585600,263593984,264290304,85008384,85704704,1210355712,3,268701696,28610476236
344,68,CPUCOND_015,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,2,PASS,185016320,273526784,274255872,88510464,89239552,1210355712,80,274448384,28610476236
345,80,CPUCOND_053,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,5,PASS,255549440,259829760,607756288,4280320,352206848,1210355712,153,607756288,28610476236
346,75,CPUCOND_006,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,1,PASS,179187712,215482368,216649728,36294656,37462016,1210355712,3,220397568,28610476236
347,44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,1,PASS,366546944,376291328,423227392,9744384,56680448,1210355712,71,424132608,28610476236
348,58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,PASS,178446336,294764544,296660992,116318208,118214656,1210355712,3,300064768,28610476236
349,18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,1,PASS,185327616,227069952,228249600,41742336,42921984,1210355712,8,228442112,28610476236
350,46,CPUCOND_026,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,4,PASS,177995776,270852096,273264640,92856320,95268864,1210355712,3,275271680,28610476236
351,52,CPUCOND_062,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,3,PASS,178307072,292003840,293806080,113696768,115499008,1210355712,4,297357312,28610476236
352,20,CPUCOND_016,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,2,PASS,178597888,263913472,264511488,85315584,85913600,1210355712,3,269238272,28610476236
353,6,CPUCOND_042,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,1,PASS,235950080,240254976,525295616,4304896,289345536,1210355712,225,525295616,28610476236
354,79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,4,PASS,178724864,271396864,274419712,92672000,95694848,1210355712,4,276398080,28610476236
355,31,CPUCOND_080,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,4,PASS,373923840,378261504,2617683968,4337664,2243760128,2617634816,1442,2617683968,28610476236
356,45,CPUCOND_014,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,179552256,264077312,264785920,84525056,85233664,1210355712,12,269488128,28610476236
357,11,CPUCOND_067,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,1,PASS,178311168,294289408,296136704,115978240,117825536,1210355712,3,299692032,28610476236
358,8,CPUCOND_021,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,1,PASS,178597888,271495168,273903616,92897280,95305728,1210355712,3,273965056,28610476236
359,50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,3,PASS,179027968,271872000,274776064,92844032,95748096,1210355712,3,274771968,28610476236
360,47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,2,PASS,179023872,215248896,216367104,36225024,37343232,1210355712,3,221261824,28610476236
361,29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,1,PASS,233861120,238178304,248975360,4317184,15114240,1210355712,3,249229312,28610476236
362,26,CPUCOND_076,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,2,PASS,366931968,373575680,382554112,6643712,15622144,1210355712,3,383275008,28610476236
363,29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,2,PASS,234237952,238489600,249749504,4251648,15511552,1210355712,3,249942016,28610476236
364,57,CPUCOND_058,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,2,PASS,255643648,259928064,591675392,4284416,336031744,1210355712,86,591675392,28610476236
