memory_execution_order,source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,memory_repetition,status,baseline_rss_bytes,loaded_rss_bytes,peak_rss_bytes,delta_model_rss_bytes,delta_peak_rss_bytes,ru_maxrss_bytes_descriptive,rss_sample_count,parent_observed_peak_rss_bytes,worker_ram_limit_bytes
211,9,CPUCOND_020,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,4,PASS,185692160,274169856,274878464,88477696,89186304,1210355712,45,274939904,28610476236
212,63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,PASS,185585664,279203840,287051776,93618176,101466112,1210355712,4,287047680,28610476236
213,73,CPUCOND_071,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,1,PASS,366694400,373338112,382124032,6643712,15429632,1210355712,3,383053824,28610476236
214,19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,2,RESOURCE_LIMIT_OOM,,,,,,,,28614553600,28610476236
215,4,CPUCOND_079,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,367448064,373522432,733327360,6074368,365879296,1210355712,181,733327360,28610476236
216,21,CPUCOND_075,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,3,PASS,373628928,378011648,2617028608,4382720,2243399680,2616844288,2582,2617028608,28610476236
217,11,CPUCOND_067,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,PASS,178524160,294252544,296103936,115728384,117579776,1210355712,4,299565056,28610476236
218,16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,4,PASS,366854144,376602624,425132032,9748480,58277888,1210355712,49,425132032,28610476236
219,68,CPUCOND_015,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,3,PASS,185569280,274276352,274984960,88707072,89415680,1210355712,81,275173376,28610476236
220,77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,1,PASS,367874048,374018048,695537664,6144000,327663616,1210355712,339,695537664,28610476236
221,35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,4,PASS,179015680,215273472,216395776,36257792,37380096,1210355712,3,222924800,28610476236
222,20,CPUCOND_016,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,1,PASS,178651136,263962624,264671232,85311488,86020096,1210355712,3,269066240,28610476236
223,33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,4,PASS,179056640,271798272,274554880,92741632,95498240,1210355712,3,275632128,28610476236
224,67,CPUCOND_063,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,2,PASS,178585600,292474880,294277120,113889280,115691520,1210355712,6,297877504,28610476236
225,51,CPUCOND_072,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,2,PASS,366632960,373235712,408969216,6602752,42336256,1210355712,19,409907200,28610476236
226,61,CPUCOND_078,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,PASS,366555136,373133312,478748672,6578176,112193536,1210355712,45,478748672,28610476236
227,56,CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,1,PASS,366465024,376233984,385019904,9768960,18554880,1210355712,4,385896448,28610476236
228,66,CPUCOND_073,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,PASS,366407680,372916224,486776832,6508544,120369152,1210355712,76,486776832,28610476236
229,30,CPUCOND_024,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,2,PASS,179396608,271732736,275013632,92336128,95617024,1210355712,3,275009536,28610476236
230,29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,3,PASS,234242048,238493696,249294848,4251648,15052800,1210355712,3,249421824,28610476236
231,54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,1,PASS,179453952,264613888,265318400,85159936,85864448,1210355712,5,269979648,28610476236
232,60,CPUCOND_065,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,PASS,185393152,300380160,302186496,114987008,116793344,1210355712,90,305786880,28610476236
233,33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,3,PASS,178667520,271577088,274182144,92909568,95514624,1210355712,3,274178048,28610476236
234,54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,2,PASS,178761728,264339456,265043968,85577728,86282240,1210355712,5,269750272,28610476236
235,36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,PASS,366878720,376537088,504647680,9658368,137768960,1210355712,342,504647680,28610476236
236,70,CPUCOND_043,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,1,PASS,242249728,246554624,1360248832,4304896,1117999104,1362608128,879,1361317888,28610476236
237,22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,1,PASS,366469120,373063680,411275264,6594560,44806144,1210355712,12,412164096,28610476236
238,43,CPUCOND_054,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1024,2,PASS,318390272,322740224,1303080960,4349952,984690688,1302724608,655,1303080960,28610476236
239,5,CPUCOND_052,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,5,PASS,239558656,243908608,331386880,4349952,91828224,1210355712,36,331386880,28610476236
240,42,CPUCOND_059,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,1,PASS,318603264,322883584,1303818240,4280320,985214976,1303375872,404,1303818240,28610476236
241,78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,2,PASS,178495488,263667712,264368128,85172224,85872640,1210355712,3,268984320,28610476236
242,56,CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,2,PASS,367034368,376737792,385523712,9703424,18489344,1210355712,4,386289664,28610476236
243,75,CPUCOND_006,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,4,PASS,178884608,215252992,216420352,36368384,37535744,1210355712,3,220327936,28610476236
244,18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,PASS,185511936,227196928,228380672,41684992,42868736,1210355712,8,228442112,28610476236
245,18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,2,PASS,185458688,226996224,228184064,41537536,42725376,1210355712,8,228380672,28610476236
246,58,CPUCOND_066,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,2,PASS,179093504,295305216,297152512,116211712,118059008,1210355712,3,300707840,28610476236
247,50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,PASS,178851840,271671296,274550784,92819456,95698944,1210355712,3,274546688,28610476236
248,63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,2,PASS,185528320,279171072,286875648,93642752,101347328,1210355712,4,288944128,28610476236
249,44,CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,4,PASS,366198784,375930880,414818304,9732096,48619520,1210355712,70,415764480,28610476236
250,12,CPUCOND_038,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,2,PASS,367116288,376733696,491286528,9617408,124170240,1210355712,210,491286528,28610476236
