threshold,seed_count,mean_accuracy,accuracy_std,minimum_accuracy,mean_precision,precision_std,minimum_precision,mean_recall,recall_std,minimum_recall,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,minimum_f2,mean_fpr,fpr_std,maximum_fpr,mean_fnr,fnr_std,maximum_fnr,distance_to_seed_optimum_mean,distance_to_seed_optimum_median
0.21,5,0.7021752345711642,0.0034473082552852093,0.6986388264834148,0.486449417830216,0.002992324316141075,0.48345913707948934,0.966273849607183,0.005837293165331517,0.9585671530115975,0.6471120904203896,0.0030039007698967396,0.6438111920923395,0.6509870596013979,0.8070499281198259,0.0037135020389305346,0.8030495353611333,0.40185683233246144,0.005294260857742653,0.40842942931879306,0.03372615039281706,0.005837293165331521,0.04143284698840254,0.4650000000000001,0.4650000000000001
0.215,5,0.7041733844324038,0.003262037910409121,0.7009382846570635,0.48817553945096465,0.002844121085031509,0.485297588143673,0.9652076318742985,0.00611052735709111,0.9569771791994014,0.6483956050506323,0.0026805560570256734,0.645064148812698,0.6519818227720272,0.807399345819106,0.0035483544195760923,0.8037327384412362,0.39865158604428397,0.005492448193754081,0.4040452418671481,0.03479236812570145,0.006110527357091088,0.04302282080059858,0.4600000000000001,0.4600000000000001
0.22,5,0.7068164398044139,0.003052963502523206,0.7027091317563103,0.4904766549321355,0.002689581388113242,0.48682464454976304,0.963393191170969,0.006212250476939912,0.9546389824167602,0.6500098846909822,0.0025583693497571187,0.646200301962758,0.6533168833633861,0.8076351272721543,0.0035746558942469867,0.8038147138964576,0.39425266182809565,0.005264875421826036,0.39929263530191944,0.03660680882903104,0.006212250476939903,0.04536101758323981,0.45500000000000007,0.45500000000000007
0.225,5,0.709760803488833,0.003956663602511375,0.7050614510373993,0.49309764682505575,0.0035365813771043395,0.4888740648973174,0.9614291058735503,0.0075330880019318786,0.9499625888514778,0.6518451123379468,0.0024641391002731775,0.6477477193093216,0.6539253906373808,0.8079286441936822,0.0034838224202087538,0.8041199569320414,0.3893747927642486,0.007680827268536253,0.3961242309251004,0.038570894126449685,0.007533088001931885,0.05003741114852226,0.45000000000000007,0.45000000000000007
0.23,5,0.7142592837319942,0.004071978292043664,0.7082066869300911,0.4971422855093863,0.0037073180001346356,0.49164425662696887,0.9590534979423868,0.006908222080406622,0.948279087167976,0.6548223491518381,0.0032675369223620584,0.64970173879934,0.6576553654347688,0.8087451100211966,0.004008317745780948,0.804618681057059,0.3821685149025532,0.006802367838752986,0.39000847363961244,0.040946502057613174,0.006908222080406616,0.051720912832023944,0.44500000000000006,0.44500000000000006
0.235,5,0.7190379278445884,0.003411251815799373,0.7148407559138364,0.5015301318402116,0.0031671509666772344,0.4976464308244771,0.9563598952487842,0.006427141134283181,0.9473438084549196,0.6579872665488138,0.0032350923167534917,0.6552925013578708,0.6631880697007764,0.8095188605901866,0.004168571663054189,0.8052949594530132,0.37444645028184065,0.005188212378226049,0.3813874663817559,0.043640104751215866,0.006427141134283191,0.05265619154508044,0.44000000000000006,0.44000000000000006
0.24,5,0.7240227302761993,0.0035428577407013643,0.7208669221620193,0.506234864488977,0.0033743586557347946,0.5032118864316187,0.9537785260007482,0.006887932455059847,0.9443509165731387,0.6614002525969556,0.0031739300549512733,0.6585112596534494,0.6667749374736089,0.8104610593492007,0.004179265874503612,0.8063537191138653,0.3664812290461629,0.005841772707388033,0.37324540397155803,0.04622147399925177,0.006887932455059836,0.05564908342686121,0.43500000000000005,0.43500000000000005
0.245,5,0.7298427382053654,0.005976596358312254,0.7232985331042685,0.5119136186683306,0.00586420431157911,0.5054993834771887,0.9507295173961839,0.007216631398532027,0.9405162738496072,0.6654658547865868,0.004676212664802726,0.6619304420835083,0.6734208963104745,0.8115547689423543,0.004253762714410693,0.8072699248603172,0.35716759385476915,0.009637473613454321,0.36937700327893014,0.04927048260381594,0.007216631398532048,0.05948372615039282,0.43000000000000005,0.43000000000000005
0.25,5,0.7382635126205894,0.009042174034977845,0.7269988106250826,0.5204528425567965,0.009214958190907957,0.5090356947279335,0.9466142910587354,0.008522950184320248,0.937616909839132,0.671566295951801,0.006733783180165443,0.6644140485395886,0.6811351133771635,0.8133259708801678,0.004492968754547648,0.8078423156266117,0.34380871679622743,0.014726329983027194,0.36333492981615884,0.0533857089412645,0.008522950184320234,0.06238309016086794,0.42500000000000004,0.42500000000000004
0.255,5,0.7453786176820404,0.010554210242448545,0.732364213030263,0.5279558139541654,0.011202479544034952,0.5142655509627987,0.9424242424242424,0.007942603576847162,0.9349981294425739,0.6766805082992458,0.007981426544034458,0.6683262364886996,0.6886569717707443,0.8144291710203564,0.00406661280750366,0.8095446159821341,0.33224035662970197,0.016973948603439017,0.35500865784916924,0.05757575757575758,0.00794260357684714,0.06500187055742611,0.42000000000000004,0.42000000000000004
