robust_rank,threshold,seed_count,mean_accuracy,accuracy_std,minimum_accuracy,mean_precision,precision_std,minimum_precision,mean_recall,recall_std,minimum_recall,mean_f1,f1_std,minimum_f1,maximum_f1,mean_f2,f2_std,minimum_f2,mean_fpr,fpr_std,maximum_fpr,mean_fnr,fnr_std,maximum_fnr,distance_to_seed_optimum_mean,distance_to_seed_optimum_median
15,0.75,5,0.9322056297079424,0.0004902137436498329,0.9313862825426192,0.9865507627441585,0.002260473020742205,0.9825498575498576,0.7706135428357651,0.002678720527006391,0.7669285447063224,0.8653089156372594,0.0011750737217919324,0.8633396504527269,0.8663202645252714,0.8058898555954601,0.002122770346210499,0.8027882205513783,0.004141030836679807,0.0007203512304140452,0.005415760969679107,0.22938645716423495,0.0026787205270064024,0.2330714552936775,0.07499999999999996,0.07499999999999996
16,0.76,5,0.9322214880401745,0.0005009967058409141,0.9313862825426192,0.9869715989130174,0.0023274933271014587,0.9828897338403042,0.7703329592218482,0.002620950679986509,0.7666479610924055,0.865293871406163,0.0011751632322001694,0.8632964718272776,0.8662921938159484,0.8057005150983751,0.002077646360296927,0.8025888066423842,0.004008399955789706,0.0007393208737637472,0.005305235235604023,0.22966704077815187,0.0026209506799864907,0.23335203890759446,0.08499999999999996,0.08499999999999996
17,0.77,5,0.9321897713757104,0.0004974985712679896,0.9313862825426192,0.9872729290903056,0.0023197090607590585,0.983226266952177,0.7699775533108866,0.0024865049053059652,0.7664609053497943,0.8651857239255479,0.0011424689187894044,0.8632676709154113,0.8662641113153058,0.8054297807739612,0.001972396406886773,0.8024558380008616,0.003912610986257966,0.0007347167632633027,0.0051947095015289395,0.23002244668911334,0.002486504905306003,0.23353909465020575,0.09499999999999997,0.09499999999999997
18,0.775,5,0.9321844852649663,0.0005184028194176824,0.9313862825426192,0.9874120614284234,0.002268173483101753,0.9834504107631861,0.7698466142910588,0.0023664584567577845,0.7664609053497943,0.8651569566851082,0.001159259147553815,0.8632676709154113,0.8663550911095942,0.8053339240679593,0.0018942646398000616,0.8024558380008616,0.003868400692627934,0.0007167622023484405,0.005121025678812217,0.23015338570894123,0.002366458456757794,0.23353909465020575,0.09999999999999998,0.09999999999999998
19,0.78,5,0.9321791991542223,0.0005094313537041573,0.9313862825426192,0.9875983891081628,0.002162265996623723,0.9837979509173219,0.7696782641227086,0.002351812210220838,0.7662738496071829,0.8651223076217127,0.001150837524154541,0.8632388578653462,0.8662674650698603,0.8052114012832059,0.0018882300482505076,0.8023228485252065,0.0038094536344545557,0.0006831169940107923,0.005010499944737133,0.23032173587729146,0.0023518122102208386,0.23372615039281705,0.10499999999999998,0.10499999999999998
20,0.79,5,0.9321897713757104,0.00047706966427356475,0.9314127130963393,0.9881125981181154,0.0017385197719675994,0.985079971353545,0.769304152637486,0.0023293885720532303,0.7658997381219603,0.8650835870860835,0.001126736869713893,0.8632266905602699,0.8660606379065734,0.8049523674215125,0.0018894052337061307,0.8020725185605987,0.003647349224477766,0.0005495499351647311,0.004605238919795159,0.23069584736251403,0.00232938857205324,0.23410026187803964,0.11499999999999999,0.11499999999999999
21,0.765,5,0.9321897713757104,0.0005002990356711639,0.9313598519888991,0.9871325622675634,0.0022270975525885946,0.9832342449464923,0.7700897867564533,0.002600680327937051,0.7664609053497943,0.8652024915624901,0.0011793418298002355,0.8632222046663507,0.8662186285834296,0.8055092453684208,0.0020704205774010006,0.8024401229853318,0.003956821279888001,0.0007070384184070239,0.0051947095015289395,0.22991021324354657,0.002600680327937088,0.23353909465020575,0.08999999999999997,0.08999999999999997
22,0.755,5,0.9322003435971983,0.0005220954329573569,0.931333421435179,0.9867607729546084,0.002407816948752024,0.9825436408977556,0.7704264870931538,0.0026598774108272964,0.7667414889637112,0.8652716540565228,0.0012107571948813216,0.8632199641992209,0.8663062306440606,0.8057541637584137,0.002110334439059487,0.8026238496181712,0.004074715396234757,0.0007651241012759688,0.005415760969679107,0.22957351290684622,0.0026598774108273016,0.2332585110362888,0.07999999999999996,0.07999999999999996
23,0.795,5,0.9321950574864543,0.00048144252989302464,0.9314127130963393,0.9883237512119374,0.0016008918435063521,0.9855470616340182,0.7691545080433969,0.002423075931868507,0.7655256266367377,0.8650697840481065,0.0011624810709296059,0.8631689955180596,0.866106148187073,0.8048492680023523,0.001972642119440755,0.8018063909406162,0.0035810337840327154,0.0005067604572537865,0.004457871274361714,0.23084549195660306,0.0024230759318685,0.23447437336326224,0.12,0.12
24,0.675,5,0.9318937491740453,0.0007413287391572806,0.9308576714682173,0.9810130810578885,0.005925381044315973,0.970803768756543,0.7740179573512908,0.004023546848140967,0.7700149644594089,0.8652887721952978,0.0013866705741035859,0.8629074520490514,0.8662620343239849,0.8081104999110302,0.0028554237168504563,0.8046639821728762,0.00591681096415282,0.0019268354862103329,0.009247319750948679,0.2259820426487093,0.004023546848140939,0.2299850355405911,0.0,0.0
