condition_id,execution_index,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,iteration_index,elapsed_ns,batch_latency_ms,flows_per_second
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,119,837452,0.837452,1194.0982886183328
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,120,824897,0.824897,1212.2725625138653
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,121,747883,0.747883,1337.1075422225133
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,122,824010,0.82401,1213.577505127365
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,123,764383,0.764383,1308.2446888536244
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,124,919159,0.919159,1087.9510509063177
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,125,763330,0.76333,1310.04938886196
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,126,717915,0.717915,1392.9225604702506
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,127,817637,0.817637,1223.0366287239935
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,128,753896,0.753896,1326.4429045916147
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,129,790919,0.790919,1264.3519753603086
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,130,742752,0.742752,1346.3444056697256
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,131,722360,0.72236,1384.3512929841077
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,132,813232,0.813232,1229.6614004367757
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,133,814738,0.814738,1227.3884365280617
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,134,780349,0.780349,1281.4779028357825
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,135,789169,0.789169,1267.1557042914762
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,136,734507,0.734507,1361.4574129313949
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,137,816658,0.816658,1224.50279064186
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,138,870420,0.87042,1148.8706601410813
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,139,849606,0.849606,1177.0161698481413
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,140,743817,0.743817,1344.4167046464386
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,141,722162,0.722162,1384.730849864712
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,142,808423,0.808423,1236.9761869714246
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,143,752410,0.75241,1329.0626121396579
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,144,746927,0.746927,1338.8189207245152
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,145,749699,0.749699,1333.8686592885945
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,146,784147,0.784147,1275.2710907521166
GPUCOND_021,1,STAGE20_MASKED_CNN_V1,GROUP_B_PACKET_IMAGE,GPU_SINGLE_T4,1,1,147,875677,0.875677,1141.9735815831637
