Operating Point Key,Model,Objective,Threshold,Metric,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,FP,219.0,219.092,219.0,14.566352505437191,191.0,247.0,56.0,2000
xgboost_balanced,XGBoost Tuned,Maximum Validation F1,0.51,FN,3038.0,3038.964,3039.0,50.40093085366041,2935.0,3136.0,201.0,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,Accuracy,0.9345196557338916,0.9345023427375138,0.93450304057422,0.0009896215637037898,0.9325590668926328,0.9363975841557837,0.0038385172631508757,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,Precision,0.9297754001613383,0.929768355622411,0.9297959011561037,0.0015492339704213866,0.9267181642437226,0.9327261890370957,0.006008024793373146,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,Recall,0.9054411643099314,0.9054051517406764,0.9053998180765732,0.001856237356540065,0.9019267344744893,0.9090796328454478,0.007152898370958449,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,F1-score,0.9174469511301032,0.9174235714748711,0.9174027393414468,0.0012658104815726503,0.9149509540408333,0.9198908034675266,0.0049398494266933435,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,F2-score,0.9102055745363559,0.9101741958444054,0.9101492177420367,0.0015549820888268104,0.9072501344509416,0.913234212730903,0.005984078279961391,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,FPR,0.04594444444444445,0.045949194444444445,0.04594444444444445,0.0010859828652232252,0.043833333333333335,0.04805555555555555,0.0042222222222222175,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,FNR,0.09455883569006863,0.09459484825932359,0.09460018192342677,0.001856237356540064,0.09092036715455222,0.09807326552551063,0.007152898370958408,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,Specificity,0.9540555555555555,0.9540508055555555,0.9540555555555555,0.0010859828652232258,0.9519444444444445,0.9561666666666667,0.004222222222222238,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,ROC-AUC,0.9801912125472036,0.980174831014786,0.9801834153366962,0.00047227433720416017,0.9792644199439299,0.9810936453423469,0.0018292253984170115,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,PR-AUC,0.9776433333080397,0.9776272725041519,0.9776384199150892,0.0005030886717135242,0.9766565132154921,0.9786209257097731,0.0019644124942810315,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,TP,21899.0,21898.129,21898.0,44.89495670527799,21814.0,21987.0,173.0,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,TN,34346.0,34345.829,34346.0,39.095383148036106,34270.0,34422.0,152.0,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,FP,1654.0,1654.171,1654.0,39.095383148036106,1578.0,1730.0,152.0,2000
xgboost_security,XGBoost Tuned,Constrained Maximum F2,0.27,FN,2287.0,2287.871,2288.0,44.894956705277984,2199.0,2372.0,173.0,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,Accuracy,0.9457515036719503,0.9457328780779582,0.9457016581929353,0.0008746754114099641,0.9440729571661184,0.9474803110357891,0.003407353869670726,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,Precision,0.9897008567014652,0.989702639231698,0.989715599336005,0.0006835340867317129,0.9883557664085713,0.9910209884088992,0.002665222000327927,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,Recall,0.8741007194244604,0.874052633755065,0.8740593731911023,0.0020832593312446307,0.8700074423220044,0.8782766889936326,0.008269246671628205,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,F1-score,0.9283158056513052,0.9282880833036318,0.9282334475957388,0.0012260436957132026,0.9259387939406324,0.9307495437358975,0.004810749795265079,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,F2-score,0.8950086787180898,0.8949678429735108,0.8949483061115721,0.0017559947281493018,0.8916192728485138,0.8985220814045338,0.00690280855601999,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,FPR,0.006111111111111111,0.006109944444444445,0.006111111111111111,0.00040942018710036327,0.00533263888888889,0.0069166666666666664,0.0015840277777777762,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,FNR,0.12589928057553956,0.1259473662449351,0.1259406268088977,0.00208325933124463,0.12172331100636732,0.12999255767799553,0.008269246671628205,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,Specificity,0.9938888888888889,0.9938900555555555,0.9938888888888889,0.000409420187100363,0.9930833333333333,0.9946673611111111,0.0015840277777777745,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,ROC-AUC,0.9802072525887335,0.9801947535353902,0.9802029563131105,0.0004724037881832939,0.9792627346542307,0.98113708253225,0.0018743478780192113,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,PR-AUC,0.9776909621341594,0.9776789595238382,0.9776901451176783,0.0005023635071271859,0.9767133096140551,0.9786770956384034,0.001963786024348324,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,TP,21141.0,21139.837,21140.0,50.38571018548263,21042.0,21242.0,200.0,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,TN,35780.0,35780.042,35780.0,14.739126735613079,35751.0,35808.025,57.025000000001455,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,FP,220.0,219.958,220.0,14.739126735613079,191.97500000000005,249.0,57.02499999999995,2000
lightgbm_balanced,LightGBM Tuned,Maximum Validation F1,0.5,FN,3045.0,3046.163,3046.0,50.38571018548263,2944.0,3144.0,200.0,2000
lightgbm_security,LightGBM Tuned,Constrained Maximum F2,0.26,Accuracy,0.9347024224902801,0.9346835892067923,0.9346858073306085,0.0009925568743059672,0.9326911574120227,0.9365965506928522,0.0039053932808295055,2000
