target_id,hardware_mode,batch_size,condition_id,status,median_throughput_flows_per_second,median_amortized_latency_ms_per_flow,throughput_multiplier_vs_B1,amortized_latency_improvement_vs_B1,claim_boundary,uncertainty_propagated
ENS_LGBM_XGB_EQUAL,CPU_1_PHYSICAL_CORE,256,CPUCOND_063,PASS,15048.34140103248,0.06645251757812501,16.882440665301118,16.882437880266302,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_1_PHYSICAL_CORE,1024,CPUCOND_064,PASS,17011.026970775467,0.05878554052734375,19.08433931929865,19.084293347241807,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_1_PHYSICAL_CORE,8192,CPUCOND_065,PASS,18587.949130377237,0.05379834295654297,20.853457528661497,20.8534396850518,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_2_PHYSICAL_CORE,1,CPUCOND_066,PASS,166.74880460568224,5.9970444999999994,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_2_PHYSICAL_CORE,64,CPUCOND_067,PASS,8625.200823473344,0.11594203125,51.72571308004103,51.72450780225571,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_2_PHYSICAL_CORE,256,CPUCOND_068,PASS,16240.646042212335,0.06157421875,97.39587687370388,97.39538108228129,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_2_PHYSICAL_CORE,1024,CPUCOND_069,PASS,26311.15184444711,0.0380066982421875,157.7891482140827,157.78914710731885,INFERENCE_COMPONENT_ONLY,False
ENS_LGBM_XGB_EQUAL,CPU_2_PHYSICAL_CORE,8192,CPUCOND_070,PASS,32860.78648034978,0.030431409545898437,197.06759852376175,197.06758870156523,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_1_PHYSICAL_CORE,1,CPUCOND_071,PASS,580.4252995555269,1.722885,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_1_PHYSICAL_CORE,64,CPUCOND_072,PASS,871.6000071674872,1.1473153046875,1.5016575049966527,1.5016665366189557,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_1_PHYSICAL_CORE,256,CPUCOND_073,PASS,743.781772022851,1.3444808828124999,1.2814427155267316,1.2814499797095829,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_1_PHYSICAL_CORE,1024,CPUCOND_074,PASS,652.6319095847382,1.532257439453125,1.1244029336496963,1.1244096165817354,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_1_PHYSICAL_CORE,8192,CPUCOND_075,PASS,593.8117595342778,1.6840914337158204,1.023063191747503,1.0230353088362814,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_2_PHYSICAL_CORE,1,CPUCOND_076,PASS,594.2689986925175,1.68274,1.0,1.0,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_2_PHYSICAL_CORE,64,CPUCOND_077,PASS,1595.4453027581606,0.6267846796875001,2.684719051924943,2.6847178218187686,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_2_PHYSICAL_CORE,256,CPUCOND_078,PASS,1327.7520941286139,0.75315264453125,2.2342610788209907,2.2342615566958677,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_2_PHYSICAL_CORE,1024,CPUCOND_079,PASS,1228.4882778319493,0.81400932421875,2.0672259204750896,2.0672244775758792,INFERENCE_COMPONENT_ONLY,False
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,CPU_2_PHYSICAL_CORE,8192,CPUCOND_080,PASS,1074.3892976429515,0.9307613552856445,1.807917458266832,1.8079177766072787,INFERENCE_COMPONENT_ONLY,False
