run_id,candidate_id,seed,threshold,accuracy,precision,recall,f1,f2,fpr,fnr,true_negative,false_positive,false_negative,true_positive
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.3549999999999998,0.9034491872604731,0.8374724326397546,0.8168724279835391,0.8270441740447897,0.8209109536252045,0.062447039752422356,0.1831275720164609,25448,1695,1958,8734
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.3599999999999998,0.9040306594423153,0.8398960238759988,0.8159371492704826,0.8277432515773993,0.8206189445959928,0.061268098588954795,0.1840628507295174,25480,1663,1968,8724
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.3649999999999998,0.9045328399629973,0.84163288940359,0.8156565656565656,0.8284411513251637,0.8207227555053641,0.06045757653907085,0.18434343434343434,25502,1641,1971,8721
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.36999999999999983,0.9049292982687988,0.8431182899700165,0.815282454171343,0.8289667633493414,0.8207016024252923,0.05975758022326198,0.18471754582865693,25521,1622,1975,8717
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.37499999999999983,0.9053257565746002,0.8450786255096098,0.8142536475869809,0.8293798228065161,0.8202374222724703,0.05879969052794459,0.18574635241301907,25547,1596,1986,8706
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.37999999999999984,0.9057222148804017,0.8465804066543438,0.8138795361017583,0.8299079681464879,0.8202160348370313,0.058099694212135726,0.1861204638982417,25566,1577,1990,8702
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.38499999999999984,0.9059336593101626,0.8475782087515836,0.8134118967452301,0.8301436548465614,0.8200230062795829,0.05762074936447703,0.18658810325476993,25579,1564,1995,8697
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.38999999999999985,0.9067530064754856,0.8512453422239655,0.8119154508043397,0.8311153662039253,0.8194879734169089,0.05588917953063405,0.1880845491956603,25626,1517,2011,8681
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.3949999999999998,0.9079688119466103,0.8565776458951533,0.809951365506921,0.8326122488222286,0.8188660690646392,0.053420771469623846,0.19004863449307893,25693,1450,2032,8660
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.3999999999999998,0.9087617285582132,0.8600556992241893,0.8087355031799476,0.8336064783572738,0.8185036537806216,0.05183656928121431,0.19126449682005237,25736,1407,2045,8647
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.4049999999999998,0.9091317563102947,0.8618316041500399,0.8079872802095024,0.8340413207182853,0.8182110925897864,0.05102604723133036,0.19201271979049755,25758,1385,2053,8639
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.4099999999999998,0.909211047971455,0.8625237286442202,0.8074261129816686,0.8340659871503792,0.8178752107925801,0.05069447002910511,0.19257388701833147,25767,1376,2059,8633
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.4149999999999998,0.9099775340293379,0.8661306532663317,0.8060231949120839,0.8349966088557311,0.817367881937858,0.049073425929337215,0.1939768050879162,25811,1332,2074,8618
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.4199999999999998,0.91050614510374,0.868543179983858,0.805181444070333,0.8356629780625121,0.8171032649962036,0.04800501049994474,0.19481855592966704,25840,1303,2083,8609
FT_DEEP_REGULARIZED_seed_101,FT_DEEP_REGULARIZED,101,0.4249999999999998,0.9112990617153429,0.8717818771538618,0.8044332210998878,0.8367545481077926,0.8170574153588935,0.046605017868327006,0.19556677890011223,25878,1265,2091,8601
