model,model_display,feature_index,feature_name,stable_top10_case_count,mean_absolute_attribution,mean_attribution,positive_case_fraction,mean_reference_sign_consistency,scope,selected_outcome,available_case_count,stable_top10_case_rate,dominant_direction
mlp,MLP,16,Flow Pkts/s,2,2.873318868776158,2.873318868776158,1.0,1.0,Model and outcome,TP,8,0.25,Predominantly increases attack logit
mlp,MLP,48,ACK Flag Cnt,2,2.0457241142611307,2.0457241142611307,1.0,0.765625,Model and outcome,TP,8,0.25,Predominantly increases attack logit
mlp,MLP,42,Pkt Len Std,2,1.696897485140881,-0.04088441066205428,0.5,0.78125,Model and outcome,TP,8,0.25,Direction varies across cases
cnn,CNN,53,Pkt Size Avg,13,1.000685758537885,0.6796057475532175,0.9230769230769231,0.7908653846153846,Model overall,ALL,32,0.40625,Predominantly increases attack logit
cnn,CNN,40,Pkt Len Max,11,0.7562187535298501,0.5607024390979484,0.8181818181818182,0.8153409090909091,Model overall,ALL,32,0.34375,Predominantly increases attack logit
cnn,CNN,69,Fwd Seg Size Min,10,3.7817327595584906,3.7817327595584906,1.0,0.8875,Model overall,ALL,32,0.3125,Predominantly increases attack logit
mlp,MLP,7,Fwd Pkt Len Max,16,2.68265716494313,2.385895082772354,0.9375,0.791015625,Model overall,ALL,32,0.5,Predominantly increases attack logit
mlp,MLP,40,Pkt Len Max,15,0.8878130103228875,0.7263837250817122,0.9333333333333333,0.8145833333333333,Model overall,ALL,32,0.46875,Predominantly increases attack logit
mlp,MLP,69,Fwd Seg Size Min,13,5.308711485736823,5.308711485736823,1.0,0.9326923076923077,Model overall,ALL,32,0.40625,Predominantly increases attack logit
mlp,MLP,11,Bwd Pkt Len Max,13,1.1320768737731077,0.4474242840474914,0.7692307692307693,0.7668269230769231,Model overall,ALL,32,0.40625,Predominantly increases attack logit
mlp,MLP,54,Fwd Seg Size Avg,12,1.8435234664837878,-1.8435234664837878,0.0,0.7942708333333334,Model overall,ALL,32,0.375,Predominantly decreases attack logit
mlp,MLP,41,Pkt Len Mean,10,0.9840982538636942,0.6754544040719775,0.9,0.8,Model overall,ALL,32,0.3125,Predominantly increases attack logit
