model,model_display,selected_outcome,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,outcome_absolute_rank
cnn,CNN,FN,35,Fwd Header Len,8,-0.00023560462351918747,0.00024684177513397657,0.0001465385297422848,0.0006051536817468343,0,0.0,0.25,0.578125,63
cnn,CNN,FN,3,Tot Fwd Pkts,8,-7.291652533814175e-06,0.00016127585590695897,0.0001017632750741219,0.0005637768467180495,0,0.0,0.625,0.6015625,64
cnn,CNN,FN,68,Fwd Act Data Pkts,8,-9.787471945097402e-05,0.00012675991658922224,6.393538385663902e-05,0.00040379265883676714,0,0.0,0.5,0.5,65
cnn,CNN,FN,62,Subflow Fwd Pkts,8,-9.604402481439446e-06,0.00011649304173087627,7.33751900796471e-05,0.0003865182148146003,0,0.0,0.625,0.55078125,66
cnn,CNN,FN,32,Bwd PSH Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,67
cnn,CNN,FN,33,Fwd URG Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,68
cnn,CNN,FN,34,Bwd URG Flags,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,69
cnn,CNN,FN,44,FIN Flag Cnt,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,70
cnn,CNN,FN,49,URG Flag Cnt,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,71
cnn,CNN,FN,50,CWE Flag Count,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,72
cnn,CNN,FN,56,Fwd Byts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,73
cnn,CNN,FN,57,Fwd Pkts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,74
cnn,CNN,FN,58,Fwd Blk Rate Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,75
cnn,CNN,FN,59,Bwd Byts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,76
cnn,CNN,FN,60,Bwd Pkts/b Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,77
cnn,CNN,FN,61,Bwd Blk Rate Avg,8,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,78
cnn,CNN,FP,69,Fwd Seg Size Min,8,1.2920551680445675,1.4201624107848607,0.43099576233354764,4.542423457771893,4,0.5,0.875,0.82421875,1
cnn,CNN,FP,51,ECE Flag Cnt,8,0.22435617341471478,1.239746727158651,0.9171198215418597,2.053785818030971,7,0.875,0.375,0.6171875,2
cnn,CNN,FP,46,RST Flag Cnt,8,0.10442583943187102,1.0093490590297771,1.0111075295329512,1.6374177464971635,6,0.75,0.375,0.609375,3
cnn,CNN,FP,66,Init Fwd Win Byts,8,0.8839710109806979,1.0093012276637723,0.4087841947431483,3.696895984301631,4,0.5,0.625,0.6640625,4
cnn,CNN,FP,53,Pkt Size Avg,8,0.8479911292610207,0.8479911292610207,0.8239745628714196,1.2918783188228957,6,0.75,1.0,0.74609375,5
cnn,CNN,FP,7,Fwd Pkt Len Max,8,0.8241377227416188,0.8241377227416188,0.7737018213481232,1.4979254291962736,6,0.75,1.0,0.6015625,6
cnn,CNN,FP,10,Fwd Pkt Len Std,8,-0.6384007344938889,0.7666887896159609,0.7091898487363825,1.4320167989674775,6,0.75,0.125,0.52734375,7
cnn,CNN,FP,40,Pkt Len Max,8,0.664362688158489,0.664362688158489,0.5055891110475993,1.5440253899397671,4,0.5,1.0,0.6640625,8
cnn,CNN,FP,11,Bwd Pkt Len Max,8,0.6422818733986838,0.6422818733986838,0.6870988590784562,0.8089761063434303,6,0.75,1.0,0.5859375,9
cnn,CNN,FP,27,Bwd IAT Mean,8,-0.4350564312038226,0.5421065812400327,0.06557798368487966,3.908652049775421,1,0.125,0.875,0.72265625,10
cnn,CNN,FP,30,Bwd IAT Min,8,0.5119433148715625,0.5120425912676813,0.0021074794280653703,4.082763535880759,1,0.125,0.875,0.66796875,11
cnn,CNN,FP,48,ACK Flag Cnt,8,0.2803905130981117,0.49487754454180066,0.1617636286716969,2.359423693724961,1,0.125,0.625,0.78125,12
cnn,CNN,FP,25,Fwd IAT Min,8,0.24453271633907708,0.4896408056459794,0.22844811703657167,1.8259601430932764,2,0.25,0.25,0.67578125,13
cnn,CNN,FP,13,Bwd Pkt Len Mean,8,0.47724131564763866,0.47724131564763866,0.35888458564629555,0.9392140101129092,2,0.25,1.0,0.6875,14
cnn,CNN,FP,17,Flow IAT Mean,8,0.24783043247944103,0.42970950760756016,0.25439738083458885,0.9984128102019978,2,0.25,0.875,0.7890625,15
