model,model_display,case_id,baseline_id,baseline_display,integration_steps,reference_steps,signed_cosine_to_reference,absolute_cosine_to_reference,top10_jaccard_to_reference,maximum_absolute_attribution_difference,mean_absolute_attribution_difference
cnn,CNN,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,64,128,0.9999926494037944,0.9999926494037944,1.0,0.036980298477451434,0.001451780997960441
cnn,CNN,NEURAL_DISAGREE_02,zero_scaled,Zero standardized vector,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_02,benign_median,Benign training median,16,128,0.9997755625390006,0.9997755625390006,1.0,0.24506324205067287,0.007764080928574186
cnn,CNN,NEURAL_DISAGREE_02,benign_median,Benign training median,32,128,0.9999806578467749,0.9999806578467749,1.0,0.08536368284110196,0.0022964594291673994
cnn,CNN,NEURAL_DISAGREE_02,benign_median,Benign training median,64,128,0.9999878673855532,0.9999878673855532,1.0,0.09133244625342662,0.0018528999387971885
cnn,CNN,NEURAL_DISAGREE_02,benign_median,Benign training median,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,16,128,0.9999485836875165,0.9999485836875165,0.8181818181818182,0.06319765585059733,0.005580849998317344
cnn,CNN,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,32,128,0.9999947470408134,0.9999947470408134,1.0,0.018827917236101666,0.0018316164317693413
cnn,CNN,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,64,128,0.9999990351278865,0.9999990351278865,1.0,0.007836251339461864,0.0007057701347548901
cnn,CNN,NEURAL_DISAGREE_02,benign_reference_32,Mean IG over 32 benign training references,128,128,1.0,1.0,1.0,0.0,0.0
cnn,CNN,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,16,128,0.9997455763010796,0.9997455763010796,1.0,0.12379784237387881,0.008406251461952905
cnn,CNN,NEURAL_DISAGREE_03,zero_scaled,Zero standardized vector,32,128,0.999972197984963,0.999972197984963,1.0,0.030659482721746123,0.003641443379391904
