model,model_display,baseline_id,baseline_display,integration_steps,case_count,completeness_pass_count,completeness_pass_rate,mean_absolute_error,median_absolute_error,maximum_absolute_error,mean_normalized_error,median_normalized_error,p95_normalized_error,maximum_normalized_error,mean_signed_cosine,minimum_signed_cosine,mean_absolute_cosine,mean_top10_jaccard,minimum_top10_jaccard,mean_maximum_attribution_difference,maximum_attribution_difference
cnn,CNN,zero_scaled,Zero standardized vector,64,12,4,0.3333333333333333,0.11473522697739529,0.11560298139739444,0.2590927496638997,0.0055006750272602834,0.004963581185690261,0.010028181785872326,0.010103242431181656,0.9999954477731389,0.9999908086406275,0.9999954477812305,1.0,1.0,0.03858515103753916,0.08037795008657689
cnn,CNN,zero_scaled,Zero standardized vector,128,12,10,0.8333333333333334,0.027328116242625693,0.022231463695019826,0.10088374547060042,0.0011920587047013597,0.0011004812788411853,0.0027849090736395297,0.0037873639086314897,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
mlp,MLP,benign_median,Benign training median,16,12,3,0.25,0.07509807908319743,0.03400963984521055,0.4681239632559267,0.05452424850618077,0.015311069445569736,0.2288390857305179,0.4681239632559267,0.9997647596736714,0.999541069609416,0.999764759857916,1.0,1.0,0.06776259040613757,0.29337996148820444
mlp,MLP,benign_median,Benign training median,32,12,5,0.4166666666666667,0.040058152410077714,0.03183193887492397,0.13303920077367093,0.028938817334072126,0.012699759175458129,0.0948088203994795,0.13303920077367093,0.9999468249127793,0.9998242064492703,0.9999468249127793,1.0,1.0,0.02607219602924402,0.051139030952565
mlp,MLP,benign_median,Benign training median,64,12,10,0.8333333333333334,0.012284147896260847,0.007636007150726987,0.048030501240189816,0.008211536768681981,0.004261195288759474,0.029821401265400414,0.048030501240189816,0.9999906809626496,0.9999722987863051,0.9999906809626496,1.0,1.0,0.013271180104093542,0.032084914589204594
mlp,MLP,benign_median,Benign training median,128,12,10,0.8333333333333334,0.007174204766165648,0.004498131451885268,0.02178813394482315,0.003831548679350828,0.0014894505550211961,0.014925534017257634,0.017149886626650623,1.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0
mlp,MLP,benign_reference_32,Mean IG over 32 benign training references,16,12,10,0.8333333333333334,0.02506755725696456,0.019714663430374646,0.08717905648949387,0.0061653639304849,0.00456034364977061,0.01735625579808453,0.024243353726469775,0.9999628657490258,0.9998293495218883,0.999962866486697,1.0,1.0,0.021664434138975657,0.07555027751030963
mlp,MLP,benign_reference_32,Mean IG over 32 benign training references,32,12,12,1.0,0.00861487919219539,0.00762645655119587,0.02207080196563993,0.002143279907047107,0.001820569112148666,0.004360006472979321,0.004511643342215196,0.9999942548265257,0.9999835590485012,0.9999942552021984,1.0,1.0,0.0071365071539897145,0.016599193364090103
mlp,MLP,benign_reference_32,Mean IG over 32 benign training references,64,12,12,1.0,0.0036189917898601376,0.003698288005063999,0.008526471400112534,0.0010473613363880215,0.0010158663310553334,0.002419916801641219,0.0029146714947541727,0.9999987913837877,0.9999958277929154,0.9999987914362275,1.0,1.0,0.003937133042586101,0.012365274784918334
mlp,MLP,benign_reference_32,Mean IG over 32 benign training references,128,12,12,1.0,0.001863421547375103,0.0009390805351132681,0.0063652974492249825,0.00045993411954830865,0.0002375624748074243,0.0015211524066197934,0.001668224834729328,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
mlp,MLP,zero_scaled,Zero standardized vector,16,12,5,0.4166666666666667,0.08920299614487566,0.05892865657148416,0.26696519594468704,0.03729273658933103,0.011616557157674174,0.13032622136873598,0.16043853951358328,0.9995245272072474,0.9986281428608081,0.9995248015598595,0.9848484848484849,0.8181818181818182,0.29088170226568183,0.767797058572846
mlp,MLP,zero_scaled,Zero standardized vector,32,12,5,0.4166666666666667,0.0929897031367913,0.06557918224700288,0.24708392091979797,0.06821540488244965,0.01512337169748066,0.21888142649456072,0.24708392091979797,0.999922380831438,0.9998229418889035,0.9999224177716481,0.9848484848484849,0.8181818181818182,0.10299355671234466,0.2365136532527301
mlp,MLP,zero_scaled,Zero standardized vector,64,12,6,0.5,0.031060105531158826,0.019571063729997673,0.10418178444529946,0.015509370916751607,0.0085826492014227,0.051959447518812776,0.06656012504700409,0.9999819767850378,0.9999193151772782,0.9999819800229791,1.0,1.0,0.05447229508307213,0.16645234806733455
mlp,MLP,zero_scaled,Zero standardized vector,128,12,7,0.5833333333333334,0.04517990725635587,0.02103676977113178,0.12255004288343208,0.03664902753394719,0.0046004235112645465,0.12200966868941784,0.12255004288343208,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
