model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,input_probability,input_logit,baseline_id,baseline_display,semantic_role,baseline_count,baseline_mean_logit,target_logit_difference,integration_method,integration_steps,attribution_sum,signed_completeness_error,absolute_completeness_error,normalized_completeness_error,completeness_pass,attribution_l1_norm,attribution_l2_norm
mlp,MLP,NEURAL_DISAGREE_11,18486,69394,1,DoS attacks-Hulk,0.22092919051647186,-1.260259747505188,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,4.144463814795017,Trapezoidal rule,64,4.139336950299541,-0.005126864495475836,0.005126864495475836,0.0012370392708397691,True,12.327147636963652,2.7840961349253552
mlp,MLP,NEURAL_DISAGREE_11,18486,69394,1,DoS attacks-Hulk,0.22092919051647186,-1.260259747505188,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,4.144463814795017,Trapezoidal rule,128,4.143848217480192,-0.0006155973148249672,0.0006155973148249672,0.0001485348509081902,True,12.333114693988945,2.7846289712593983
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-0.5259931087493896,Trapezoidal rule,16,-0.5184952585797437,0.007497850169645992,0.007497850169645992,0.007497850169645992,True,54.268840111468734,13.980086516180227
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-0.5259931087493896,Trapezoidal rule,32,-0.3648903865228129,0.16110272222657673,0.16110272222657673,0.16110272222657673,False,55.19041620050724,14.316382437095521
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-0.5259931087493896,Trapezoidal rule,64,-0.5660065473815005,-0.04001343863211082,0.04001343863211082,0.04001343863211082,False,54.864625348814926,14.27826610890197
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-0.5259931087493896,Trapezoidal rule,128,-0.5738641089855825,-0.04787100023619284,0.04787100023619284,0.04787100023619284,False,54.94692221017974,14.32744679692962
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,5.283175230026245,Trapezoidal rule,16,5.361440970647685,0.07826574062143976,0.07826574062143976,0.014814148161625705,False,13.508663311853853,4.8787667236173045
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,5.283175230026245,Trapezoidal rule,32,5.31918949662065,0.03601426659440499,0.03601426659440499,0.006816784419665383,True,13.4374146017684,4.864095584203132
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,5.283175230026245,Trapezoidal rule,64,5.275836843968025,-0.007338386058219903,0.007338386058219903,0.0013890105360339238,True,13.335225129783112,4.828521342811148
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,5.283175230026245,Trapezoidal rule,128,5.304963363971068,0.02178813394482315,0.02178813394482315,0.00412406043641958,True,13.385831661421413,4.850357398729237
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,7.474580444395542,Trapezoidal rule,16,7.451945655224367,-0.022634789171175562,0.022634789171175562,0.003028235409272661,True,22.15345541141427,5.693004710862662
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,7.474580444395542,Trapezoidal rule,32,7.479560273740053,0.004979829344510911,0.004979829344510911,0.0006662352999685485,True,22.254202428497734,5.72199871610797
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,7.474580444395542,Trapezoidal rule,64,7.471547100721195,-0.0030333436743470443,0.0030333436743470443,0.000405821262733409,True,22.225287784068048,5.713391349580914
mlp,MLP,NEURAL_DISAGREE_12,6939,277691,1,Infilteration,0.8879386782646179,2.069856882095337,benign_reference_32,Mean IG over 32 benign training references,Primary distribution-aware baseline candidate,32,-5.404723562300205,7.474580444395542,Trapezoidal rule,128,7.477058820579384,0.002478376183842279,0.002478376183842279,0.00033157395284983136,True,22.24469547778197,5.720309481049755
