model,model_display,feature_index,feature_name,case_count,mean_attribution,mean_absolute_attribution,median_absolute_attribution,maximum_absolute_attribution,top10_case_count,top10_case_rate,positive_case_fraction,mean_reference_sign_consistency,global_absolute_rank
cnn,CNN,73,Active Min,32,0.01183110839826377,0.02374383835197659,0.0004141338424614116,0.31366519120511915,0,0.0,0.71875,0.849609375,54
cnn,CNN,36,Bwd Header Len,32,-0.008372001609272477,0.02311608394709056,0.020143937569793657,0.09352903662668655,0,0.0,0.3125,0.7080078125,55
cnn,CNN,4,Tot Bwd Pkts,32,0.01642953340017104,0.02109977686944011,0.015351650257431262,0.055813886174344685,0,0.0,0.875,0.615234375,56
cnn,CNN,15,Flow Byts/s,32,-0.0032708496714880693,0.01723398102240994,0.011678610366360632,0.06362118084476298,0,0.0,0.28125,0.701171875,57
cnn,CNN,64,Subflow Bwd Pkts,32,0.00023566201731484247,0.0141038192524092,0.00846804010869865,0.04905948775470771,0,0.0,0.46875,0.66015625,58
cnn,CNN,65,Subflow Bwd Byts,32,0.0018001342776740898,0.004826679106554093,0.004127764626144717,0.020324697190935107,0,0.0,0.75,0.591796875,59
cnn,CNN,6,TotLen Bwd Pkts,32,-0.0022608282681168385,0.004613353573159237,0.0039570030616619175,0.027568740920724862,0,0.0,0.125,0.6318359375,60
cnn,CNN,5,TotLen Fwd Pkts,32,0.00018041747932502633,0.0008993296074211504,0.0005537177653601695,0.0030280883325387274,0,0.0,0.53125,0.6376953125,61
cnn,CNN,63,Subflow Fwd Byts,32,-0.0003098033587224291,0.000680160987006877,0.0004958702129661133,0.0026623077958720827,0,0.0,0.25,0.6572265625,62
cnn,CNN,35,Fwd Header Len,32,-9.65142153801266e-05,0.00032236733746509585,0.00016992618422691106,0.0015870212545274329,0,0.0,0.375,0.5947265625,63
cnn,CNN,68,Fwd Act Data Pkts,32,0.0001674861764516331,0.0002662517690725557,0.00010151393693325945,0.0009195778172775976,0,0.0,0.71875,0.583984375,64
cnn,CNN,3,Tot Fwd Pkts,32,-1.133019405388438e-05,0.00018352431018491875,0.0001578705865376065,0.0008629759311897326,0,0.0,0.5625,0.57421875,65
cnn,CNN,62,Subflow Fwd Pkts,32,1.1794336894137442e-05,8.322527532144398e-05,6.340402752949047e-05,0.0003865182148146003,0,0.0,0.65625,0.568359375,66
cnn,CNN,32,Bwd PSH Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,67
cnn,CNN,33,Fwd URG Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,68
cnn,CNN,34,Bwd URG Flags,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,69
cnn,CNN,44,FIN Flag Cnt,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,70
cnn,CNN,49,URG Flag Cnt,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,71
cnn,CNN,50,CWE Flag Count,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,72
cnn,CNN,56,Fwd Byts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,73
cnn,CNN,57,Fwd Pkts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,74
cnn,CNN,58,Fwd Blk Rate Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,75
cnn,CNN,59,Bwd Byts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,76
cnn,CNN,60,Bwd Pkts/b Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,77
cnn,CNN,61,Bwd Blk Rate Avg,32,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,78
mlp,MLP,69,Fwd Seg Size Min,32,2.2615350346697873,2.300661038260822,0.22327555818054212,14.861413093617482,16,0.5,0.8125,0.783203125,1
mlp,MLP,7,Fwd Pkt Len Max,32,1.6747483931144276,1.8527210673407688,1.387200280335708,6.171069531555787,29,0.90625,0.9375,0.7255859375,2
mlp,MLP,14,Bwd Pkt Len Std,32,-0.8746362527418776,1.4840706155966763,0.8039696119579531,8.650333474477454,25,0.78125,0.125,0.6044921875,3
mlp,MLP,66,Init Fwd Win Byts,32,1.2485150794774889,1.399478621637978,0.7228860888013527,6.119004214161996,25,0.78125,0.875,0.634765625,4
mlp,MLP,54,Fwd Seg Size Avg,32,-0.7648313627779054,0.9276478694531018,0.6184286918793609,4.301465739273933,16,0.5,0.15625,0.6826171875,5
mlp,MLP,10,Fwd Pkt Len Std,32,-0.5473890370392936,0.9143048043788587,0.3608276978104855,4.462047383154956,14,0.4375,0.3125,0.591796875,6
mlp,MLP,51,ECE Flag Cnt,32,-0.5875540909690237,0.90822459642349,0.5843106925339894,2.573554755633136,24,0.75,0.125,0.6240234375,7
mlp,MLP,47,PSH Flag Cnt,32,-0.07859533504751817,0.8710696928890724,0.6344104052854275,3.7510115882989705,19,0.59375,0.40625,0.6162109375,8
mlp,MLP,40,Pkt Len Max,32,0.6156028911539795,0.8445353191166936,0.6760650538921901,2.1110043176069313,22,0.6875,0.84375,0.73046875,9
mlp,MLP,0,Dst Port,32,0.6413245790085343,0.8398454879489321,0.4564965024651776,3.830902963651485,13,0.40625,0.71875,0.609375,10
mlp,MLP,11,Bwd Pkt Len Max,32,0.5191909133016808,0.8285865027264572,0.4161389374871901,3.16044607706044,21,0.65625,0.84375,0.70703125,11
mlp,MLP,38,Bwd Pkts/s,32,0.7714877692524654,0.8020371527728845,0.012876632481840348,9.689659172860559,3,0.09375,0.125,0.724609375,12
mlp,MLP,67,Init Bwd Win Byts,32,0.6427711705677391,0.7734300302987597,0.3512639213420654,2.863395677425618,9,0.28125,0.875,0.5205078125,13
mlp,MLP,41,Pkt Len Mean,32,0.4879481812579217,0.6667966599501745,0.49974490625190127,1.7624739251247699,12,0.375,0.875,0.720703125,14
mlp,MLP,46,RST Flag Cnt,32,-0.37878983517646875,0.584838014761611,0.43530023160139686,1.6907296917775838,11,0.34375,0.15625,0.615234375,15
mlp,MLP,37,Fwd Pkts/s,32,-0.3995682381464992,0.43941647333672035,0.012827390768241726,5.100351251018134,3,0.09375,0.65625,0.763671875,16
mlp,MLP,42,Pkt Len Std,32,0.23839549167452787,0.43685285331477564,0.22403103166896254,1.7377818958029352,2,0.0625,0.71875,0.6328125,17
mlp,MLP,24,Fwd IAT Max,32,0.20361511206251873,0.4289042507782808,0.23892470311060907,3.604626219452193,2,0.0625,0.96875,0.7451171875,18
mlp,MLP,19,Flow IAT Max,32,0.06802349145855098,0.4091900293812107,0.23769887445608648,5.4586646067625555,6,0.1875,0.96875,0.73046875,19
mlp,MLP,43,Pkt Len Var,32,-0.23919657194028698,0.38084205681656685,0.3172413974194457,1.2347611178484938,1,0.03125,0.125,0.7548828125,20
mlp,MLP,48,ACK Flag Cnt,32,0.2909621714816942,0.373527324029184,0.14925178455169102,2.747587112181799,3,0.09375,0.625,0.7490234375,21
mlp,MLP,2,Flow Duration,32,0.1919930631093792,0.3475301947024184,0.22343777547563382,2.2936860993394057,2,0.0625,0.875,0.7314453125,22
mlp,MLP,23,Fwd IAT Std,32,0.21986230562655878,0.33259654057029825,0.09337021535220703,7.821890274191227,2,0.0625,0.4375,0.640625,23
mlp,MLP,74,Idle Mean,32,-0.3169785945923423,0.3169785945923423,0.25382965871589946,0.9561199937110703,3,0.09375,0.0,0.751953125,24
mlp,MLP,52,Down/Up Ratio,32,0.22606504984758216,0.31012418901916466,0.1363948284458978,1.7586317332724917,5,0.15625,0.6875,0.626953125,25
mlp,MLP,20,Flow IAT Min,32,0.2933652489184565,0.2933652489184565,0.22340114060805422,0.9950238470231024,2,0.0625,1.0,0.712890625,26
mlp,MLP,16,Flow Pkts/s,32,0.23633380070057664,0.2700772100861004,0.007841800134070171,2.873318868776158,2,0.0625,0.65625,0.6962890625,27
mlp,MLP,53,Pkt Size Avg,32,0.19966039248351775,0.2664606874748829,0.1342943041075565,1.1486793644661941,0,0.0,0.65625,0.6025390625,28
mlp,MLP,9,Fwd Pkt Len Mean,32,0.025220846221690366,0.26295391352403596,0.17111697448989027,0.8957619869638963,1,0.03125,0.46875,0.673828125,29
mlp,MLP,12,Bwd Pkt Len Min,32,-0.0394893629457607,0.24618758806257013,0.17659064881950995,1.071945828305779,4,0.125,0.3125,0.8779296875,30
mlp,MLP,55,Bwd Seg Size Avg,32,-0.131248582334873,0.23380193689911594,0.09964597988227006,0.9417866307589025,0,0.0,0.40625,0.634765625,31
mlp,MLP,17,Flow IAT Mean,32,0.21611200737830993,0.21753422684097354,0.16718337048788975,0.6655117297060158,2,0.0625,0.96875,0.7763671875,32
mlp,MLP,28,Bwd IAT Std,32,-0.06397513472984662,0.2170481027243546,0.06819794618526148,1.4384024840618608,0,0.0,0.4375,0.56640625,33
mlp,MLP,18,Flow IAT Std,32,-0.027690607782090718,0.19646653499940678,0.12688215394558525,2.1390770064971796,1,0.03125,0.6875,0.671875,34
mlp,MLP,33,Fwd URG Flags,32,0.19529081530274484,0.19529081530274484,0.0,3.1768823221213043,2,0.0625,0.0625,1.0,35
mlp,MLP,26,Bwd IAT Tot,32,0.09150219003543877,0.17669681955983504,0.036397226005735264,0.8231699010827128,2,0.0625,0.375,0.5986328125,36
mlp,MLP,21,Fwd IAT Tot,32,-0.09221896533790673,0.17009787459107445,0.0468499549732416,0.664871705330787,1,0.03125,0.40625,0.7158203125,37
mlp,MLP,13,Bwd Pkt Len Mean,32,0.015333518411612125,0.16941874235041504,0.13337287762983452,0.5213340742737748,1,0.03125,0.59375,0.6064453125,38
mlp,MLP,50,CWE Flag Count,32,0.14368757642614555,0.14368757642614555,0.0,2.311055784888728,2,0.0625,0.0625,0.998046875,39
mlp,MLP,27,Bwd IAT Mean,32,-0.007078715487871274,0.13950156902074917,0.05104527931522368,0.5687518353714459,2,0.0625,0.25,0.7236328125,40
mlp,MLP,1,Protocol,32,-0.02485171062237258,0.13009905694906548,0.05337317442884046,0.46852808429545184,4,0.125,0.46875,0.796875,41
mlp,MLP,22,Fwd IAT Mean,32,-0.04615005088297095,0.11319048620259926,0.051561939659066414,0.4802829899065773,0,0.0,0.6875,0.7587890625,42
mlp,MLP,77,Idle Min,32,-0.08689580315683508,0.10830141061415849,0.09585684794086269,0.2664571105251894,0,0.0,0.125,0.748046875,43
mlp,MLP,25,Fwd IAT Min,32,0.0019420201619108762,0.09348162043097931,0.07176360115391357,0.3972435073529511,0,0.0,0.75,0.6953125,44
mlp,MLP,76,Idle Max,32,0.009645894495713375,0.08120868901922085,0.05831563044373266,0.3222412801689196,0,0.0,0.34375,0.7548828125,45
mlp,MLP,29,Bwd IAT Max,32,-0.017424828243397035,0.08086213819932168,0.09197099591236978,0.16734425907244707,0,0.0,0.375,0.6279296875,46
mlp,MLP,45,SYN Flag Cnt,32,0.054005620695783504,0.06292441498111706,0.02514281494523808,0.2889088342424418,2,0.0625,0.8125,0.9453125,47
mlp,MLP,31,Fwd PSH Flags,32,-0.026777686373534764,0.062057289989185346,0.019612755567131608,0.22348509557608623,2,0.0625,0.28125,0.947265625,48
