case_id,model,model_display,selected_outcome,reference_number,reference_original_row_index,reference_probability,reference_logit,target_logit_difference,attribution_sum,absolute_completeness_error,signed_cosine_to_mean_attribution,top10_jaccard_to_mean_attribution,top10_sign_agreement_with_mean
CNN_FP_05,cnn,CNN,FP,16,133372,0.13112670183181763,-1.8910331726074219,3.425378441810608,3.3972411066836576,0.02813733512695027,0.7528126027643619,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,17,162071,0.14064912497997284,-1.8099089860916138,3.3442542552948,3.3586894311241666,0.01443517582936682,0.8658462761711918,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,18,90067,0.00158109818585217,-6.448053359985352,7.982398629188538,7.989572587900752,0.007173958712214379,0.9231859014298468,0.42857142857142855,0.8
CNN_FP_05,cnn,CNN,FP,19,111705,0.145994171500206,-1.766371250152588,3.300716519355774,3.308891808870925,0.008175289515151007,0.8878935858646338,0.42857142857142855,0.8
CNN_FP_05,cnn,CNN,FP,20,34940,0.06991544365882874,-2.58798885345459,4.122334122657776,4.149175770224852,0.02684164756707652,0.9101612458916337,0.42857142857142855,1.0
CNN_FP_05,cnn,CNN,FP,21,212937,9.353640780318528e-05,-9.277066230773926,10.811411499977112,10.874157371473121,0.06274587149600919,0.9178914742827935,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,22,214917,0.03187817335128784,-3.4134364128112793,4.947781682014465,4.7847819468815755,0.1629997351328898,0.9315184714475623,0.42857142857142855,1.0
CNN_FP_05,cnn,CNN,FP,23,70482,0.002233611885458231,-6.101899147033691,7.636244416236877,7.6697373617117695,0.03349294547489201,0.8969289708067761,0.5384615384615384,0.8
CNN_FP_05,cnn,CNN,FP,24,294868,0.00010112184099853039,-9.19908332824707,10.733428597450256,10.771195932466567,0.037767335016310355,0.9193356228507592,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,25,39929,0.33780986070632935,-0.6730696558952332,2.207414925098419,2.181004923842573,0.02641000125584636,0.8779476650193625,0.42857142857142855,0.8
CNN_FP_05,cnn,CNN,FP,26,138479,0.0454024001955986,-3.045724868774414,4.5800701379776,4.558671868370872,0.021398269606728526,0.890138260272448,0.42857142857142855,1.0
CNN_FP_05,cnn,CNN,FP,27,142790,1.4258160263125319e-05,-11.158166885375977,12.692512154579163,12.685774180371013,0.006737974208149922,0.9347260519255395,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,28,100912,0.06924225389957428,-2.5983877182006836,4.13273298740387,4.143516355244747,0.010783367840877744,0.9096381782076272,0.42857142857142855,1.0
CNN_FP_05,cnn,CNN,FP,29,74305,0.00013703333388548344,-8.895149230957031,10.429494500160217,10.45830676515249,0.028812264992271963,0.8201359923759567,0.3333333333333333,0.9
CNN_FP_05,cnn,CNN,FP,30,264007,9.488304203841835e-05,-9.262770652770996,10.797115921974182,10.822466627234615,0.025350705260432704,0.9173966101636228,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,31,265049,0.09861952811479568,-2.212658166885376,3.747003436088562,3.7843409050314083,0.037337468942846286,0.9029966545185028,0.42857142857142855,0.9
CNN_FP_05,cnn,CNN,FP,32,45738,0.04951528087258339,-2.95469069480896,4.489035964012146,4.473026357908585,0.016009606103560614,0.8930914073426148,0.42857142857142855,1.0
CNN_FP_06,cnn,CNN,FP,1,276817,0.0011331631103530526,-6.781608581542969,9.030158042907715,9.279373821293568,0.24921577838585307,0.48892679761062274,0.17647058823529413,0.7
CNN_FP_06,cnn,CNN,FP,2,214177,0.10486417263746262,-2.1443095207214355,4.392858982086182,4.490093661275543,0.09723467918936102,0.4498889882656221,0.3333333333333333,0.6
CNN_FP_06,cnn,CNN,FP,3,271605,0.029957886785268784,-3.4775469303131104,5.7260963916778564,5.589184788748053,0.13691160292980342,0.579547897997823,0.42857142857142855,0.7
CNN_FP_06,cnn,CNN,FP,4,284786,3.0974788387538865e-05,-10.382306098937988,12.630855560302734,12.550918991293903,0.07993656900883117,0.733245444773147,0.42857142857142855,0.7
CNN_FP_06,cnn,CNN,FP,5,278772,0.15003538131713867,-1.7343236207962036,3.9828730821609497,3.991951011311105,0.009077929150155484,0.6531650216013236,0.3333333333333333,0.8
CNN_FP_06,cnn,CNN,FP,6,65755,0.0447944775223732,-3.0598416328430176,5.308391094207764,5.317618018917982,0.009226924710218576,0.37517604832743356,0.17647058823529413,0.7
CNN_FP_06,cnn,CNN,FP,7,262731,8.94562472240068e-05,-9.321671485900879,11.570220947265625,11.582851753261032,0.012630805995407002,0.1417700918264457,0.25,0.4
CNN_FP_06,cnn,CNN,FP,8,21449,0.055750586092472076,-2.8295023441314697,5.078051805496216,5.065321931355811,0.012729874140404718,0.35887492467298315,0.17647058823529413,0.6
CNN_FP_06,cnn,CNN,FP,9,198454,2.520293855923228e-05,-10.58852481842041,12.837074279785156,12.809603042516962,0.02747123726819467,0.29761982593383807,0.42857142857142855,0.8
CNN_FP_06,cnn,CNN,FP,10,295346,5.769411291112192e-05,-9.760297775268555,12.0088472366333,12.012313269098513,0.0034660324652122654,0.32732224239079316,0.42857142857142855,0.8
CNN_FP_06,cnn,CNN,FP,11,87343,0.00010499916243134066,-9.161453247070312,11.410002708435059,11.379480104773764,0.030522603661294667,0.7598676773744166,0.3333333333333333,0.9
CNN_FP_06,cnn,CNN,FP,12,257740,0.005232546012848616,-5.247611045837402,7.496160507202148,7.500443807109416,0.004283299907267946,0.499895741099169,0.25,0.7
CNN_FP_06,cnn,CNN,FP,13,150246,0.13935862481594086,-1.820627212524414,4.06917667388916,4.070806878975181,0.0016302050860206307,0.676785416794543,0.42857142857142855,0.8
CNN_FP_06,cnn,CNN,FP,14,115022,0.28249409794807434,-0.9321235418319702,3.1806730031967163,3.189149359802835,0.008476356606118784,0.3572608657840086,0.17647058823529413,0.6
CNN_FP_06,cnn,CNN,FP,15,163618,0.0015199301997199655,-6.487569808959961,8.736119270324707,8.802640939178536,0.06652166885382904,0.763075159988351,0.3333333333333333,0.9
CNN_FP_06,cnn,CNN,FP,16,133372,0.13112670183181763,-1.8910331726074219,4.139582633972168,4.124854546855161,0.014728087117006794,0.19794203392621962,0.17647058823529413,0.4
CNN_FP_06,cnn,CNN,FP,17,162071,0.14064912497997284,-1.8099089860916138,4.05845844745636,4.048870810437331,0.009587637019028428,0.6804165770929248,0.42857142857142855,0.9
CNN_FP_06,cnn,CNN,FP,18,90067,0.00158109818585217,-6.448053359985352,8.696602821350098,8.72291888044722,0.0263160590971232,0.5673784021682964,0.42857142857142855,0.5
CNN_FP_06,cnn,CNN,FP,19,111705,0.145994171500206,-1.766371250152588,4.014920711517334,3.9858092125457643,0.029111498971569727,0.6793404602950689,0.42857142857142855,0.8
CNN_FP_06,cnn,CNN,FP,20,34940,0.06991544365882874,-2.58798885345459,4.836538314819336,4.818809089073529,0.017729225745807042,0.10670844503216742,0.25,0.5
CNN_FP_06,cnn,CNN,FP,21,212937,9.353640780318528e-05,-9.277066230773926,11.525615692138672,11.530973726970233,0.005358034831560943,0.1624106422502051,0.25,0.4
CNN_FP_06,cnn,CNN,FP,22,214917,0.03187817335128784,-3.4134364128112793,5.661985874176025,5.627044447257694,0.034941426918331686,0.5992558565898818,0.25,0.8
CNN_FP_06,cnn,CNN,FP,23,70482,0.002233611885458231,-6.101899147033691,8.350448608398438,8.345341685031793,0.005106923366644978,0.592825504316328,0.42857142857142855,0.6
CNN_FP_06,cnn,CNN,FP,24,294868,0.00010112184099853039,-9.19908332824707,11.447632789611816,11.546466414859939,0.09883362524812256,0.14708517012193204,0.25,0.4
CNN_FP_06,cnn,CNN,FP,25,39929,0.33780986070632935,-0.6730696558952332,2.9216191172599792,2.9520228479123833,0.030403730652404093,0.3498679386558547,0.25,0.4
CNN_FP_06,cnn,CNN,FP,26,138479,0.0454024001955986,-3.045724868774414,5.29427433013916,5.303689224787772,0.009414894648611671,0.3762095531601771,0.17647058823529413,0.6
CNN_FP_06,cnn,CNN,FP,27,142790,1.4258160263125319e-05,-11.158166885375977,13.406716346740723,13.402075288052485,0.00464105868823772,0.7891711704475165,0.42857142857142855,0.8
CNN_FP_06,cnn,CNN,FP,28,100912,0.06924225389957428,-2.5983877182006836,4.84693717956543,4.827255450320157,0.01968172924527245,0.10796155452887098,0.25,0.6
CNN_FP_06,cnn,CNN,FP,29,74305,0.00013703333388548344,-8.895149230957031,11.143698692321777,11.091763094602719,0.051935597719058535,0.7573787701630095,0.3333333333333333,0.9
