condition_id,target_id,comparison_group,hardware_mode,thread_count,batch_size,status,n,p50_point_ms,historical_p50_ci_low_ms,historical_p50_ci_high_ms,corrected_p50_ci_low_ms,corrected_p50_ci_high_ms,p95_point_ms,historical_p95_ci_low_ms,historical_p95_ci_high_ms,corrected_p95_ci_low_ms,corrected_p95_ci_high_ms,p99_point_ms_if_n_gte_100,historical_p99_ci_low_ms_if_n_gte_100,historical_p99_ci_high_ms_if_n_gte_100,corrected_p99_ci_low_ms_if_n_gte_100,corrected_p99_ci_high_ms_if_n_gte_100,median_throughput_point,historical_median_throughput_ci_low,historical_median_throughput_ci_high,corrected_median_throughput_ci_low,corrected_median_throughput_ci_high,historical_ci_status,corrected_ci_status
CPUCOND_021,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,PASS,200,0.20542,0.20331950000000001,0.207195,0.203185,0.207195625,0.23919549999999995,0.23484,0.244211,0.23436749999999995,0.24431099999999997,0.2700422999999999,0.24231910999999998,0.31638,0.2427396124999993,0.31638,4868.080746724058,4825.674064288583,4920.775514221042,4826.357561796475,4921.623297351722,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_022,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,PASS,150,0.33243449999999997,0.328725,0.336445,0.328725,0.336445,0.4033615,0.38222349999999994,0.40933749999999997,0.38123349999999995,0.41089,0.4290150999999999,0.4058811475,0.44687,0.4058849,0.44687,192519.19373056412,190306.27415997622,194505.6111141757,190224.2918974218,194691.61193477572,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_023,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,PASS,100,0.5996049999999999,0.5960555000000001,0.60586,0.59623,0.6061455,0.647632,0.63471565,0.6830629999999999,0.63471645,0.6830629999999999,0.7438663000000004,0.6483656000000005,0.8326,0.6477350000000002,0.8326,426948.34769127436,422167.05044791184,429364.6911556027,422341.5498617705,429364.50698555924,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_024,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,PASS,50,1.983915,1.9038599999999999,2.03109,1.9038599999999999,2.0339395,3.10194,2.6826774999999983,4.287559499999997,2.6826774999999983,4.287559499999997,,,,,,516160.65400229965,503467.0192964169,537979.7547967385,503467.0192964169,537979.7547967385,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_025,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,PASS,20,13.64376,13.594555,13.75992,13.594555,13.75947,13.910149,13.7742,13.97606,13.7742,13.97606,,,,,,600421.1060736813,595352.3251872417,602594.3341607898,595372.4517310839,602594.3341607898,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_026,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,PASS,200,0.22873549999999998,0.226165,0.231441,0.22608050000000002,0.231441,0.27346344999999994,0.25311949999999994,0.325049,0.25388,0.3253650499999999,0.37020719999999985,0.29453383999999927,0.42553,0.29454279999999927,0.42553,4371.861922392712,4320.755613741731,4419.824446206975,4320.755613741731,4423.203320056738,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_027,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,PASS,150,0.40193,0.39276925,0.41427,0.39292,0.41427,0.7671999999999987,0.5619399999999999,1.0367594999999963,0.55917,1.0367594999999963,1.3667022999999983,0.8568436224999997,1.56704,0.8568676999999998,1.56704,159231.7464402116,154488.61853380647,162883.029624351,154488.61853380647,162883.029624351,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_028,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,PASS,100,0.62933,0.6171685250000001,0.6427350000000001,0.617671775,0.64246,0.903731,0.7633114999999999,0.964428999999999,0.7633319999999999,0.964428999999999,1.302828100000001,0.9038655475000003,1.51252,0.9074127000000021,1.51252,406781.81568435836,398815.66954605747,415349.1796611927,398469.5981227417,414465.35810676246,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_029,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,PASS,50,2.272715,2.00991,2.47739,2.0305748625,2.484141112499999,3.3533479999999996,3.13348,3.7124589999999986,3.065820999999999,3.7124589999999986,,,,,,450568.493168962,418922.6971559561,509475.6195966569,412995.9622394926,504626.5770713974,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_030,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,PASS,20,7.494775,7.16212,8.521635,7.16212,8.521635,11.011481,9.0546,11.2642,8.850145500000002,11.2642,,,,,,1093103.8065002223,961855.4206194617,1143807.0651100671,961855.4206194617,1143807.0651100671,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_031,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,PASS,200,8.88064,8.8218,8.94455,8.8218,8.940945,11.302716,10.75722,11.713259,10.75722,11.713259,13.018521299999998,11.6162786,14.205739,11.6162786,14.205739,112.60450582569108,111.8158013799996,113.35555102133353,111.84500231109415,113.35555102133353,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
CPUCOND_032,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,PASS,150,349.24230650000004,345.2820665,354.26650600000005,345.3479865,354.194536,402.56819104999994,393.9863644999999,411.6027634999999,394.22763312499984,411.6027634999999,425.29346348999997,406.45269949999994,459.647066,406.6276167,459.647066,183.2539686336733,180.6549633041823,185.35571213639764,180.69166374717875,185.32035431957183,HISTORICAL_NOT_PROTOCOL_CERTIFIED,PROTOCOL_CERTIFIED_DERIVED_UNCERTAINTY
