Operating Point,Model,Threshold,FN to FP Cost Ratio,Accuracy,Precision,Recall,F1-score,F2-score,FPR,FNR,TP,TN,FP,FN,Operational Cost,"Cost per 10,000 Flows"
XGBoost Balanced,XGBoost Tuned,0.51,10,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,30599,5084.072707938723
XGBoost Balanced,XGBoost Tuned,0.51,20,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,60979,10131.758216196458
XGBoost Balanced,XGBoost Tuned,0.51,50,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,152119,25274.81474096966
XGBoost Balanced,XGBoost Tuned,0.51,100,0.9458844249493238,0.9897505499134179,0.8743901430579675,0.9285008671218141,0.8952595439882822,0.006083333333333333,0.12560985694203258,21148,35781,219,3038,304019,50513.24228225833
XGBoost Security,XGBoost Tuned,0.27,1,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,3941,654.803442661084
XGBoost Security,XGBoost Tuned,0.27,2,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,6228,1034.7921443525072
XGBoost Security,XGBoost Tuned,0.27,5,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,13089,2174.758249426777
XGBoost Security,XGBoost Tuned,0.27,10,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,24524,4074.7017578838936
XGBoost Security,XGBoost Tuned,0.27,20,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,47394,7874.588774798126
XGBoost Security,XGBoost Tuned,0.27,50,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,116004,19274.249825540825
XGBoost Security,XGBoost Tuned,0.27,100,0.9345196557338916,0.9297754001613383,0.9054411643099314,0.9174469511301032,0.9102055745363559,0.04594444444444445,0.09455883569006863,21899,34346,1654,2287,230354,38273.68491011199
LightGBM Balanced,LightGBM Tuned,0.5,1,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,3265,542.4849632804971
LightGBM Balanced,LightGBM Tuned,0.5,2,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,6310,1048.4165752832885
LightGBM Balanced,LightGBM Tuned,0.5,5,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,15445,2566.2114112916624
LightGBM Balanced,LightGBM Tuned,0.5,10,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,30670,5095.869471305619
LightGBM Balanced,LightGBM Tuned,0.5,20,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,61120,10155.185591333533
LightGBM Balanced,LightGBM Tuned,0.5,50,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,152470,25333.133951417276
LightGBM Balanced,LightGBM Tuned,0.5,100,0.9457515036719503,0.9897008567014652,0.8741007194244604,0.9283158056513052,0.8950086787180898,0.006111111111111111,0.12589928057553956,21141,35780,220,3045,304720,50629.71455155684
