Seed,Model,Objective,Validation-Selected Threshold,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Validation F2,Validation FPR,Validation FNR,Test Accuracy,Test Precision,Test Recall,Test F1,Test F2,Test FPR,Test FNR,Test TP,Test TN,Test FP,Test FN,Test ROC-AUC,Test PR-AUC,Training Time Seconds
62,LightGBM Tuned,Balanced,0.44,0.9464786392240753,0.9836774714499942,0.8814409013385704,0.9297571346798593,0.9001520045601368,0.00982638888888889,0.11855909866142954,0.9446216728142758,0.9800193361263294,0.880137269494749,0.927396693314745,0.8984510192883974,0.012055555555555555,0.11986273050525097,21287,35566,434,2899,0.9793973809458181,0.9769256863135504,5.716357389001132
62,LightGBM Tuned,Security,0.27,0.9337265571455274,0.9291861453463663,0.9039743656002894,0.9164068844471223,0.9089066722095199,0.04628472222222222,0.09602563439971058,0.933389824876217,0.927823247529791,0.9046142396427685,0.916071765026064,0.9091626843964263,0.04727777777777778,0.09538576035723145,21879,34298,1702,2307,0.9793973809458181,0.9769256863135504,5.716357389001132
72,XGBoost Tuned,Balanced,0.48,0.9444848283453446,0.9876593753655398,0.8727582820817613,0.9266606305045684,0.893548796749,0.007326388888888889,0.12724171791823866,0.9453195095204865,0.9866318878382785,0.8757959149921443,0.9279158909210381,0.8959251520560345,0.007972222222222223,0.12420408500785579,21182,35713,287,3004,0.9804991897286769,0.9778533752681696,14.39360047000082
72,XGBoost Tuned,Security,0.26,0.9312550624104343,0.9241999471039407,0.9029924027081503,0.9134731008521985,0.9071556889336558,0.049756944444444444,0.09700759729184971,0.9331572126408135,0.925038998271428,0.9071777061109733,0.9160212921406952,0.9106945701169654,0.04938888888888889,0.09282229388902671,21941,34222,1778,2245,0.9804991897286769,0.9778533752681696,14.39360047000082
72,LightGBM Tuned,Balanced,0.41,0.9440902199422626,0.9814996820257849,0.8774096852550519,0.9265404136877149,0.8964231780596241,0.011111111111111112,0.12259031474494805,0.944821054730336,0.9795449321994943,0.8810882328619862,0.9277116301343027,0.8991637060228356,0.012361111111111111,0.11891176713801373,21310,35555,445,2876,0.9803058088012349,0.9777256679472851,5.776881367000897
72,LightGBM Tuned,Security,0.26,0.933269642152485,0.9302933333333333,0.9014936172412011,0.9156670778760598,0.9071100201776466,0.04538194444444445,0.0985063827587989,0.9353337985578042,0.9309070834041108,0.9063507814438104,0.9184648259102527,0.9111578492335318,0.04519444444444445,0.09364921855618953,21921,34373,1627,2265,0.9803058088012349,0.9777256679472851,5.776881367000897
82,XGBoost Tuned,Balanced,0.51,0.9448586678851066,0.9887002341920375,0.8727582820817613,0.9271185044881826,0.8937190397561287,0.006701388888888889,0.12724171791823866,0.945817964310637,0.9878759617626487,0.8759199536922186,0.9285354254782933,0.8962339980878085,0.007222222222222222,0.12408004630778136,21185,35740,260,3001,0.9808160178753549,0.9782044435108413,14.009217010001521
82,XGBoost Tuned,Security,0.28,0.931379675590355,0.9268422452779995,0.900304925319138,0.9133808724832215,0.9054901186181659,0.04774305555555555,0.09969507468086206,0.9352174924401023,0.9314363489430479,0.9054411643099314,0.9182548168647924,0.9105234709575486,0.04477777777777778,0.09455883569006863,21899,34388,1612,2287,0.9808160178753549,0.9782044435108413,14.009217010001521
82,LightGBM Tuned,Balanced,0.47,0.9443809840287442,0.9857800571128854,0.8742053852912295,0.9266462145283225,0.8944529638834541,0.008472222222222223,0.12579461470877049,0.9458345794703087,0.9864701506416217,0.8772430331596791,0.9286558410294569,0.897109562628962,0.008083333333333333,0.12275696684032085,21217,35709,291,2969,0.9807769950706101,0.9781613561444685,5.883806723000816
82,LightGBM Tuned,Security,0.27,0.931753515130117,0.9266401062416999,0.9015452994986821,0.9139204694294545,0.9064549318755782,0.04795138888888889,0.0984547005013179,0.9342205828598013,0.9285562947582525,0.9060200115769453,0.9171497331798681,0.9104393275886425,0.04683333333333333,0.09397998842305466,21913,34314,1686,2273,0.9807769950706101,0.9781613561444685,5.883806723000816
