target_id,component,n,mean_ms,std_ms,p50_ms,p95_ms,min_ms,max_ms,p50_bootstrap_ci95_low_ms,p50_bootstrap_ci95_high_ms,p95_bootstrap_ci95_low_ms,p95_bootstrap_ci95_high_ms
ENS_LGBM_XGB_EQUAL,first_prediction_ns,20,4.7031715,0.38285653857871316,4.653365,5.44781,4.17921,5.59582,4.4262,4.922060875,4.9572187237500005,5.59582
ENS_LGBM_XGB_EQUAL,spawn_to_first_output_ns,20,2103.1739597,43.086363034993425,2093.9150085,2179.742083,2045.553652,2191.172084,2066.9548305,2126.7023529999997,2142.21738795,2191.172084
ENS_LGBM_XGB_EQUAL,parent_process_total_ns,20,2544.62229945,65.00593910949522,2525.8369620000003,2638.0943938500004,2463.951665,2717.124853,2503.453908,2564.517652,2601.847792,2717.124853
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,process_spawn_to_worker_ready_ns,20,76.07761685,3.691203007163474,74.9443775,81.53695295,71.063818,84.118596,73.77422250000001,77.345202,80.2971433,84.118596
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,framework_import_ns,20,1300.2527848500001,52.27046225126103,1280.8762310000002,1406.45231315,1248.663801,1417.885338,1267.4518855000001,1313.1644645000001,1318.70961085,1417.885338
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,input_preparation_ns,20,5.5186784,0.4746023947569054,5.468249999999999,6.5030779999999995,4.97077,6.5285,5.1329905,5.749090000000001,5.7848915,6.5285
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,model_deserialization_load_ns,20,23.42642505,0.9550990915031564,23.2065445,24.477001450000003,22.145959,26.561918,23.037474,23.6357885,23.7089411625,26.561918
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,first_prediction_ns,20,3.0968834000000003,0.2144967301027662,3.04273,3.3666940000000003,2.8242,3.73955,2.9680995,3.186705,3.2140745,3.73955
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,spawn_to_first_output_ns,20,1408.3734321,55.56008832519137,1388.9788105,1524.0428267,1351.637247,1531.826874,1376.0201165,1421.9100345,1426.06766,1531.826874
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,parent_process_total_ns,20,1833.7836928000004,118.09093534437325,1786.8976955,2093.9344741,1732.934845,2150.931436,1770.8375569999998,1838.770759,1854.9381857,2150.931436
